Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,28-4,+30.97,120.7,3,89.7,9,72.5,5,-.039,272,+4.31,93
2,Houston,Amer,32-5,+28.28,118.1,8,89.9,10,63.7,338,-.002,182,+5.53,78
3,Baylor,B12,27-7,+26.71,117.8,10,91.1,13,67.4,163,+.004,163,+10.72,12
4,Arizona,P12,33-4,+26.07,118.6,7,92.5,20,72.3,9,+.048,75,+6.58,70
5,Kansas,B12,31-6,+25.86,118.8,6,92.9,22,69.5,63,+.040,91,+11.84,4
6,Kentucky,SEC,26-8,+25.58,119.9,5,94.3,35,67.5,152,-.043,279,+8.82,32
7,Texas Tech,B12,27-10,+25.30,110.5,43,85.2,1,66.5,219,-.031,248,+10.71,13
8,Duke,ACC,31-6,+25.21,121.0,2,95.7,46,67.3,167,-.002,178,+7.47,57
9,Tennessee,SEC,27-8,+24.97,111.4,36,86.5,3,67.4,159,+.029,117,+11.31,9
10,Villanova,BE,29-7,+24.84,117.9,9,93.1,25,62.6,345,+.054,66,+10.55,14
11,UCLA,P12,27-8,+24.36,116.0,12,91.6,14,65.2,276,-.029,246,+8.64,34
12,Auburn,SEC,28-6,+23.13,112.6,25,89.5,8,70.1,42,-.021,226,+8.32,40
13,Iowa,B10,26-10,+22.69,120.5,4,97.8,82,69.7,53,-.061,309,+7.31,60
14,Purdue,B10,29-8,+22.33,121.0,1,98.6,93,66.2,238,+.022,133,+8.82,33
15,Texas,B12,22-12,+20.57,112.3,29,91.7,15,63.8,336,-.043,281,+10.42,16
16,Arkansas,SEC,28-8,+19.58,110.0,53,90.4,11,70.8,28,+.046,80,+8.52,37
17,Saint Mary's,WCC,26-8,+19.55,110.1,50,90.6,12,63.6,339,+.039,97,+6.95,63
18,North Carolina,ACC,27-9,+19.15,114.4,19,95.2,42,70.4,36,+.083,30,+9.06,24
19,Virginia Tech,ACC,23-13,+18.78,115.0,17,96.2,54,63.3,341,-.062,310,+7.84,49
20,Illinois,B10,23-10,+18.73,112.0,30,93.3,29,67.2,179,+.033,110,+10.45,15
21,LSU,SEC,22-12,+18.55,107.3,89,88.7,6,68.6,101,-.052,298,+9.04,26
22,Connecticut,BE,23-10,+18.50,113.9,21,95.4,43,64.8,301,-.038,270,+7.37,58
23,San Francisco,WCC,24-10,+17.40,110.5,42,93.1,27,68.9,82,-.042,277,+5.23,81
24,Memphis,Amer,22-11,+17.33,111.2,37,93.8,32,69.9,49,-.028,243,+7.54,54
25,San Diego St.,MWC,23-9,+16.90,103.3,170,86.4,2,65.5,267,-.003,184,+5.83,75
26,TCU,B12,21-13,+16.67,108.5,75,91.8,16,65.9,247,+.014,143,+11.44,7
27,Michigan,B10,19-15,+16.55,113.8,22,97.3,73,66.7,203,-.019,217,+12.14,3
28,Alabama,SEC,19-14,+16.55,115.1,16,98.6,92,71.9,11,-.022,229,+12.58,1
29,Loyola Chicago,MVC,25-8,+16.53,108.6,74,92.1,17,64.7,308,+.012,148,+3.16,105
30,Ohio St.,B10,20-12,+16.22,115.6,13,99.4,112,65.1,289,-.017,213,+9.84,20
31,Oklahoma,B12,19-16,+16.20,110.9,39,94.7,38,65.1,287,-.054,301,+11.51,6
32,Providence,BE,27-6,+15.80,111.4,35,95.7,45,65.2,278,+.164,1,+7.71,51
33,Wake Forest,ACC,25-10,+15.52,110.7,40,95.1,41,70.6,30,-.001,175,+4.31,92
34,Murray St.,OVC,31-3,+15.46,111.5,34,96.1,52,66.1,243,+.074,43,-3.02,216
35,Miami FL,ACC,26-10,+15.36,114.8,18,99.5,114,67.7,139,+.073,45,+8.10,43
36,Oklahoma St.,B12,15-15,+15.30,103.7,163,88.4,4,67.6,142,-.074,327,+11.55,5
37,Wisconsin,B10,25-8,+15.30,109.3,63,94.0,34,66.5,215,+.105,16,+9.75,21
38,Washington St.,P12,22-14,+15.28,108.3,77,93.1,26,66.3,230,-.088,340,+4.90,86
39,Notre Dame,ACC,24-11,+15.17,112.4,28,97.2,69,65.7,258,+.017,140,+7.77,50
40,Boise St.,MWC,27-8,+15.04,107.5,86,92.5,19,64.5,318,+.029,116,+5.41,79
41,Texas A&M,SEC,26-12,+15.00,108.8,72,93.8,31,66.7,205,+.005,162,+6.89,64
42,Davidson,A10,27-7,+14.90,116.8,11,101.9,153,64.7,307,-.020,221,+1.80,115
43,Michigan St.,B10,23-13,+14.69,111.9,31,97.2,66,67.5,148,+.052,69,+10.90,11
44,Dayton,A10,24-11,+14.47,109.1,66,94.6,37,63.1,343,-.039,271,+2.13,112
45,Iowa St.,B12,22-13,+14.36,103.0,173,88.7,5,66.3,225,+.049,74,+11.02,10
46,Colorado St.,MWC,25-6,+14.32,112.8,24,98.5,91,65.4,270,+.121,6,+4.92,85
47,USC,P12,26-8,+14.28,109.8,54,95.6,44,66.3,231,+.060,57,+5.31,80
48,Indiana,B10,21-14,+14.02,107.0,97,93.0,23,67.3,175,-.020,223,+8.51,38
49,Mississippi St.,SEC,18-16,+13.79,109.7,56,95.9,49,65.7,259,-.087,339,+7.93,46
50,UAB,CUSA,27-8,+13.68,112.4,26,98.7,97,68.9,80,-.035,257,-0.74,159
51,Creighton,BE,23-12,+13.67,105.9,114,92.3,18,67.2,181,+.086,27,+9.05,25
52,Seton Hall,BE,21-11,+13.53,107.1,92,93.6,30,67.3,169,+.033,111,+8.87,29
53,Vermont,AE,28-6,+13.22,111.2,38,97.9,84,65.0,293,-.028,242,-6.94,319
54,BYU,WCC,24-11,+13.00,110.2,49,97.2,67,68.0,118,+.026,120,+5.10,84
55,St. John's,BE,17-15,+13.00,110.3,45,97.3,74,73.6,1,-.101,346,+6.68,67
56,North Texas,CUSA,25-7,+12.96,105.8,118,92.8,21,59.3,358,+.001,170,+0.30,136
57,Marquette,BE,19-13,+12.94,109.2,64,96.3,56,70.9,25,+.021,137,+9.43,23
58,Xavier,BE,21-13,+12.89,110.1,51,97.2,68,68.7,94,-.009,198,+7.59,53
59,SMU,Amer,24-9,+12.70,108.9,68,96.2,55,68.4,107,+.048,76,+3.24,104
60,Florida,SEC,20-14,+12.55,110.2,46,97.7,80,65.5,268,-.018,215,+7.54,55
61,Utah St.,MWC,18-16,+12.52,109.7,55,97.2,70,66.8,198,-.133,358,+4.53,91
62,VCU,A10,22-10,+12.36,101.2,208,88.8,7,68.7,97,+.059,60,+5.76,76
63,Kansas St.,B12,14-17,+12.29,109.5,59,97.2,71,66.6,213,-.092,343,+11.40,8
64,Vanderbilt,SEC,19-17,+12.19,107.2,91,95.0,39,67.8,130,-.053,299,+8.55,36
65,Wyoming,MWC,25-9,+11.81,109.1,65,97.3,75,66.1,239,+.056,64,+4.01,97
66,Chattanooga,SC,27-8,+11.53,109.0,67,97.5,77,64.8,304,+.007,157,+0.51,132
67,Saint Louis,A10,23-12,+11.50,109.4,61,97.9,83,67.9,124,-.021,224,+3.48,102
68,Syracuse,ACC,16-17,+11.45,115.4,15,103.9,207,67.6,145,-.065,316,+8.20,42
69,West Virginia,B12,16-17,+11.43,108.2,80,96.7,63,68.0,122,-.001,177,+12.24,2
70,Missouri St.,MVC,23-11,+11.41,113.2,23,101.8,151,67.2,180,-.040,273,+0.82,128
71,Clemson,ACC,17-16,+11.32,110.2,48,98.8,102,66.3,226,-.083,334,+6.76,66
72,Virginia,ACC,21-14,+11.20,107.6,85,96.4,59,59.5,357,+.025,125,+7.04,61
73,St. Bonaventure,A10,23-9,+11.02,108.7,73,97.6,79,65.8,253,+.113,10,+4.71,88
74,Furman,SC,22-12,+11.00,113.9,20,102.9,174,64.9,297,-.072,326,-0.19,144
75,Towson,CAA,25-9,+10.92,109.6,57,98.7,95,64.8,302,-.015,208,-1.94,189
76,Santa Clara,WCC,21-12,+10.87,111.8,33,101.0,134,70.8,26,-.014,206,+2.41,109
77,Rutgers,B10,18-14,+10.79,107.0,98,96.2,53,64.9,295,+.001,172,+7.93,47
78,Colorado,P12,21-12,+10.78,106.7,100,95.9,48,67.4,160,+.041,89,+5.18,82
79,New Mexico St.,WAC,27-7,+10.62,107.1,93,96.5,61,66.2,237,+.085,29,+1.24,122
80,South Dakota St.,Sum,30-5,+10.59,115.4,14,104.8,218,69.5,61,+.054,67,-4.13,250
81,Oregon,P12,20-15,+10.45,110.0,52,99.6,115,68.0,123,+.014,145,+7.63,52
82,Fresno St.,MWC,21-13,+10.23,104.8,141,94.5,36,61.5,356,-.060,308,+1.37,118
83,Maryland,B10,15-17,+10.03,109.4,62,99.4,110,66.6,211,-.035,260,+9.04,27
84,Drake,MVC,25-11,+9.49,108.8,69,99.4,111,66.3,227,-.006,194,+0.74,130
85,Richmond,A10,24-13,+9.48,108.2,79,98.7,94,66.9,196,+.061,55,+5.14,83
86,Belmont,OVC,25-8,+9.44,108.5,76,99.0,105,68.9,79,+.066,51,-1.92,188
87,Northwestern,B10,15-16,+9.35,106.6,104,97.3,76,67.7,136,-.077,331,+7.87,48
88,Penn St.,B10,14-17,+9.31,105.3,129,96.0,50,62.0,354,-.037,264,+9.43,22
89,Iona,MAAC,25-8,+9.05,108.0,81,99.0,104,69.2,72,-.006,193,-0.79,160
90,UNLV,MWC,18-14,+8.67,107.5,87,98.8,100,66.3,228,-.020,218,+4.13,95
91,Northern Iowa,MVC,20-12,+8.47,110.7,41,102.2,162,67.3,171,+.040,92,+4.22,94
92,Middle Tennessee,CUSA,26-11,+8.24,106.7,101,98.4,89,67.1,185,-.014,205,-1.36,176
93,Wichita St.,Amer,15-13,+8.19,104.0,159,95.8,47,67.0,192,-.037,268,+4.70,89
94,Grand Canyon,WAC,23-8,+8.11,104.7,143,96.6,62,65.5,265,+.009,152,-3.52,232
95,Arizona St.,P12,14-17,+8.07,101.3,205,93.2,28,67.3,170,+.005,161,+9.88,19
96,Toledo,MAC,26-8,+8.04,110.2,47,102.2,161,68.9,85,+.039,95,-3.88,242
97,Bradley,MVC,17-14,+7.99,104.9,140,96.9,64,67.2,176,-.090,342,+1.26,121
98,Tulane,Amer,14-15,+7.91,108.8,71,100.9,132,68.0,120,-.067,321,+4.77,87
99,Saint Peter's,MAAC,22-11,+7.91,100.9,216,93.0,24,66.1,242,+.008,155,-0.20,145
100,South Carolina,SEC,18-13,+7.47,101.5,202,94.0,33,70.5,33,+.105,17,+8.84,30
101,Cincinnati,Amer,18-15,+7.34,104.6,145,97.2,72,67.6,143,-.051,295,+2.93,106
102,Louisiana Tech,CUSA,24-10,+7.30,105.7,123,98.4,88,68.5,103,+.025,123,-0.48,154
103,DePaul,BE,15-16,+6.67,107.0,99,100.3,125,68.8,91,-.025,238,+6.59,69
104,UCF,Amer,18-12,+6.37,106.6,105,100.3,123,67.5,153,+.054,68,+3.80,100
105,Stanford,P12,16-16,+6.20,105.3,131,99.1,106,65.8,252,+.075,40,+8.83,31
106,Florida St.,ACC,17-14,+6.18,105.3,130,99.1,107,67.8,129,+.075,38,+7.99,44
107,Princeton,Ivy,23-7,+6.07,112.4,27,106.3,249,66.9,194,+.040,94,-3.96,245
108,Mississippi,SEC,13-19,+5.92,105.7,120,99.8,117,65.2,277,-.070,322,+7.37,59
109,Washington,P12,17-15,+5.29,104.1,153,98.8,101,69.6,59,+.078,34,+5.97,74
110,Minnesota,B10,13-17,+5.15,107.1,94,101.9,155,65.1,285,+.006,158,+8.88,28
111,Wofford,SC,19-13,+5.05,106.5,108,101.5,146,64.2,325,-.031,249,-0.23,149
112,Western Kentucky,CUSA,19-13,+4.89,106.6,106,101.7,149,68.7,96,-.033,253,-1.21,174
113,George Mason,A10,14-16,+4.84,105.9,115,101.1,137,64.8,298,-.108,348,+1.87,114
114,Temple,Amer,17-12,+4.58,102.2,194,97.6,78,66.4,223,+.083,31,+3.83,99
115,Boston College,ACC,13-20,+4.53,104.5,148,100.0,120,64.9,294,-.080,333,+5.62,77
116,Colgate,Pat,23-12,+4.44,108.2,78,103.8,201,67.2,177,-.076,329,-7.33,327
117,Nevada,MWC,13-18,+4.38,106.5,109,102.1,159,70.2,41,-.035,259,+6.78,65
118,Morehead St.,OVC,23-11,+4.35,103.5,165,99.1,108,64.8,300,+.024,126,-3.04,217
119,Utah Valley,WAC,20-12,+4.33,102.7,185,98.3,86,65.9,250,-.011,203,-1.09,170
120,Hofstra,CAA,21-11,+4.00,108.8,70,104.8,217,69.0,77,+.060,58,+0.27,137
121,Utah,P12,11-20,+3.96,107.4,88,103.4,191,66.2,235,-.121,356,+6.22,73
122,Liberty,ASun,22-11,+3.84,105.0,137,101.1,139,65.3,273,-.034,255,-5.03,269
123,Butler,BE,14-19,+3.80,102.6,187,98.8,99,63.9,334,+.008,154,+10.42,17
124,Stephen F. Austin,WAC,22-10,+3.80,102.3,190,98.5,90,69.2,73,+.030,115,-1.85,187
125,Southern Illinois,MVC,16-15,+3.72,102.5,188,98.8,98,62.2,351,-.071,323,+0.26,138
126,Akron,MAC,24-10,+3.63,105.7,122,102.0,158,62.1,352,+.013,146,-5.09,270
127,Louisville,ACC,13-19,+3.52,102.9,176,99.4,113,67.1,188,+.001,171,+7.49,56
128,Florida Atlantic,CUSA,19-15,+3.51,105.4,128,101.9,152,67.5,151,-.108,349,-3.00,215
129,N.C. State,ACC,11-21,+3.47,109.5,58,106.1,246,67.0,191,-.076,330,+6.68,68
130,Buffalo,MAC,19-11,+3.41,107.0,96,103.6,196,71.1,20,-.033,252,-3.39,229
131,Abilene Christian,WAC,25-11,+3.36,104.1,157,100.7,129,70.4,38,+.040,93,-2.17,199
132,Rhode Island,A10,15-16,+3.32,99.3,249,96.0,51,67.3,172,-.089,341,+0.84,127
133,Texas St.,SB,21-8,+3.16,105.8,119,102.6,168,63.8,335,+.114,9,-3.05,218
134,UC Santa Barbara,BW,17-11,+3.14,105.2,132,102.0,157,65.6,260,-.084,335,-5.56,282
135,Ohio,MAC,25-10,+3.12,104.2,151,101.1,138,67.6,144,+.034,107,-5.82,289
136,UC Irvine,BW,15-10,+3.11,99.4,247,96.3,57,65.2,279,-.005,190,-0.23,148
137,Montana St.,BSky,27-8,+2.97,104.3,150,101.4,144,67.5,155,+.085,28,-5.94,292
138,Seattle,WAC,23-9,+2.94,99.9,241,96.9,65,70.5,32,+.043,86,-5.72,286
139,Missouri,SEC,12-21,+2.89,104.1,158,101.2,140,65.6,261,-.020,219,+10.26,18
140,Nebraska,B10,10-22,+2.79,105.8,117,103.0,179,71.2,19,-.057,305,+8.56,35
141,Delaware,CAA,22-13,+2.68,107.0,95,104.3,213,66.7,202,+.038,101,-1.50,181
142,California,P12,12-20,+2.51,100.6,223,98.1,85,64.1,329,-.048,291,+6.23,72
143,Sam Houston St.,WAC,19-14,+2.30,100.7,222,98.4,87,64.8,299,-.004,186,-1.04,168
144,Charleston,CAA,17-15,+2.26,104.7,142,102.5,164,73.5,2,-.035,258,-0.71,158
145,Longwood,BSth,26-7,+2.23,105.9,113,103.7,200,66.2,236,+.115,7,-7.26,326
146,UNC Wilmington,CAA,27-9,+2.06,105.2,133,103.1,183,65.5,263,+.155,3,-2.30,202
147,Yale,Ivy,19-12,+2.02,100.8,219,98.7,96,68.9,88,+.063,53,-1.40,178
148,Jacksonville St.,ASun,21-11,+1.99,105.1,134,103.2,184,65.2,283,-.005,191,-4.62,259
149,Wagner,NEC,21-6,+1.70,102.0,196,100.3,124,66.5,217,+.081,33,-9.33,355
150,Georgia St.,SB,18-11,+1.70,101.5,200,99.8,119,67.3,168,+.062,54,-0.83,161
151,Coastal Carolina,SB,18-13,+1.60,102.3,192,100.7,128,66.8,201,-.095,344,-3.42,230
152,Kent St.,MAC,23-11,+1.56,101.6,198,100.0,121,66.1,244,+.056,65,-3.54,234
153,Drexel,CAA,15-14,+1.54,104.5,146,103.0,176,66.4,220,-.063,312,-1.01,167
154,North Dakota St.,Sum,23-10,+1.53,103.0,175,101.4,145,66.4,221,+.101,18,-5.39,277
155,South Alabama,SB,21-11,+1.50,103.4,167,101.9,154,66.5,218,-.022,230,-4.10,249
156,Cal St. Fullerton,BW,21-11,+1.47,104.2,152,102.7,173,66.1,241,+.047,77,-2.95,214
157,Monmouth,MAAC,21-13,+1.29,102.6,186,101.4,143,66.2,234,+.076,37,-0.39,152
158,Georgia Tech,ACC,12-20,+1.16,100.4,229,99.2,109,68.1,117,-.021,227,+6.41,71
159,Winthrop,BSth,23-9,+0.93,106.0,112,105.0,222,68.4,109,+.115,8,-2.86,213
160,Long Beach St.,BW,20-13,+0.78,103.4,169,102.6,166,71.0,23,+.109,15,+0.05,140
161,Southern Utah,BSky,22-11,+0.69,107.2,90,106.6,252,68.6,102,+.046,79,-5.74,287
162,Saint Joseph's,A10,11-19,+0.67,100.5,226,99.8,118,68.0,121,-.085,337,+1.95,113
163,New Mexico,MWC,13-19,+0.60,106.6,107,106.0,243,71.0,22,-.040,274,+4.63,90
164,Jacksonville,ASun,21-10,+0.49,100.2,233,99.7,116,61.5,355,+.047,78,-5.33,275
165,Appalachian St.,SB,19-15,+0.33,101.1,211,100.8,130,64.5,317,+.015,141,-0.88,165
166,Oral Roberts,Sum,19-12,+0.31,109.5,60,109.2,290,70.4,37,-.027,240,-4.78,262
167,Gardner Webb,BSth,18-13,+0.23,96.6,292,96.4,58,67.5,154,-.029,245,-4.09,248
168,UTEP,CUSA,20-14,+0.14,100.7,221,100.5,127,66.6,210,+.039,96,-1.66,183
169,Hawaii,BW,17-11,+0.08,101.6,199,101.5,148,65.2,280,-.010,200,-4.38,255
170,VMI,SC,16-16,-0.15,110.4,44,110.5,316,68.9,78,-.032,251,-0.21,147
171,Tulsa,Amer,11-20,-0.19,103.7,162,103.9,206,66.5,214,-.066,318,+2.91,107
172,Wright St.,Horz,22-14,-0.29,106.3,110,106.6,253,68.9,86,+.003,165,-6.74,316
173,Fordham,A10,16-16,-0.37,94.7,321,95.1,40,67.7,138,+.017,139,-0.51,156
174,Weber St.,BSky,21-12,-0.47,103.3,171,103.8,202,69.5,60,+.023,129,-5.97,294
175,Portland,WCC,19-14,-0.48,102.9,178,103.3,188,69.3,67,+.052,71,-2.12,196
176,Norfolk St.,MEAC,24-7,-0.51,102.2,195,102.7,171,66.8,197,+.128,5,-9.98,357
177,Georgetown,BE,6-25,-0.53,104.9,139,105.4,230,70.1,44,-.110,351,+8.36,39
178,UC Riverside,BW,16-12,-0.57,100.4,230,100.9,133,65.4,271,+.004,164,-2.70,207
179,UNC Greensboro,SC,17-15,-0.65,100.6,225,101.2,141,62.3,349,+.037,104,-1.37,177
180,East Carolina,Amer,15-15,-0.78,102.8,183,103.5,193,67.7,137,+.074,41,+1.22,123
181,Arkansas St.,SB,18-11,-1.05,100.0,237,101.0,135,68.3,110,+.065,52,-3.24,226
