Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,23-2,+33.50,122.9,2,89.4,6,73.2,4,-.042,271,+0.48,144
2,Arizona,P12,24-2,+27.97,118.6,7,90.6,7,72.8,8,+.035,109,+4.76,80
3,Kentucky,SEC,23-5,+27.91,121.3,3,93.4,22,68.0,143,-.023,237,+7.79,32
4,Baylor,B12,23-5,+26.57,118.1,8,91.5,14,67.8,154,+.018,138,+9.60,18
5,Kansas,B12,23-4,+26.27,121.2,4,94.9,32,69.8,68,+.033,113,+11.20,7
6,Houston,Amer,23-4,+25.62,117.4,13,91.8,16,64.7,316,-.008,196,+3.63,91
7,Texas Tech,B12,22-6,+25.53,111.4,52,85.8,1,67.0,205,-.000,178,+8.54,25
8,Auburn,SEC,25-3,+25.07,115.7,16,90.6,8,70.3,53,-.023,234,+7.76,33
9,Duke,ACC,24-4,+24.80,118.0,9,93.2,21,68.0,138,-.029,249,+5.07,76
10,UCLA,P12,20-5,+24.80,115.9,15,91.1,10,66.3,246,-.032,253,+7.23,43
11,Tennessee,SEC,20-7,+24.64,112.4,33,87.8,4,68.0,144,+.009,165,+11.21,6
12,Villanova,BE,21-7,+24.49,119.4,6,94.9,31,62.9,346,+.014,152,+10.53,11
13,Purdue,B10,24-4,+23.91,124.4,1,100.5,118,66.6,228,+.061,62,+7.41,37
14,Texas,B12,20-8,+21.53,112.7,29,91.2,11,63.4,342,-.019,224,+7.57,35
15,Iowa,B10,19-8,+21.16,120.0,5,98.9,81,70.4,45,-.071,318,+5.74,68
16,Illinois,B10,19-7,+20.39,114.5,20,94.1,24,67.3,193,+.035,108,+9.83,14
17,LSU,SEC,19-9,+19.82,107.6,106,87.7,3,69.4,83,-.040,267,+8.93,22
18,Connecticut,BE,20-7,+19.63,114.0,24,94.3,26,66.1,255,-.016,216,+7.00,44
19,Arkansas,SEC,22-6,+19.22,110.6,62,91.4,13,71.2,26,+.012,156,+5.83,66
20,Alabama,SEC,18-10,+18.75,117.5,11,98.8,79,72.0,17,+.003,173,+13.23,1
21,Ohio St.,B10,17-7,+18.74,118.0,10,99.3,91,65.4,291,+.009,164,+9.31,19
22,Saint Mary's,WCC,22-6,+18.74,110.3,66,91.6,15,64.2,335,+.027,124,+5.10,75
23,San Diego St.,MWC,17-7,+17.70,104.3,165,86.6,2,65.6,281,-.012,207,+5.76,67
24,San Francisco,WCC,22-7,+17.56,110.7,61,93.2,20,69.3,86,-.032,254,+3.59,92
25,Wisconsin,B10,22-5,+16.35,112.0,41,95.6,37,67.3,192,+.147,6,+10.10,12
26,Boise St.,MWC,22-6,+16.32,107.5,107,91.2,12,65.1,307,+.011,161,+5.15,74
27,Loyola Chicago,MVC,22-6,+16.27,112.0,40,95.7,39,64.6,320,+.025,126,+2.04,116
28,USC,P12,23-4,+16.04,112.1,38,96.1,43,66.7,222,+.049,84,+3.15,99
29,Murray St.,OVC,26-2,+15.93,112.2,35,96.3,48,66.5,236,+.063,59,-4.21,265
30,Iowa St.,B12,19-9,+15.81,106.9,113,91.1,9,66.4,242,+.023,128,+8.31,26
31,Michigan,B10,15-11,+15.79,114.0,23,98.2,69,66.3,245,-.008,197,+11.24,5
32,Marquette,BE,17-10,+15.53,111.7,43,96.2,46,70.7,40,-.004,185,+9.89,13
33,Virginia Tech,ACC,17-11,+15.41,113.7,26,98.3,70,63.3,343,-.090,337,+4.98,77
34,Michigan St.,B10,18-9,+15.32,112.4,31,97.1,57,68.0,145,+.041,95,+9.73,15
35,Xavier,BE,17-10,+14.99,111.7,42,96.7,52,68.5,112,-.021,230,+8.85,24
36,Colorado St.,MWC,22-4,+14.99,114.7,19,99.7,98,66.5,235,+.136,8,+3.97,87
37,Seton Hall,BE,17-9,+14.92,109.8,72,94.9,29,68.9,97,-.014,211,+9.07,21
38,Wake Forest,ACC,21-8,+14.91,111.4,47,96.5,49,70.2,54,+.006,167,+3.86,88
39,North Texas,CUSA,20-4,+14.91,107.8,100,92.9,19,59.3,358,+.049,86,+1.77,118
40,Dayton,A10,20-8,+14.56,110.1,68,95.5,36,63.5,341,-.026,242,+0.73,139
41,Memphis,Amer,15-9,+14.51,109.9,70,95.4,34,71.2,25,-.049,292,+6.82,50
42,North Carolina,ACC,20-8,+14.44,113.8,25,99.4,94,70.7,38,+.078,42,+6.35,54
43,Providence,BE,23-3,+14.31,112.4,32,98.1,68,65.5,290,+.208,1,+6.28,58
44,Mississippi St.,SEC,16-12,+14.27,111.6,44,97.3,59,65.8,274,-.072,321,+6.96,46
45,Oklahoma,B12,14-14,+14.22,110.3,67,96.1,42,65.4,292,-.074,322,+11.45,3
46,Washington St.,P12,15-12,+14.15,107.6,104,93.5,23,66.1,257,-.132,356,+4.53,85
47,UAB,CUSA,20-7,+14.03,112.6,30,98.6,77,69.4,78,-.086,332,-1.32,182
48,Indiana,B10,16-10,+13.92,106.5,121,92.6,18,67.5,179,-.043,274,+6.32,56
49,Davidson,A10,23-4,+13.83,117.5,12,103.7,170,64.5,326,+.032,118,+0.84,135
50,Utah St.,MWC,16-13,+13.75,112.1,37,98.4,72,67.2,196,-.117,349,+5.85,65
51,Wyoming,MWC,22-5,+13.70,112.9,27,99.2,87,66.1,253,+.093,28,+3.09,101
52,Oklahoma St.,B12,13-14,+13.62,105.5,141,91.9,17,68.5,113,-.082,329,+10.86,10
53,BYU,WCC,19-9,+13.43,111.2,53,97.8,65,68.4,123,+.038,101,+7.40,38
