Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,0-0,+31.49,120.0,1,88.6,7,75.9,12,+.000,1,+0.00,1
2,Michigan,B10,0-0,+28.27,114.8,3,86.5,1,71.5,237,+.000,1,+0.00,1
3,Kansas,B12,0-0,+26.27,114.4,5,88.1,5,72.5,151,+.000,1,+0.00,1
4,Baylor,B12,0-0,+25.30,114.4,4,89.1,9,71.1,257,+.000,1,+0.00,1
5,Illinois,B10,0-0,+24.96,112.1,11,87.2,2,73.8,69,+.000,1,+0.00,1
6,Purdue,B10,0-0,+24.89,115.0,2,90.1,18,70.7,282,+.000,1,+0.00,1
7,UCLA,P12,0-0,+23.36,113.0,9,89.6,14,68.8,346,+.000,1,+0.00,1
8,Ohio St.,B10,0-0,+22.97,113.1,8,90.1,20,70.9,265,+.000,1,+0.00,1
9,Villanova,BE,0-0,+22.15,114.0,7,91.8,37,69.4,340,+.000,1,+0.00,1
10,Duke,ACC,0-0,+21.91,111.7,12,89.8,17,73.1,110,+.000,1,+0.00,1
11,Houston,Amer,0-0,+21.85,110.7,19,88.9,8,69.7,332,+.000,1,+0.00,1
12,Texas Tech,B12,0-0,+21.70,109.7,30,88.0,4,68.7,347,+.000,1,+0.00,1
13,Tennessee,SEC,0-0,+21.60,110.0,25,88.4,6,71.4,243,+.000,1,+0.00,1
14,Texas,B12,0-0,+21.15,111.2,16,90.1,19,70.5,296,+.000,1,+0.00,1
15,Arkansas,SEC,0-0,+21.02,110.4,21,89.4,12,75.1,26,+.000,1,+0.00,1
16,Memphis,Amer,0-0,+20.92,108.5,39,87.6,3,75.2,23,+.000,1,+0.00,1
17,Kentucky,SEC,0-0,+20.86,111.5,15,90.6,26,72.3,167,+.000,1,+0.00,1
18,Maryland,B10,0-0,+20.68,110.4,20,89.8,15,70.0,323,+.000,1,+0.00,1
19,Alabama,SEC,0-0,+20.48,111.7,13,91.2,32,76.4,5,+.000,1,+0.00,1
20,USC,P12,0-0,+19.94,109.5,32,89.5,13,71.8,206,+.000,1,+0.00,1
21,Connecticut,BE,0-0,+19.09,109.2,35,90.2,22,70.7,280,+.000,1,+0.00,1
22,Michigan St.,B10,0-0,+18.80,108.1,43,89.3,11,72.1,177,+.000,1,+0.00,1
23,Iowa,B10,0-0,+18.71,112.2,10,93.5,58,73.8,75,+.000,1,+0.00,1
24,Florida St.,ACC,0-0,+18.58,109.7,29,91.1,31,73.8,74,+.000,1,+0.00,1
25,Florida,SEC,0-0,+18.52,110.1,24,91.6,34,71.7,213,+.000,1,+0.00,1
26,Xavier,BE,0-0,+18.27,111.2,17,93.0,50,71.8,207,+.000,1,+0.00,1
27,Notre Dame,ACC,0-0,+18.17,114.0,6,95.8,96,71.2,249,+.000,1,+0.00,1
28,Auburn,SEC,0-0,+18.16,110.4,22,92.2,40,74.5,39,+.000,1,+0.00,1
29,Oregon,P12,0-0,+18.13,111.5,14,93.3,57,71.1,258,+.000,1,+0.00,1
30,St. Bonaventure,A10,0-0,+17.94,109.7,28,91.8,36,70.1,314,+.000,1,+0.00,1
31,Indiana,B10,0-0,+17.91,108.2,42,90.3,23,71.7,216,+.000,1,+0.00,1
32,Loyola Chicago,MVC,0-0,+17.61,109.3,34,91.6,35,71.0,262,+.000,1,+0.00,1
33,San Diego St.,MWC,0-0,+17.54,106.8,67,89.2,10,70.4,301,+.000,1,+0.00,1
34,San Francisco,WCC,0-0,+17.32,109.2,37,91.8,38,72.1,180,+.000,1,+0.00,1
35,Colorado,P12,0-0,+16.92,108.0,45,91.0,29,71.1,260,+.000,1,+0.00,1
36,Louisville,ACC,0-0,+16.83,107.8,51,90.9,27,70.9,272,+.000,1,+0.00,1
37,Oklahoma St.,B12,0-0,+16.79,107.4,59,90.6,25,74.4,41,+.000,1,+0.00,1
38,BYU,WCC,0-0,+16.56,109.5,31,93.0,51,72.4,158,+.000,1,+0.00,1
39,Virginia Tech,ACC,0-0,+16.50,109.3,33,92.8,48,70.3,305,+.000,1,+0.00,1
40,North Carolina,ACC,0-0,+16.07,110.2,23,94.1,66,73.5,86,+.000,1,+0.00,1
41,Syracuse,ACC,0-0,+16.02,111.1,18,95.1,83,71.9,204,+.000,1,+0.00,1
42,Saint Mary's,WCC,0-0,+16.02,107.1,63,91.1,30,67.9,355,+.000,1,+0.00,1
43,LSU,SEC,0-0,+15.86,109.8,27,93.9,63,73.9,61,+.000,1,+0.00,1
44,Wisconsin,B10,0-0,+15.85,105.7,82,89.8,16,69.0,345,+.000,1,+0.00,1
45,Virginia,ACC,0-0,+15.72,106.0,76,90.3,24,65.3,358,+.000,1,+0.00,1
46,West Virginia,B12,0-0,+15.66,108.5,40,92.8,46,73.2,100,+.000,1,+0.00,1
47,Arizona,P12,0-0,+15.50,107.7,52,92.2,39,72.3,170,+.000,1,+0.00,1
48,Northwestern,B10,0-0,+15.17,107.4,58,92.2,41,71.6,220,+.000,1,+0.00,1
49,Nevada,MWC,0-0,+15.06,109.9,26,94.8,80,74.1,54,+.000,1,+0.00,1
50,Seton Hall,BE,0-0,+15.05,107.4,57,92.4,42,71.6,224,+.000,1,+0.00,1
51,St. John's,BE,0-0,+14.65,107.8,49,93.1,54,75.7,13,+.000,1,+0.00,1
52,Oklahoma,B12,0-0,+14.43,105.8,79,91.4,33,69.4,339,+.000,1,+0.00,1
53,Creighton,BE,0-0,+14.27,107.3,60,93.1,53,73.0,117,+.000,1,+0.00,1
54,Georgia Tech,ACC,0-0,+14.06,106.8,66,92.7,45,71.7,215,+.000,1,+0.00,1
55,Butler,BE,0-0,+13.93,107.2,61,93.3,56,69.4,337,+.000,1,+0.00,1
56,N.C. State,ACC,0-0,+13.89,106.5,69,92.6,44,72.7,138,+.000,1,+0.00,1
57,Mississippi,SEC,0-0,+13.79,103.9,110,90.1,21,70.2,312,+.000,1,+0.00,1
58,Arizona St.,P12,0-0,+13.70,107.8,50,94.1,64,75.5,18,+.000,1,+0.00,1
59,Clemson,ACC,0-0,+13.56,106.4,70,92.8,47,69.5,336,+.000,1,+0.00,1
60,SMU,Amer,0-0,+13.48,108.8,38,95.4,84,71.6,225,+.000,1,+0.00,1
61,UCF,Amer,0-0,+13.09,106.1,74,93.0,52,71.1,259,+.000,1,+0.00,1
62,Wichita St.,Amer,0-0,+13.08,107.6,53,94.5,71,71.5,234,+.000,1,+0.00,1
63,Washington St.,P12,0-0,+13.06,106.0,75,93.0,49,72.0,193,+.000,1,+0.00,1
64,Richmond,A10,0-0,+13.02,107.5,56,94.4,69,72.2,172,+.000,1,+0.00,1
65,Mississippi St.,SEC,0-0,+12.75,107.5,55,94.7,78,70.8,276,+.000,1,+0.00,1
66,Missouri St.,MVC,0-0,+12.52,108.4,41,95.9,97,72.3,164,+.000,1,+0.00,1
67,Rutgers,B10,0-0,+12.47,105.0,88,92.5,43,71.5,231,+.000,1,+0.00,1
68,Stanford,P12,0-0,+12.47,103.5,113,91.0,28,73.1,109,+.000,1,+0.00,1
69,Loyola Marymount,WCC,0-0,+12.47,107.9,46,95.4,86,70.7,283,+.000,1,+0.00,1
70,Penn St.,B10,0-0,+12.46,107.1,64,94.6,75,72.7,135,+.000,1,+0.00,1
71,UAB,CUSA,0-0,+12.31,105.5,84,93.2,55,72.1,178,+.000,1,+0.00,1
72,Colorado St.,MWC,0-0,+12.28,107.8,48,95.5,90,72.6,146,+.000,1,+0.00,1
73,Oregon St.,P12,0-0,+12.20,108.0,44,95.8,93,70.0,319,+.000,1,+0.00,1
74,Drake,MVC,0-0,+11.69,107.1,62,95.4,87,71.3,247,+.000,1,+0.00,1
75,TCU,B12,0-0,+11.57,106.2,72,94.6,76,71.2,251,+.000,1,+0.00,1
76,Georgetown,BE,0-0,+11.42,105.5,83,94.1,65,73.7,77,+.000,1,+0.00,1
77,Belmont,OVC,0-0,+11.20,107.9,47,96.7,111,75.0,29,+.000,1,+0.00,1
78,Texas A&M,SEC,0-0,+10.94,104.7,95,93.8,61,69.6,333,+.000,1,+0.00,1
79,Vanderbilt,SEC,0-0,+10.73,106.8,65,96.1,100,72.7,136,+.000,1,+0.00,1
80,Boise St.,MWC,0-0,+10.65,105.2,85,94.5,72,72.8,134,+.000,1,+0.00,1
81,Nebraska,B10,0-0,+10.42,105.0,89,94.6,73,75.5,17,+.000,1,+0.00,1
82,Kansas St.,B12,0-0,+10.34,104.9,91,94.6,74,70.1,316,+.000,1,+0.00,1
83,Miami FL,ACC,0-0,+10.25,105.9,78,95.6,92,71.6,226,+.000,1,+0.00,1
84,Dayton,A10,0-0,+10.24,104.1,104,93.9,62,70.2,308,+.000,1,+0.00,1
85,Providence,BE,0-0,+10.08,104.8,93,94.7,77,71.0,261,+.000,1,+0.00,1
86,South Carolina,SEC,0-0,+9.94,104.7,96,94.7,79,76.2,6,+.000,1,+0.00,1
87,Marquette,BE,0-0,+9.81,104.0,106,94.2,67,71.7,214,+.000,1,+0.00,1
88,Louisiana Tech,CUSA,0-0,+9.46,104.4,102,94.9,81,72.6,144,+.000,1,+0.00,1
89,South Dakota St.,Sum,0-0,+9.02,109.2,36,100.2,173,73.7,80,+.000,1,+0.00,1
90,Western Kentucky,CUSA,0-0,+8.99,104.4,101,95.4,85,71.7,212,+.000,1,+0.00,1
91,Davidson,A10,0-0,+8.89,106.2,71,97.3,117,68.5,351,+.000,1,+0.00,1
92,Saint Louis,A10,0-0,+8.77,106.0,77,97.2,116,71.4,244,+.000,1,+0.00,1
93,Utah,P12,0-0,+8.77,104.6,97,95.9,99,72.7,142,+.000,1,+0.00,1
94,Buffalo,MAC,0-0,+8.69,106.6,68,97.9,124,74.9,30,+.000,1,+0.00,1
