Team,AdjEM,AdjOE,AdjDE
Abilene Christian,-1.5,106.4,107.9
Air Force,1.5,106.7,105.2
Akron,7.400000000000006,106.9,99.5
Alabama,25.299999999999997,116.3,91.0
Alabama A&M,-13.599999999999994,95.5,109.1
Alabama St.,-18.0,93.8,111.8
Albany,-17.900000000000006,98.8,116.7
Alcorn St.,-8.299999999999997,101.0,109.3
American,-5.099999999999994,103.5,108.6
Appalachian St.,1.4000000000000057,101.2,99.8
Arizona,22.89999999999999,119.3,96.4
Arizona St.,9.700000000000003,107.3,97.6
Arkansas,16.799999999999997,110.1,93.3
Arkansas Pine Bluff,-10.200000000000003,95.0,105.2
Arkansas St.,-12.5,97.6,110.1
Army,-1.8000000000000114,106.6,108.4
Auburn,16.89999999999999,111.3,94.4
Austin Peay,-12.099999999999994,98.0,110.1
BYU,10.0,105.6,95.6
Ball St.,1.0999999999999943,108.0,106.9
Baylor,21.599999999999994,121.1,99.5
Bellarmine,-6.099999999999994,102.5,108.6
Belmont,4.3999999999999915,110.8,106.4
Bethune Cookman,-17.5,97.1,114.6
Binghamton,-12.5,98.6,111.1
Boise St.,16.200000000000003,108.4,92.2
Boston College,-1.7000000000000028,101.8,103.5
Boston University,-11.5,97.9,109.4
Bowling Green,-5.700000000000003,106.0,111.7
Bradley,8.899999999999991,107.6,98.7
Brown,2.0,102.0,100.0
Bryant,-2.8000000000000114,106.1,108.9
Bucknell,-9.899999999999991,99.4,109.3
Buffalo,0.6000000000000085,105.4,104.8
Butler,3.4000000000000057,102.9,99.5
Cal Baptist,1.3999999999999915,104.3,102.9
Cal Poly,-12.5,94.8,107.3
Cal St. Bakersfield,-10.200000000000003,96.7,106.9
Cal St. Fullerton,3.299999999999997,102.1,98.8
Cal St. Northridge,-11.899999999999991,96.2,108.1
California,-5.700000000000003,100.3,106.0
Campbell,-8.699999999999989,101.9,110.6
Canisius,-8.399999999999991,101.4,109.8
Central Arkansas,-14.099999999999994,99.7,113.8
Central Connecticut,-14.899999999999991,96.9,111.8
Central Michigan,-13.399999999999991,94.9,108.3
Charleston Southern,-8.200000000000003,110.0,118.2
Charlotte,4.8999999999999915,107.8,102.9
Chattanooga,-0.19999999999998863,110.4,110.6
Chicago St.,-9.5,102.2,111.7
Cincinnati,14.700000000000003,110.8,96.1
Clemson,10.800000000000011,108.9,98.1
Cleveland St.,0.29999999999999716,105.8,105.5
Coastal Carolina,-9.399999999999991,104.7,114.1
Colgate,3.8000000000000114,112.4,108.6
College of Charleston,11.299999999999997,110.7,99.4
Colorado,9.900000000000006,104.0,94.1
Colorado St.,3.5999999999999943,111.3,107.7
Columbia,-15.0,93.9,108.9
Connecticut,22.700000000000003,118.4,95.7
Coppin St.,-17.799999999999997,98.8,116.6
Cornell,6.099999999999994,117.0,110.9
Creighton,20.200000000000003,114.5,94.3
Dartmouth,-8.299999999999997,97.7,106.0
Davidson,2.0,106.5,104.5
Dayton,11.5,109.4,97.9
DePaul,0.4000000000000057,106.9,106.5
Delaware,-3.5999999999999943,103.5,107.1
Delaware St.,-19.19999999999999,93.4,112.6
Denver,-9.200000000000003,101.3,110.5
Detroit,-3.4000000000000057,110.6,114.0
Drake,8.099999999999994,107.0,98.9
Drexel,-1.8999999999999915,101.9,103.8
Duke,16.0,112.1,96.1
Duquesne,6.700000000000003,109.8,103.1
East Carolina,-3.200000000000003,102.7,105.9
East Tennessee St.,-5.099999999999994,99.4,104.5
Eastern Illinois,-18.200000000000003,94.2,112.4
Eastern Kentucky,1.0999999999999943,106.1,105.0
Eastern Michigan,-12.400000000000006,103.1,115.5
Eastern Washington,4.400000000000006,111.2,106.8
Elon,-10.0,100.1,110.1
Evansville,-18.80000000000001,93.1,111.9
FIU,-1.6999999999999886,102.9,104.6
Fairfield,-5.300000000000011,98.6,103.9
Fairleigh Dickinson,-12.899999999999991,107.2,120.1
Florida,13.299999999999997,105.2,91.9
Florida A&M,-18.299999999999997,90.9,109.2
Florida Atlantic,15.5,113.4,97.9
Florida Gulf Coast,-2.9000000000000057,105.5,108.4
Florida St.,-0.5,107.5,108.0
Fordham,-0.4000000000000057,101.3,101.7
Fort Wayne,-4.599999999999994,102.2,106.8
Fresno St.,0.4000000000000057,101.5,101.1
Furman,7.8999999999999915,113.3,105.4
Gardner Webb,0.09999999999999432,99.3,99.2
