AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Kentucky,Tennessee,1,141,H,08:00 PM
Texas,Oklahoma,-1,121,H,06:00 PM
Memphis,Cincinnati,1,143,H,06:00 PM
Villanova,Providence,2,126,H,07:00 PM
Florida,Texas A&M,-1,135,H,06:00 PM
Iowa St.,TCU,-2,124,H,08:00 PM
Wisconsin,Indiana,-4,130,H,08:00 PM
Wake Forest,Duke,-10,146,H,06:00 PM
Michigan St.,Penn St.,2,128,H,05:30 PM
Utah St.,San Diego St.,-3,123,H,09:00 PM
Iona,Saint Peter's,2,134,H,06:00 PM
Clemson,Florida St.,-3,139,H,06:00 PM
Wyoming,New Mexico,4,154,H,08:00 PM
Bradley,Southern Illinois,1,121,H,07:00 PM
Arkansas,Missouri,6,140,H,08:00 PM
Northern Iowa,Illinois St.,2,150,H,07:00 PM
North Carolina St.,Georgia Tech,-2,140,H,07:00 PM
Buffalo,Bowling Green,3,167,H,06:00 PM
VCU,Fordham,4,120,H,06:00 PM
South Carolina,Mississippi,-6,132,H,06:00 PM
Colorado,Oregon St.,3,137,H,08:00 PM
Butler,DePaul,-5,129,H,08:00 PM
Minnesota,Ohio St.,-11,141,H,07:30 PM
Tulane,South Florida,6,126,H,06:00 PM
Kent St.,Toledo,-10,140,H,05:00 PM
UC Irvine,UC San Diego,3,131,H,09:00 PM
Hofstra,Elon,6,142,H,06:00 PM
Eastern Michigan,Central Michigan,2,144,H,06:00 PM
Liberty,North Florida,7,137,H,06:00 PM
George Washington,Duquesne,-3,137,H,06:00 PM
Indiana St.,Missouri St.,-13,143,H,07:00 PM
San Francisco,Pacific,13,133,H,09:00 PM
High Point,Longwood,-8,134,H,05:00 PM
Merrimack,Sacred Heart,-1,129,H,06:00 PM
Miami OH,Ohio,-15,141,H,06:00 PM
San Jose St.,Nevada,-13,145,H,10:00 PM
Akron,Western Michigan,6,130,H,05:00 PM
Northern Illinois,Ball St.,-10,144,H,06:00 PM
