AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,VegasPercent1,MGPercent,MGSpread,Away_Reg,Home_Reg,Reg_dif,Away_dif,Home_dif,Over_dif,MGHomeRank,MGAwayRank,PomHomeRank,PomAwayRank
Furman,San Diego St.,-5.5,137.5,N,9:10:00 AM,20230318,0.7,0.94,-16.7,3.8,5.1,-1.3,2.7,1.4,1.3,25.6,13.6,20.6,9.8
Duke,Tennessee,3.5,129.5,N,11:40:00 AM,20230318,0.37,0.85,-11.1,13.6,-8.3,21.9,12.1,-6.4,18.5,16.0,30.0,24.2,16.4
Arkansas,Kansas,-3.5,142.5,N,2:15:00 PM,20230318,0.63,0.83,-10.0,2.3,-2.5,4.7,-0.5,-6.0,5.6,20.8,20.8,23.3,18.6
Princeton,Missouri,-6.5,148.5,N,3:10:00 PM,20230318,0.73,0.55,-1.4,2.3,-4.6,6.9,6.2,1.6,4.6,8.4,6.1,13.0,3.8
Auburn,Houston,-5.5,132.0,N,4:10:00 PM,20230318,0.7,0.86,-11.2,3.0,0.0,3.0,0.8,-9.0,9.8,28.7,20.6,28.7,17.6
Penn St.,Texas,-5.5,138.0,N,4:45:00 PM,20230318,0.7,0.96,-18.9,4.1,7.1,-3.0,2.8,9.1,-6.3,30.4,18.2,23.3,14.1
Northwestern,UCLA,-7.5,127.0,N,5:40:00 PM,20230318,0.76,0.83,-9.9,6.5,-4.0,10.5,1.9,-4.1,6.0,23.1,21.3,27.0,14.8
Maryland,Alabama,-8.5,144.5,N,6:40:00 PM,20230318,0.79,0.7,-5.4,7.2,-0.1,7.3,-4.5,5.7,-10.2,27.0,25.9,27.1,18.7
