AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Towson,Massachusetts,1,149,H,06:00 PM,2.0,-2.7
Western Kentucky,Eastern Kentucky,4,154,H,06:00 PM,-4.4,-10.8
Southern Illinois,Oklahoma St.,-8,130,H,07:00 PM,3.0,5.3
Nicholls St.,Wyoming,-13,151,H,09:00 PM,5.2,5.2
UC Riverside,Loyola Marymount,-6,146,H,09:00 PM,-4.3,-3.9
Colgate,Brown,4,140,H,06:00 PM,3.8,4.5
Vermont,Saint Mary's,-6,128,H,09:00 PM,-18.0,-10.8
UMass Lowell,Columbia,1,147,H,06:00 PM,11.6,11.8
North Alabama,Alabama A&M,-3,131,H,07:00 PM,7.3,21.7
Gardner Webb,Stephen F. Austin,-9,135,H,06:30 PM,6.9,8.6
Georgia Southern,Santa Clara,-9,145,H,09:00 PM,-15.9,-14.1
Presbyterian,The Citadel,1,135,H,06:00 PM,-12.5,-12.7
Cal Poly,San Francisco,-11,137,H,09:00 PM,-3.2,0.5
North Dakota St.,Kansas,-21,139,H,07:00 PM,-8.3,-7.7
Cleveland St.,Cincinnati,-14,142,H,07:00 PM,14.4,17.6
Texas Southern,Texas Tech,-19,135,H,07:00 PM,-6.8,-6.7
Bethune Cookman,Indiana,-26,146,H,07:30 PM,-20.8,-20.8
Loyola MD,Penn St.,-13,133,H,06:00 PM,-8.6,-8.2
Radford,Notre Dame,-22,144,H,07:00 PM,24.4,24.4
Lehigh,Virginia Tech,-22,140,H,05:00 PM,0.4,2.3
Western Carolina,Maryland,-20,146,H,06:00 PM,-9.4,-10.1
Central Michigan,Marquette,-21,149,H,07:00 PM,-3.6,-5.2
Northern Arizona,Arizona St.,-17,137,H,08:00 PM,-7.4,-11.6
North Carolina Central,Appalachian St.,-8,138,H,05:30 PM,-3.3,-4.3
Sacred Heart,Rutgers,-19,141,H,06:00 PM,-12.6,-10.2
Houston Christian,Texas,-30,144,H,08:00 PM,-14.1,-13.8
Illinois St.,Eastern Illinois,6,140,H,07:00 PM,-6.1,-10.3
Charleston Southern,Ohio St.,-21,145,H,05:30 PM,-8.1,-7.0
North Dakota,Creighton,-24,140,H,08:00 PM,-5.5,-0.7
Nebraska Omaha,Nebraska,-21,155,H,07:00 PM,4.7,4.4
Alabama St.,USC,-24,144,H,10:00 PM,4.9,9.4
Quinnipiac,Stonehill,18,148,H,06:00 PM,-5.7,-1.1
