AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Boise St.,New Mexico,-3,145,H,10:00 PM,20230120,1.7,0.6
Toledo,Buffalo,2,180,H,07:30 PM,20230120,8.9,6.5
VCU,Richmond,-3,129,H,06:00 PM,20230120,11.7,14.2
Villanova,St. John's,-6,152,H,06:00 PM,20230120,-7.7,-3.5
Ball St.,Kent St.,-10,136,H,05:30 PM,20230120,0.3,-8.3
Canisius,Fairfield,-4,130,H,06:00 PM,20230120,-6.4,-3.3
Niagara,Rider,-5,129,H,06:00 PM,20230120,-3.9,0.5
Saint Peter's,Marist,-2,120,H,06:00 PM,20230120,1.0,-0.8
Sacred Heart,Fairleigh Dickinson,-7,159,H,06:00 PM,20230120,-5.5,3.4
Iona,Manhattan,14,146,H,06:00 PM,20230120,-14.2,-14.7
Mount St. Mary's,Siena,-9,133,H,06:00 PM,20230120,-2.1,0.6
Central Connecticut,Wagner,-4,122,H,06:00 PM,20230120,-2.1,-13.9
Stonehill,LIU Brooklyn,6,148,H,06:00 PM,20230120,1.5,-0.7
St. Francis NY,St. Francis PA,-9,139,H,06:00 PM,20230120,-22.8,-22.8
