AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date
Seton Hall,Marquette,-8,142,H,07:00 PM,20221227
Jacksonville,Notre Dame,-4,130,H,06:00 PM,20221227
Northwestern St.,Texas A&M,-15,151,H,06:00 PM,20221227
Texas A&M Commerce,Texas,-27,139,H,07:00 PM,20221227
South Carolina St.,Texas Tech,-25,151,H,07:00 PM,20221227
