AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Arizona,Washington St.,2,146,H,10:15 PM,20230126,-2.5,5.0
UCLA,USC,4,132,H,08:00 PM,20230126,-9.3,-21.3
Utah Valley,Southern Utah,1,153,H,08:00 PM,20230126,-7.9,-6.7
Arizona St.,Washington,1,141,H,10:00 PM,20230126,-7.0,-6.3
Colorado,Oregon,-3,139,H,08:00 PM,20230126,-0.2,-5.3
Purdue,Michigan,6,136,H,08:00 PM,20230126,2.7,4.4
Iowa,Michigan St.,-5,147,H,06:00 PM,20230126,-5.9,1.0
UC Irvine,Cal St. Fullerton,1,137,H,09:00 PM,20230126,-0.8,-2.2
Charlotte,Rice,-1,141,H,07:00 PM,20230126,-0.6,-8.5
Milwaukee,Wright St.,-1,155,H,06:00 PM,20230126,4.4,-0.4
UC Santa Barbara,Hawaii,-3,121,H,10:59 PM,20230126,3.3,5.6
Montana St.,Portland St.,4,144,H,09:00 PM,20230126,6.3,2.5
Utah Tech,Tarleton St.,-1,145,H,07:00 PM,20230126,-0.0,1.8
San Diego,Pepperdine,-5,165,H,09:00 PM,20230126,11.2,16.9
Western Kentucky,FIU,-1,143,H,06:00 PM,20230126,-2.7,-9.6
Florida Gulf Coast,Queens,-2,150,H,06:00 PM,20230126,-11.1,-6.0
Middle Tennessee,Florida Atlantic,-9,135,H,06:00 PM,20230126,5.7,1.5
Eastern Kentucky,Bellarmine,2,130,H,05:30 PM,20230126,8.4,2.9
Troy,Louisiana Lafayette,-4,146,H,07:00 PM,20230126,-16.9,-22.6
Grand Canyon,Abilene Christian,4,140,H,07:00 PM,20230126,-0.5,-3.9
SIU Edwardsville,Tennessee Tech,1,135,H,06:00 PM,20230126,-22.0,-24.3
Montana,Sacramento St.,1,127,H,09:00 PM,20230126,-1.3,-9.5
Drexel,North Carolina A&T,3,135,H,06:00 PM,20230126,5.0,-7.6
Old Dominion,South Alabama,-3,131,H,07:00 PM,20230126,-0.8,2.8
Seattle,Sam Houston St.,-7,133,H,07:30 PM,20230126,5.8,-10.5
Louisiana Tech,UAB,-11,157,H,08:00 PM,20230126,6.0,5.8
SMU,Memphis,-16,148,H,06:00 PM,20230126,-1.8,-3.5
North Florida,Central Arkansas,1,161,H,07:00 PM,20230126,-2.6,-1.3
Jacksonville,North Alabama,2,130,H,06:00 PM,20230126,-7.6,-15.3
Nicholls St.,Texas A&M Corpus Chris,-4,148,H,07:30 PM,20230126,1.4,5.7
Weber St.,Idaho,-1,133,H,08:00 PM,20230126,6.8,12.4
Lipscomb,Jacksonville St.,4,136,H,08:00 PM,20230126,8.6,-7.2
Longwood,Radford,-5,131,H,06:00 PM,20230126,-8.1,-6.5
Portland,Loyola Marymount,-11,153,H,09:00 PM,20230126,-8.6,-6.1
Fairfield,Mount St. Mary's,-1,119,H,06:00 PM,20230126,7.2,6.0
Utah,Oregon St.,7,125,H,10:00 PM,20230126,5.3,16.0
South Dakota St.,St. Thomas,-4,140,H,07:00 PM,20230126,11.1,2.5
Georgia Southern,Texas St.,-4,120,H,07:00 PM,20230126,-2.3,2.4
Long Beach St.,Cal Poly,5,141,H,09:00 PM,20230126,9.4,10.0
UC San Diego,Cal St. Northridge,-1,123,H,09:00 PM,20230126,0.6,8.1
St. Francis PA,Fairleigh Dickinson,-2,160,H,06:00 PM,20230126,9.1,5.9
UC Davis,Cal St. Bakersfield,3,129,H,09:00 PM,20230126,9.7,14.8
McNeese St.,Incarnate Word,-1,139,H,07:45 PM,20230126,-3.1,-7.7
Louisiana Monroe,Marshall,-17,149,H,06:00 PM,20230126,20.6,20.4
Stetson,Liberty,-12,132,H,06:00 PM,20230126,4.6,-11.2
Idaho St.,Eastern Washington,-10,142,H,08:00 PM,20230126,-0.5,-2.3
Coastal Carolina,James Madison,-13,153,H,06:00 PM,20230126,2.6,6.9
Denver,Oral Roberts,-19,161,H,07:00 PM,20230126,-4.7,-5.1
Tennessee St.,Southeast Missouri St.,-8,154,H,07:30 PM,20230126,-3.1,-2.9
Hofstra,Elon,10,138,H,06:00 PM,20230126,-1.8,-2.1
Georgia St.,Appalachian St.,-8,120,H,05:30 PM,20230126,-14.6,-20.0
South Dakota,Western Illinois,-6,142,H,06:00 PM,20230126,-1.5,-0.7
Northeastern,Towson,-9,129,H,06:00 PM,20230126,-11.0,-2.0
Delaware,Hampton,8,146,H,06:00 PM,20230126,5.0,-6.5
Nebraska Omaha,UMKC,-7,133,H,07:00 PM,20230126,-5.6,-2.2
New Orleans,Southeastern Louisiana,-10,156,H,07:45 PM,20230126,6.5,8.3
Texas A&M Commerce,Lamar,3,135,H,07:30 PM,20230126,-11.7,-5.1
Merrimack,Central Connecticut,-3,113,H,06:00 PM,20230126,15.5,10.9
Austin Peay,Kennesaw St.,-12,134,H,06:30 PM,20230126,-23.3,-20.2
Arkansas St.,Southern Miss,-16,130,H,07:00 PM,20230126,-0.0,-0.8
Stony Brook,William & Mary,-6,126,H,06:00 PM,20230126,5.0,-3.3
UTSA,North Texas,-17,123,H,08:00 PM,20230126,10.1,10.4
Lindenwood,Tennessee Martin,-12,144,H,06:00 PM,20230126,-11.5,-4.4
Little Rock,Morehead St.,-11,147,H,06:00 PM,20230126,-9.9,-1.6
Eastern Illinois,Southern Indiana,-12,148,H,08:00 PM,20230126,-13.1,-9.1
Houston Christian,Northwestern St.,-15,153,H,08:00 PM,20230126,6.1,-2.2
Monmouth,UNC Wilmington,-20,128,H,06:00 PM,20230126,10.0,13.0
St. Francis NY,Wagner,-10,122,H,04:00 PM,20230126,-12.3,4.7
LIU Brooklyn,Sacred Heart,-15,149,H,06:00 PM,20230126,3.7,10.6
Green Bay,Northern Kentucky,-16,122,H,06:00 PM,20230126,-10.8,-10.5
