AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Iona,Siena,4,144,H,06:00 PM,20230127,-11.9,-20.0
Saint Louis,Davidson,1,143,H,06:00 PM,20230127,3.5,-0.9
Buffalo,Kent St.,-11,149,H,08:00 PM,20230127,11.9,11.2
Air Force,New Mexico,-14,142,H,09:00 PM,20230127,-11.5,-3.2
Detroit,Robert Morris,-3,143,H,06:00 PM,20230127,-4.2,-12.7
Rider,Marist,2,132,H,06:00 PM,20230127,-1.3,3.0
Fort Wayne,Cleveland St.,-7,133,H,06:00 PM,20230127,-15.7,-15.5
Oakland,Youngstown St.,-11,159,H,08:00 PM,20230127,6.0,11.6
North Dakota,North Dakota St.,-6,140,H,07:00 PM,20230127,-5.2,-3.8
Manhattan,Niagara,-8,128,H,06:00 PM,20230127,6.8,0.7
