AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Illinois,Texas,-2,140,N,06:00 PM,20221206,0.7,-0.4
Duke,Iowa,1,143,N,08:30 PM,20221206,1.0,-1.2
Maryland,Wisconsin,1,125,H,08:00 PM,20221206,3.7,3.6
Saint Louis,Iona,-1,153,H,06:00 PM,20221206,-8.8,-7.6
Nevada,Pepperdine,1,141,H,10:00 PM,20221206,-0.7,-3.7
Toledo,Northern Iowa,3,157,H,07:30 PM,20221206,3.5,-1.8
Sam Houston St.,Oklahoma St.,-7,127,H,08:00 PM,20221206,5.2,6.3
South Dakota St.,Montana,1,135,H,08:00 PM,20221206,-1.2,1.0
Bradley,SIU Edwardsville,3,133,H,07:00 PM,20221206,-1.9,0.0
Yale,Butler,-5,127,H,05:30 PM,20221206,2.7,0.2
Georgia,Georgia Tech,-4,126,H,06:00 PM,20221206,1.2,-2.1
James Madison,Virginia,-10,134,H,07:00 PM,20221206,11.2,12.9
Tarleton St.,Baylor,-16,146,H,07:00 PM,20221206,12.0,10.8
Arkansas St.,Central Arkansas,-1,137,H,07:00 PM,20221206,5.0,6.9
Bucknell,La Salle,-5,139,H,06:00 PM,20221206,10.3,8.2
UNC Greensboro,Arkansas,-16,132,H,06:00 PM,20221206,-4.1,-3.0
Milwaukee,Chattanooga,-8,142,H,06:00 PM,20221206,9.3,5.9
Vermont,Dartmouth,4,134,H,06:00 PM,20221206,0.1,-0.6
Abilene Christian,Kansas St.,-14,138,H,07:00 PM,20221206,0.2,-0.9
East Carolina,UNC Wilmington,-5,137,H,06:00 PM,20221206,-7.1,-1.0
High Point,Furman,-11,149,H,06:00 PM,20221206,6.4,8.0
North Florida,Houston,-26,132,H,07:00 PM,20221206,-14.5,-12.9
Coppin St.,North Carolina St.,-23,167,H,06:00 PM,20221206,-9.7,-0.1
North Carolina Central,Marquette,-20,150,H,07:30 PM,20221206,-3.9,-3.6
American,Mount St. Mary's,-5,131,H,06:00 PM,20221206,9.5,9.9
Saint Joseph's,Temple,-13,141,H,06:00 PM,20221206,-11.4,-16.1
North Dakota,Idaho,-2,138,H,08:00 PM,20221206,-6.6,-12.4
UMBC,Columbia,5,151,H,06:00 PM,20221206,22.5,22.4
College of Charleston,Presbyterian,13,143,H,06:00 PM,20221206,12.3,13.2
Wagner,Fordham,-8,132,H,06:00 PM,20221206,-9.9,-11.1
South Dakota,Air Force,-6,126,H,04:00 PM,20221206,-13.5,-8.5
Coastal Carolina,Wofford,-7,135,H,06:30 PM,20221206,-3.5,-2.9
Northern Arizona,Pacific,-8,154,H,09:00 PM,20221206,-6.7,-5.9
Little Rock,Memphis,-28,148,H,07:00 PM,20221206,-12.2,-12.7
Jackson St.,TCU,-21,139,H,07:00 PM,20221206,-7.3,-1.6
North Texas,UT Arlington,8,110,H,07:00 PM,20221206,-7.8,-4.6
South Carolina St.,Winthrop,-10,160,H,06:00 PM,20221206,12.5,12.0
Texas A&M Commerce,Wyoming,-12,134,H,08:00 PM,20221206,12.1,11.2
Lafayette,Princeton,-10,126,H,06:00 PM,20221206,1.4,-1.5
UMKC,Oklahoma,-18,120,H,07:00 PM,20221206,-4.2,1.8
Maryland Eastern Shore,George Mason,-12,132,H,06:00 PM,20221206,2.2,-1.1
Oakland,Syracuse,-15,143,H,05:00 PM,20221206,3.5,2.0
Cal St. Bakersfield,San Jose St.,-10,122,H,09:00 PM,20221206,-14.5,-12.2
New Hampshire,Boston College,-15,123,H,06:00 PM,20221206,7.5,6.9
Green Bay,Loyola Chicago,-16,128,H,07:00 PM,20221206,5.1,7.8
Hartford,St. Francis NY,-9,131,H,06:00 PM,20221206,-4.0,-5.5
