AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Purdue,Michigan St.,3,131,H,01:30 PM,20230116,-9.7,-2.8
UAB,Middle Tennessee,2,154,H,08:00 PM,20230116,0.9,-5.3
Princeton,Penn,1,145,H,06:00 PM,20230116,-2.7,3.8
Hofstra,Towson,1,137,H,11:00 AM,20230116,-0.1,-12.4
Florida Atlantic,Western Kentucky,6,140,H,06:00 PM,20230116,-10.2,-3.0
Cleveland St.,Fort Wayne,-2,130,H,06:00 PM,20230116,6.3,16.2
UC Santa Barbara,UC Irvine,-7,137,H,08:00 PM,20230116,-1.7,4.0
Saint Joseph's,La Salle,-1,147,H,01:00 PM,20230116,11.8,17.8
Delaware,Northeastern,-1,139,H,05:00 PM,20230116,2.0,3.8
Montana,Eastern Washington,-4,146,H,08:00 PM,20230116,-11.7,-3.3
Syracuse,Miami FL,-11,153,H,06:00 PM,20230116,3.3,5.2
Illinois,Minnesota,6,138,H,05:00 PM,20230116,-6.2,-1.8
UC Davis,UC San Diego,3,139,H,05:00 PM,20230116,4.5,-0.5
George Washington,George Mason,-7,145,H,03:00 PM,20230116,4.6,14.1
Rice,UTSA,5,161,H,07:00 PM,20230116,-1.9,-4.2
Brown,Yale,-8,130,H,04:00 PM,20230116,11.7,11.2
North Texas,FIU,6,122,H,06:00 PM,20230116,-9.9,-8.2
St. Francis PA,Sacred Heart,-1,157,H,01:00 PM,20230116,13.3,5.5
Alcorn St.,Prairie View A&M,-5,137,H,08:00 PM,20230116,2.3,6.2
Georgetown,Villanova,-10,144,H,11:00 AM,20230116,2.5,11.6
Fairleigh Dickinson,Stonehill,-4,158,H,06:00 PM,20230116,6.2,11.3
Jackson St.,Texas Southern,-3,141,H,07:30 PM,20230116,9.5,7.6
UTEP,Charlotte,-7,115,H,03:00 PM,20230116,2.4,7.7
Lehigh,Loyola MD,1,135,H,06:00 PM,20230116,11.8,6.1
Montana St.,Idaho,10,138,H,08:00 PM,20230116,9.4,-7.7
William & Mary,College of Charleston,-16,144,H,04:00 PM,20230116,-3.8,-7.4
Alabama St.,Alabama A&M,-4,144,H,03:30 PM,20230116,9.8,11.8
Wagner,Merrimack,-1,109,H,06:30 PM,20230116,-20.3,-11.3
Arkansas Pine Bluff,Bethune Cookman,1,145,H,06:30 PM,20230116,16.3,12.9
Cornell,Columbia,12,148,H,11:00 AM,20230116,4.5,4.7
Dartmouth,Harvard,-12,126,H,01:00 PM,20230116,12.9,16.9
North Carolina A&T,Hampton,4,152,H,06:00 PM,20230116,7.6,5.0
Cal Poly,UC Riverside,-11,127,H,07:00 PM,20230116,-1.3,2.3
St. Francis NY,LIU Brooklyn,1,143,H,06:00 PM,20230116,-4.1,1.9
Cal St. Bakersfield,Cal St. Fullerton,-8,114,H,09:00 PM,20230116,-17.1,-19.1
Cal St. Northridge,Hawaii,-13,121,H,09:00 PM,20230116,-0.1,3.2
Elon,UNC Wilmington,-17,137,H,06:00 PM,20230116,14.9,15.9
Mississippi Valley St.,Florida A&M,-2,120,H,04:00 PM,20230116,-4.6,-6.6
Hartford,UMBC,-22,146,H,04:00 PM,20230116,5.2,-2.5
