AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,VegasPercent1,MGPercent,MGSpread,Away_Reg,Home_Reg,Reg_dif,Away_dif,Home_dif,Over_dif,MGHomeRank,MGAwayRank,PomHomeRank,PomAwayRank
Florida Atlantic,San Diego St.,-2.0,132.0,N,5:09 PM,20230401,0.58,0.92,-14.9,0.9,3.9,-3.0,2.2,2.9,-0.7,25.2,18.5,21.3,17.6
Miami FL,Connecticut,-5.5,149.5,N,7:49 PM,20230401,0.7,0.95,-17.5,6.7,14.3,-7.6,12.9,14.5,-1.5,38.2,23.2,23.9,16.4
