AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Arkansas,Kentucky,-1,141,H,08:00 PM,20230207,-5.5,-6.2
Cincinnati,Tulane,-1,155,H,06:00 PM,20230207,5.4,4.7
TCU,Kansas St.,-3,149,H,08:00 PM,20230207,-5.9,-0.4
Rutgers,Indiana,-1,133,H,05:30 PM,20230207,-8.5,-7.4
Marquette,Connecticut,-5,155,H,05:30 PM,20230207,11.4,5.5
North Carolina,Wake Forest,-2,156,H,06:00 PM,20230207,-6.4,-6.5
Auburn,Texas A&M,-3,139,H,06:00 PM,20230207,-12.8,-8.8
Nevada,New Mexico,-6,148,H,09:30 PM,20230207,1.9,8.0
St. John's,Butler,-1,147,H,07:30 PM,20230207,15.4,3.4
Dayton,VCU,-2,128,H,06:00 PM,20230207,-11.0,-11.2
Maryland,Michigan St.,-3,129,H,08:00 PM,20230207,5.6,16.6
North Carolina St.,Virginia,-5,137,H,08:00 PM,20230207,2.7,4.5
Toledo,Akron,-5,151,H,06:00 PM,20230207,-1.5,-7.4
San Jose St.,Fresno St.,1,123,H,09:00 PM,20230207,10.5,8.9
Colorado St.,Air Force,-3,137,H,08:00 PM,20230207,4.2,-2.7
Mississippi,Georgia,-4,136,H,06:00 PM,20230207,5.5,9.6
Ohio,Northern Illinois,1,151,H,07:00 PM,20230207,-20.5,-19.3
Drake,Murray St.,3,139,H,07:00 PM,20230207,9.2,6.2
Rhode Island,Saint Louis,-10,144,H,08:00 PM,20230207,-3.2,0.5
Bowling Green,Kent St.,-14,148,H,06:00 PM,20230207,12.3,6.4
South Carolina,Missouri,-20,152,H,08:00 PM,20230207,-4.0,4.0
Ball St.,Central Michigan,7,139,H,06:00 PM,20230207,3.0,4.5
Eastern Michigan,Buffalo,-15,167,H,06:00 PM,20230207,5.8,10.9
Chicago St.,Delaware St.,3,133,H,06:00 PM,20230207,-7.5,2.2
East Tennessee St.,UNC Greensboro,-11,123,H,06:00 PM,20230207,2.3,-5.6
Louisville,Pittsburgh,-18,140,H,06:00 PM,20230207,5.0,-1.5
Western Michigan,Miami OH,-6,152,H,06:00 PM,20230207,2.5,-6.3
