AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,VegasPercent1,MGPercent,MGSpread,Away_Reg,Home_Reg,Reg_dif,Away_dif,Home_dif,Over_dif,MGHomeRank,MGAwayRank,PomHomeRank,PomAwayRank
Gonzaga,Connecticut,-2,153.5,N,7:49 PM,20230325,0.58,0.58,-2.0,13.1,12.2,0.9,4.8,13.3,-8.5,35.5,37.4,23.3,24.3
Florida Atlantic,Kansas St.,-2,144.5,N,5:09 PM,20230325,0.58,0.82,-9.5,0.9,1.0,-0.0,3.4,2.8,0.6,19.9,18.1,18.9,17.2
