AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Montana St.,Long Beach St.,-2,152,H,06:00 PM
Towson,Penn,1,141,H,03:00 PM
Colorado,Tennessee,-11,135,N,01:00 PM
Southern Illinois,Southern Indiana,6,134,H,03:00 PM
Vermont,Cal St. Fullerton,5,137,H,07:00 PM
Pacific,North Dakota St.,-4,140,H,01:00 PM
North Texas,Saint Mary's,-4,114,H,07:00 PM
Arizona St.,Texas Southern,11,139,H,02:00 PM
Youngstown St.,Notre Dame,-15,153,H,03:00 PM
Oklahoma St.,Oakland,10,144,H,02:00 PM
Brown,Loyola MD,-3,133,H,04:00 PM
East Tennessee St.,Louisiana Lafayette,-9,147,N,03:30 PM
Western Michigan,Valparaiso,-5,139,H,04:00 PM
Eastern Kentucky,Cincinnati,-16,148,H,11:00 AM
Quinnipiac,Central Connecticut,5,153,H,12:00 PM
North Carolina A&T,Iowa St.,-17,139,H,12:00 PM
Manhattan,Fairleigh Dickinson,5,143,H,04:00 PM
Columbia,Sacred Heart,-7,155,H,12:00 PM
Eastern Washington,Hawaii,-9,137,H,09:00 PM
Portland St.,Seattle,-14,146,H,05:00 PM
William & Mary,Virginia Tech,-22,140,H,05:00 PM
Southeastern Louisiana,Wyoming,-27,153,H,03:00 PM
American,George Mason,-15,137,H,03:00 PM
Elon,Harvard,-9,131,N,01:00 PM
Arkansas Pine Bluff,Mississippi St.,-21,139,H,02:00 PM
Eastern Illinois,Central Michigan,-5,139,H,01:00 PM
Alabama St.,Pepperdine,-15,153,H,04:00 PM
NJIT,San Diego,-13,137,H,04:00 PM
VMI,Davidson,-20,144,H,01:00 PM
Idaho,Nebraska Omaha,-7,151,H,02:00 PM
Lindenwood,Missouri,-34,152,H,05:00 PM
Mississippi Valley St.,Yale,-16,142,N,06:30 PM
St. Francis NY,St. Thomas,-11,143,H,02:00 PM
