AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Baylor,Gonzaga,-3,165,N,7:00 PM,20221202,-11.2,-14.3
Illinois,Maryland,-3,143,H,8:00 PM,20221202,-5.7,-4.3
Wake Forest,Clemson,-3,143,H,6:00 PM,20221202,4.1,5.7
Massachusetts,Harvard,-3,137,H,6:00 PM,20221202,1.1,-2.2
Pittsburgh,North Carolina St.,-11,147,H,6:00 PM,20221202,0.2,5.7
South Dakota St.,Kent St.,-9,141,H,6:00 PM,20221202,-20.0,-19.9
Colgate,Auburn,-12,140,H,7:00 PM,20221202,-2.1,3.5
Southern,Louisiana Tech,-9,145,H,6:00 PM,20221202,0.7,-3.4
Campbell,East Carolina,-2,132,H,6:00 PM,20221202,2.1,6.3
Boston University,Merrimack,-1,125,H,6:00 PM,20221202,-3.9,-1.6
Kennesaw St.,Mercer,-5,141,H,6:00 PM,20221202,4.2,5.8
Brown,Bryant,-11,153,H,5:00 PM,20221202,-3.5,-3.1
Eastern Kentucky,James Madison,-13,151,H,6:00 PM,20221202,0.1,-0.5
Northern Illinois,Idaho,3,141,H,8:00 PM,20221202,0.5,-1.7
Northeastern,Georgia Tech,-10,126,H,6:30 PM,20221202,0.3,1.1
Appalachian St.,Charlotte,-8,118,H,6:00 PM,20221202,-1.0,-5.2
Charleston Southern,South Florida,-9,135,H,6:00 PM,20221202,7.0,7.4
Niagara,Iona,-12,128,H,6:00 PM,20221202,-2.5,-2.6
UT Arlington,LSU,-17,129,H,7:00 PM,20221202,0.9,0.2
Canisius,Siena,-9,137,H,6:00 PM,20221202,-19.3,-18.0
Maryland Eastern Shore,Liberty,-15,129,H,6:00 PM,20221202,-0.6,-1.3
Towson,LIU Brooklyn,14,134,H,6:00 PM,20221202,4.0,5.8
Florida A&M,Georgia,-23,125,H,6:00 PM,20221202,-5.8,-5.9
