AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Kansas St.,TCU,-1,147,H,01:00 PM,20230114,13.7,4.1
Oklahoma St.,Baylor,-3,139,H,05:00 PM,20230114,-1.8,-5.0
Duke,Clemson,-1,139,H,04:00 PM,20230114,-14.3,-9.3
Arizona,Oregon,4,158,H,05:00 PM,20230114,5.3,7.2
West Virginia,Oklahoma,-3,137,H,11:00 AM,20230114,-11.8,-12.1
Missouri,Florida,-5,161,H,02:30 PM,20230114,-0.1,-6.1
Iowa St.,Kansas,-6,130,H,03:00 PM,20230114,9.8,14.9
Utah,USC,-3,135,H,09:30 PM,20230114,-7.5,-11.0
UCF,Tulane,2,142,H,01:00 PM,20230114,-2.3,1.1
Providence,Creighton,-6,148,H,01:00 PM,20230114,11.0,3.4
New Mexico,San Diego St.,-8,150,H,08:00 PM,20230114,-9.5,-5.3
Arkansas,Vanderbilt,3,141,H,01:00 PM,20230114,-9.4,-18.6
Miami FL,North Carolina St.,-8,158,H,11:00 AM,20230114,-8.4,-11.2
Bradley,Drake,1,123,H,07:00 PM,20230114,10.1,13.3
Pittsburgh,Georgia Tech,1,141,H,02:00 PM,20230114,5.4,3.0
Wisconsin,Indiana,-4,134,H,12:00 PM,20230114,4.4,6.9
UAB,Louisiana Tech,4,162,H,03:00 PM,20230114,-6.1,-8.6
Georgia,Mississippi,-2,130,H,12:00 PM,20230114,14.5,11.8
Texas Tech,Texas,-8,142,H,07:00 PM,20230114,6.3,-4.4
Saint Louis,George Washington,1,159,H,03:00 PM,20230114,-0.6,-7.6
Louisiana Lafayette,South Alabama,-1,145,H,03:00 PM,20230114,8.7,4.8
Colorado,UCLA,-14,138,H,07:00 PM,20230114,-3.4,-5.3
Troy,Appalachian St.,-1,133,H,03:00 PM,20230114,-9.4,-5.8
Sam Houston St.,Utah Tech,2,140,H,08:00 PM,20230114,-5.3,0.2
Richmond,St. Bonaventure,-1,123,H,01:30 PM,20230114,2.0,4.5
Princeton,Brown,2,132,H,01:00 PM,20230114,-2.4,0.6
Saint Mary's,San Francisco,8,130,H,10:00 PM,20230114,6.2,10.0
Grand Canyon,Cal Baptist,1,121,H,09:00 PM,20230114,-3.7,-3.6
Cincinnati,SMU,4,144,H,03:00 PM,20230114,6.5,13.0
Stephen F. Austin,Southern Utah,-5,159,H,02:00 PM,20230114,7.7,4.7
Grambling St.,Southern,-1,137,H,03:00 PM,20230114,1.5,-7.6
North Texas,Florida Atlantic,-5,117,H,01:00 PM,20230114,0.0,2.7
Mississippi St.,Auburn,-7,121,H,07:30 PM,20230114,-16.0,-11.5
Santa Clara,Pacific,4,154,H,08:00 PM,20230114,3.8,-1.0
Chattanooga,Samford,-3,151,H,05:00 PM,20230114,-3.9,-6.7
LSU,Alabama,-16,148,H,03:00 PM,20230114,-10.8,-12.2
Stetson,Eastern Kentucky,-1,149,H,02:00 PM,20230114,0.8,-0.1
UNC Greensboro,Furman,-4,136,H,03:00 PM,20230114,2.2,-4.5
Air Force,Fresno St.,-1,119,H,06:00 PM,20230114,1.2,9.2
Kentucky,Tennessee,-18,130,H,11:00 AM,20230114,-26.3,-27.5
Fordham,La Salle,-1,145,H,02:00 PM,20230114,-10.3,-14.2
Colorado St.,UNLV,-9,149,H,06:00 PM,20230114,-2.0,1.9
Wake Forest,Boston College,5,141,H,07:00 PM,20230114,1.4,4.6
Seton Hall,DePaul,6,138,H,11:00 AM,20230114,10.0,3.9
Drexel,Northeastern,-1,125,H,11:00 AM,20230114,2.7,-4.8
Morgan St.,Coppin St.,1,153,H,03:00 PM,20230114,7.8,7.1
Bryant,New Hampshire,-1,141,H,12:00 PM,20230114,-17.2,-14.8
Pepperdine,BYU,-10,150,H,08:00 PM,20230114,-12.3,-11.8
Army,Boston University,1,145,H,12:00 PM,20230114,13.4,15.0
Notre Dame,Syracuse,-4,138,H,06:00 PM,20230114,-1.7,-4.9
Boise St.,Wyoming,7,131,H,10:00 PM,20230114,0.3,12.8
Buffalo,Central Michigan,3,147,H,03:30 PM,20230114,2.9,6.2
Southeast Missouri St.,Morehead St.,-1,143,H,02:00 PM,20230114,-0.1,4.2
Cal St. Fullerton,UC Davis,-4,136,H,04:00 PM,20230114,7.1,8.1
Long Beach St.,Hawaii,-7,141,H,10:59 PM,20230114,-1.8,3.3
Seattle,Utah Valley,-9,139,H,07:00 PM,20230114,0.7,-0.1
Northwestern St.,Nicholls St.,-3,143,H,03:00 PM,20230114,9.9,15.3
Virginia,Florida St.,8,132,H,03:00 PM,20230114,-4.4,-2.7
Tennessee Martin,Southern Indiana,-2,160,H,07:30 PM,20230114,8.6,12.4
Portland,Gonzaga,-17,167,H,09:00 PM,20230114,-9.1,-0.8
UTEP,Rice,-5,135,H,02:00 PM,20230114,-4.8,-4.6
Youngstown St.,Oakland,5,163,H,02:00 PM,20230114,-7.2,-4.6
