AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
San Diego St.,Boise St.,1,135,H,8:00 PM,20230228,20.7,9.6
Iowa,Indiana,-7,163,H,6:00 PM,20230228,-2.3,-4.4
Arkansas,Tennessee,-7,133,H,8:00 PM,20230228,19.5,9.6
North Carolina St.,Duke,-5,143,H,6:00 PM,20230228,-4.4,-18.5
Michigan St.,Nebraska,3,131,H,8:00 PM,20230228,2.9,-1.9
Texas Tech,Kansas,-9,147,H,8:00 PM,20230228,9.1,5.4
Florida,Georgia,2,142,H,6:00 PM,20230228,7.1,1.5
Villanova,Seton Hall,-4,128,H,7:30 PM,20230228,8.6,22.6
Buffalo,Northern Illinois,-1,155,H,7:00 PM,20230228,-12.5,-7.1
Clemson,Virginia,-5,129,H,6:00 PM,20230228,11.1,34.0
Texas A&M,Mississippi,6,138,H,8:00 PM,20230228,11.7,0.6
Marquette,Butler,7,143,H,5:30 PM,20230228,-0.0,-1.7
Saint Louis,VCU,-6,144,H,6:00 PM,20230228,-5.0,-6.2
Bryant,Maine,1,151,H,6:00 PM,20230228,1.8,1.1
Lipscomb,Stetson,-5,149,H,6:00 PM,20230228,-3.8,6.1
Colorado St.,San Jose St.,-5,139,H,10:00 PM,20230228,-2.2,2.0
Georgia Tech,Syracuse,-6,142,H,6:00 PM,20230228,9.2,18.3
UMBC,Binghamton,-1,147,H,6:00 PM,20230228,-19.9,-13.3
Fresno St.,New Mexico,-11,141,H,9:30 PM,20230228,12.1,4.9
Ball St.,Akron,-7,139,H,6:00 PM,20230228,-1.9,-0.4
Boston College,Wake Forest,-11,149,H,6:00 PM,20230228,7.1,15.3
Ohio,Kent St.,-11,147,H,6:00 PM,20230228,2.5,-0.1
Queens,Kennesaw St.,-10,156,H,6:00 PM,20230228,3.3,0.1
Arkansas St.,Coastal Carolina,-1,139,N,5:00 PM,20230228,8.0,10.3
Miami OH,Western Michigan,-1,149,H,6:00 PM,20230228,5.1,9.6
Fort Wayne,Detroit,-5,155,H,6:00 PM,20230228,-6.8,11.9
Virginia Tech,Louisville,9,147,H,8:00 PM,20230228,-11.4,-12.9
North Alabama,Eastern Kentucky,-8,156,H,6:00 PM,20230228,12.4,-1.7
Georgia St.,Texas St.,-4,132,N,7:30 PM,20230228,-1.5,-2.9
La Salle,Dayton,-13,135,H,6:00 PM,20230228,8.5,1.6
Eastern Michigan,Bowling Green,-8,162,H,6:00 PM,20230228,11.8,2.4
South Carolina,Mississippi St.,-13,121,H,8:00 PM,20230228,0.8,0.8
Bucknell,American,-4,132,H,6:00 PM,20230228,22.8,10.2
Toledo,Central Michigan,14,154,H,6:00 PM,20230228,16.3,23.0
Bellarmine,Liberty,-16,126,H,6:00 PM,20230228,4.7,1.4
NJIT,New Hampshire,-6,130,H,6:00 PM,20230228,1.9,4.7
Holy Cross,Loyola MD,-6,140,H,6:00 PM,20230228,-17.0,-16.9
Albany,Vermont,-20,144,H,6:00 PM,20230228,-9.2,6.3
Green Bay,Wright St.,-20,146,H,6:00 PM,20230228,1.6,0.9
IUPUI,Robert Morris,-13,139,H,6:00 PM,20230228,4.5,8.3
