AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Baylor,Texas,-4,154,H,08:00 PM,20230130,13.0,1.1
Iowa St.,Texas Tech,1,127,H,08:00 PM,20230130,3.9,-3.6
Virginia,Syracuse,6,132,H,06:00 PM,20230130,2.7,1.3
South Dakota St.,UMKC,-2,124,H,07:00 PM,20230130,10.9,5.9
Maryland Eastern Shore,Morgan St.,-4,136,H,06:30 PM,20230130,10.2,17.7
North Carolina Central,Norfolk St.,-3,139,H,06:00 PM,20230130,-7.3,-5.9
Chicago St.,The Citadel,-1,139,H,06:00 PM,20230130,1.6,7.6
Alabama A&M,Bethune Cookman,-1,147,H,06:30 PM,20230130,-5.6,-7.4
Alcorn St.,Grambling St.,-9,137,H,07:35 PM,20230130,5.4,3.2
South Dakota,Oral Roberts,-19,155,H,07:00 PM,20230130,-0.1,-13.5
Jackson St.,Southern,-9,149,H,08:00 PM,20230130,-6.1,-12.1
Alabama St.,Florida A&M,1,123,H,08:00 PM,20230130,-11.6,-17.6
South Carolina St.,Howard,-10,158,H,06:30 PM,20230130,-13.7,-15.6
Delaware St.,Coppin St.,-7,153,H,06:30 PM,20230130,22.0,17.4
Loyola MD,Colgate,-18,142,H,06:00 PM,20230130,5.5,5.0
