AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,VegasPercent1,MGPercent,MGSpread,Away_Reg,Home_Reg,Reg_dif,Away_dif,Home_dif,Over_dif,MGHomeRank,MGAwayRank,PomHomeRank,PomAwayRank
Creighton,San Diego St.,2,134.0,N,1:09 PM,20230325,0.42,0.5,0.0,0.1,4.1,-4.1,2.0,6.1,-4.1,25.2,22.0,21.1,21.9
Miami FL,Texas,-4,149.5,N,4:09 PM,20230325,0.65,0.98,-21.7,4.8,9.3,-4.5,14.5,8.3,6.2,33.9,20.9,24.6,16.1
