AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
New Mexico,Nevada,-1,147,H,08:00 PM,20230123,0.8,3.6
Kansas,Baylor,-3,151,H,08:00 PM,20230123,-26.9,-21.6
Duke,Virginia Tech,-3,131,H,06:00 PM,20230123,2.5,-2.7
Wisconsin,Northwestern,-4,118,H,05:30 PM,20230123,-9.9,-3.3
Norfolk St.,Morgan St.,-1,141,H,06:30 PM,20230123,9.0,-1.4
Grambling St.,Arkansas Pine Bluff,2,130,H,07:30 PM,20230123,-16.4,-3.1
Texas Southern,Alabama St.,-2,136,H,07:45 PM,20230123,0.3,9.6
Prairie View A&M,Alabama A&M,3,133,H,08:00 PM,20230123,5.6,-11.2
Colgate,Boston University,5,145,H,06:00 PM,20230123,-0.2,7.8
Oakland,Detroit,-7,157,H,06:00 PM,20230123,8.9,16.0
North Dakota,Western Illinois,-4,134,H,06:00 PM,20230123,2.9,2.2
Maryland Eastern Shore,North Carolina Central,-8,134,H,06:30 PM,20230123,2.4,2.6
Chicago St.,Coastal Carolina,-8,144,H,06:00 PM,20230123,-0.5,6.3
Coppin St.,Howard,-9,157,H,06:30 PM,20230123,-21.2,-20.3
Southern,Mississippi Valley St.,7,135,H,07:45 PM,20230123,0.0,-1.2
Delaware St.,South Carolina St.,-10,150,H,06:45 PM,20230123,7.1,7.1
Bethune Cookman,Alcorn St.,-14,146,H,07:30 PM,20230123,-7.4,1.1
Florida A&M,Jackson St.,-11,129,H,07:30 PM,20230123,5.1,10.2
Penn,Hartford,16,138,H,06:00 PM,20230123,-2.6,-1.4
