AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Arkansas,Missouri,-2,164,H,08:00 PM,20230118,-8.7,-6.2
Connecticut,Seton Hall,4,134,H,05:30 PM,20230118,-21.2,-11.5
TCU,West Virginia,-4,148,H,06:00 PM,20230118,6.7,-1.4
Florida,Texas A&M,-4,142,H,06:00 PM,20230118,-20.4,-19.4
Providence,Marquette,-8,158,H,08:00 PM,20230118,6.2,-2.4
Bradley,Indiana St.,-2,138,H,06:00 PM,20230118,1.2,3.2
Oklahoma,Oklahoma St.,-4,126,H,08:00 PM,20230118,5.1,1.6
San Diego St.,Colorado St.,5,147,H,09:30 PM,20230118,2.9,-6.4
Duquesne,St. Bonaventure,1,139,H,06:00 PM,20230118,10.4,-9.0
Ohio St.,Nebraska,5,137,H,06:00 PM,20230118,0.0,-5.2
Cincinnati,South Florida,2,142,H,06:00 PM,20230118,1.4,9.2
Virginia Tech,Virginia,-6,126,H,06:00 PM,20230118,-12.7,-12.1
Auburn,LSU,4,136,H,06:00 PM,20230118,15.7,19.4
Furman,Chattanooga,-4,160,H,06:00 PM,20230118,10.3,6.6
Xavier,DePaul,11,165,H,07:30 PM,20230118,0.9,-9.8
SMU,Tulsa,1,147,H,07:00 PM,20230118,-2.8,-3.9
Missouri St.,Drake,-5,125,H,07:00 PM,20230118,-2.8,-2.3
UNC Asheville,Charleston Southern,-2,150,H,06:00 PM,20230118,-1.5,1.9
Radford,Campbell,2,132,H,06:00 PM,20230118,3.5,7.4
UMBC,UMass Lowell,-6,156,H,05:00 PM,20230118,4.4,3.1
Samford,East Tennessee St.,3,139,H,06:00 PM,20230118,5.5,4.1
Utah Tech,Grand Canyon,-7,139,H,08:00 PM,20230118,0.9,2.4
Gardner Webb,Longwood,-5,129,H,06:00 PM,20230118,-2.9,0.3
Wofford,Western Carolina,-2,140,H,06:00 PM,20230118,-15.8,-6.6
Saint Louis,Loyola Chicago,6,146,H,06:00 PM,20230118,16.0,12.5
Oregon,California,5,127,H,09:00 PM,20230118,-16.6,6.6
Winthrop,High Point,-3,161,H,06:00 PM,20230118,9.0,0.1
North Alabama,Central Arkansas,-2,162,H,07:00 PM,20230118,-3.2,-4.7
East Carolina,Temple,-8,136,H,06:00 PM,20230118,-0.1,-5.8
Abilene Christian,Utah Valley,-13,145,H,07:00 PM,20230118,-7.7,-13.5
Lafayette,American,-7,119,H,06:00 PM,20230118,19.3,29.6
Pittsburgh,Louisville,13,141,H,06:00 PM,20230118,-2.4,3.8
Bucknell,Army,-10,148,H,05:00 PM,20230118,-14.8,2.5
Illinois St.,Northern Iowa,-8,132,H,07:00 PM,20230118,-0.8,3.5
Colgate,Holy Cross,10,146,H,06:00 PM,20230118,-8.4,-9.3
Boston University,Navy,-5,139,H,06:00 PM,20230118,4.0,-8.5
Presbyterian,USC Upstate,-6,132,H,06:00 PM,20230118,-3.6,3.2
Hartford,Morgan St.,-18,132,H,05:00 PM,20230118,1.7,5.5
