AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Arizona,Indiana,1,161,N,6:30 PM,20221210,-2.0,-3.8
Auburn,Memphis,1,131,N,4:00 PM,20221210,-2.2,2.0
Kansas,Missouri,2,162,H,4:15 PM,20221210,3.7,9.4
Xavier,Cincinnati,2,156,H,2:00 PM,20221210,2.1,2.0
LSU,Wake Forest,-1,143,N,1:00 PM,20221210,-12.2,-8.7
Arkansas,Oklahoma,2,130,N,12:00 PM,20221210,-6.9,-7.0
UNLV,Washington St.,-1,135,N,3:30 PM,20221210,3.9,4.5
Saint Mary's,San Diego St.,3,123,N,2:00 PM,20221210,1.7,7.4
North Carolina St.,Miami FL,-4,156,H,1:00 PM,20221210,0.7,2.4
UAB,West Virginia,-9,155,H,5:00 PM,20221210,-3.5,-5.5
Samford,Louisiana Lafayette,-1,157,H,7:00 PM,20221210,7.7,9.6
Boise St.,Saint Louis,-3,141,H,7:00 PM,20221210,9.2,15.1
Louisiana Tech,Wyoming,1,141,H,8:00 PM,20221210,12.7,13.8
Alabama,Houston,-11,127,H,2:00 PM,20221210,-15.1,-13.6
Penn St.,Illinois,-9,143,H,11:00 AM,20221210,-2.9,-5.7
Drake,Richmond,1,127,H,1:00 PM,20221210,9.7,8.7
UC Santa Barbara,Pepperdine,-2,142,H,7:00 PM,20221210,-3.6,-4.4
Middle Tennessee,Belmont,2,144,H,4:00 PM,20221210,2.1,4.7
Purdue,Nebraska,6,134,H,1:15 PM,20221210,-4.8,2.1
Grand Canyon,North Texas,-1,109,N,4:30 PM,20221210,8.1,5.2
Long Beach St.,Sacramento St.,1,143,H,5:30 PM,20221210,5.7,1.4
Jacksonville,UNC Wilmington,1,127,H,3:00 PM,20221210,-0.3,0.8
Kent St.,Cleveland St.,4,128,H,2:00 PM,20221210,1.8,6.6
Nevada,Oregon,-7,135,H,6:00 PM,20221210,-2.9,-1.0
Buffalo,Tulane,-7,161,N,10:30 AM,20221210,17.6,18.8
Temple,Penn,3,141,H,12:00 PM,20221210,2.2,3.3
BYU,Creighton,-11,147,N,9:00 PM,20221210,-6.3,-4.1
Wofford,Georgia Southern,-1,137,H,2:00 PM,20221210,0.5,3.4
SIU Edwardsville,Illinois St.,1,135,H,3:00 PM,20221210,9.3,7.9
Georgia Tech,North Carolina,-11,141,H,2:15 PM,20221210,12.6,12.4
Yale,Kentucky,-12,132,H,12:00 PM,20221210,7.5,7.3
UTEP,DePaul,-5,137,H,5:30 PM,20221210,6.0,6.0
Murray St.,Bellarmine,1,127,H,3:00 PM,20221210,-5.4,-4.7
Norfolk St.,William & Mary,-1,137,H,3:00 PM,20221210,-17.5,-14.9
Portland St.,Cal Poly,-2,142,H,9:00 PM,20221210,5.0,6.0
Fresno St.,Pacific,4,138,H,4:00 PM,20221210,5.7,0.4
Clemson,Loyola Chicago,6,132,N,6:30 PM,20221210,-0.0,-2.4
Vermont,Colgate,-6,142,H,11:00 AM,20221210,10.4,6.9
St. Thomas,Idaho St.,1,139,H,7:00 PM,20221210,-8.2,-6.1
Boston College,Villanova,-6,130,N,4:00 PM,20221210,-4.7,-5.8
Northern Colorado,Cal St. Northridge,1,145,H,9:00 PM,20221210,0.3,2.5
