AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Gonzaga,Saint Mary's,-2,142,N,8:00 PM,20230307,18.1,30.1
Utah Tech,Stephen F. Austin,-1,151,N,10:40 PM,20230307,10.4,16.0
Northern Kentucky,Cleveland St.,1,125,N,6:00 PM,20230307,3.9,5.5
Massachusetts,Richmond,-1,143,N,10:30 AM,20230307,1.1,-16.0
Abilene Christian,Cal Baptist,-2,140,N,2:00 PM,20230307,2.4,-7.3
Florida St.,Georgia Tech,-3,145,N,1:00 PM,20230307,-23.3,-9.9
Notre Dame,Virginia Tech,-7,145,N,6:00 PM,20230307,7.9,2.6
UNC Wilmington,College of Charleston,-8,142,N,6:00 PM,20230307,-7.4,4.1
Rhode Island,La Salle,-1,141,N,3:30 PM,20230307,-7.1,-10.7
Loyola Chicago,Saint Joseph's,-3,145,N,1:00 PM,20230307,3.3,-2.4
Canisius,Mount St. Mary's,1,137,N,4:40 PM,20230307,-1.8,-0.1
Northern Arizona,Montana,-3,141,N,7:30 PM,20230307,16.4,14.7
Weber St.,Montana St.,-6,128,N,10:00 PM,20230307,-0.5,2.5
North Dakota St.,Oral Roberts,-9,157,N,8:00 PM,20230307,-2.1,-18.9
UT Rio Grande Valley,Tarleton St.,-8,152,N,8:00 PM,20230307,-16.7,-8.5
Grand Canyon,UT Arlington,5,135,N,4:30 PM,20230307,-8.2,5.4
Marist,Manhattan,-1,135,N,9:30 PM,20230307,5.1,15.4
Boston College,Louisville,6,138,N,3:30 PM,20230307,6.4,8.6
Cal Poly,Long Beach St.,-10,138,N,10:30 PM,20230307,5.1,21.9
Saint Peter's,Fairfield,-4,122,N,7:05 PM,20230307,7.2,14.8
New Orleans,Northwestern St.,-7,153,N,8:00 PM,20230307,12.6,7.7
Fairleigh Dickinson,Merrimack,-5,139,H,6:00 PM,20230307,-7.1,0.7
Cal St. Northridge,Cal St. Bakersfield,-2,122,N,8:00 PM,20230307,-0.2,-1.0
McNeese St.,Texas A&M Corpus Chris,-8,150,N,5:30 PM,20230307,-2.9,1.3
New Hampshire,UMass Lowell,-13,137,H,5:00 PM,20230307,-19.6,-8.2
Binghamton,Vermont,-15,137,H,6:00 PM,20230307,-2.6,-10.5
