AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Creighton,Marquette,-6,154,H,07:30 PM,20221216,-21.1,-17.0
Xavier,Georgetown,11,161,H,05:30 PM,20221216,10.4,9.6
Florida Gulf Coast,St. Bonaventure,-3,133,H,06:00 PM,20221216,-1.2,-1.0
Southern,Youngstown St.,-7,155,H,07:00 PM,20221216,-1.1,1.9
Missouri St.,Oral Roberts,-9,141,H,07:00 PM,20221216,-13.9,-11.1
Delaware,Princeton,-9,143,H,06:00 PM,20221216,-8.2,-6.5
Austin Peay,Murray St.,-7,127,H,07:00 PM,20221216,12.9,14.9
Central Connecticut,Manhattan,-4,134,H,06:00 PM,20221216,8.0,5.3
Bethune Cookman,Incarnate Word,-3,133,H,05:30 PM,20221216,-2.1,-7.8
Chicago St.,Southern Illinois,-14,132,H,07:00 PM,20221216,11.7,17.7
Weber St.,Cal Poly,-8,128,H,09:00 PM,20221216,-21.3,-17.8
Dartmouth,South Florida,-13,131,H,06:00 PM,20221216,-9.5,-11.4
Green Bay,Stanford,-23,131,H,07:00 PM,20221216,8.9,6.8
Mississippi Valley St.,Tulsa,-16,136,H,07:00 PM,20221216,1.9,4.2
