,AWAY,HOME,VegasSpread,VegasTotal,Court,Time
48,Southern Indiana,Missouri,-19,151,H,7:00 PM
49,North Dakota St.,Arkansas,-20,140,H,7:00 PM
50,Merrimack,St. John's,-16,140,H,5:50 PM
51,Morgan St.,Xavier,-23,155,H,6:40 PM
52,Howard,Kentucky,-26,160,H,5:30 PM
53,Morehead St.,Indiana,-20,136,H,6:00 PM
54,Gardner Webb,Colorado St.,-11,137,H,8:00 PM
55,Evansville,Miami OH,-3,141,H,7:30 PM
56,Pacific,Stanford,-20,144,H,1:00 PM
57,UMBC,Tulane,-21,159,H,7:30 PM
58,UT Arlington,Oklahoma St.,-20,140,H,8:00 PM
59,Weber St.,Washington,-15,149,H,10:00 PM
60,Louisiana Monroe,Texas A&M,-22,148,H,7:00 PM
61,Sacramento St.,UCLA,-21,137,H,10:30 PM
62,Northern Colorado,Houston,-22,144,H,7:00 PM
63,Loyola MD,DePaul,-12,140,H,6:45 PM
64,Texas Southern,San Francisco,-14,138,H,9:00 PM
65,Mount St. Mary's,West Virginia,-18,138,H,6:00 PM
66,Siena,Holy Cross,2,140,H,6:00 PM
67,Wagner,Temple,-15,137,H,6:00 PM
68,Cal St. Fullerton,San Diego St.,-20,130,H,9:00 PM
69,Stetson,Florida St.,-16,144,H,6:00 PM
70,Brown,Vermont,-12,138,H,6:00 PM
71,North Dakota,Incarnate Word,-3,145,H,7:30 PM
72,Northern Arizona,Michigan St.,-21,147,H,6:00 PM
73,Austin Peay,North Carolina St.,-12,144,H,7:00 PM
74,Tennessee Tech,Tennessee,-29,151,H,6:00 PM
75,Stony Brook,Florida,-22,150,H,7:00 PM
76,Bethune Cookman,Iowa,-25,157,H,6:00 PM
77,St. Francis PA,St. Bonaventure,-8,144,H,6:00 PM
78,Winthrop,Penn St.,-15,143,H,6:00 PM
79,St. Thomas,Creighton,-22,148,H,7:30 PM
80,Radford,Marquette,-18,148,H,7:37 PM
81,Dartmouth,Fordham,-10,130,H,6:30 PM
82,Nebraska Omaha,Kansas,-30,154,H,7:00 PM
83,Manhattan,VCU,-16,140,H,6:00 PM
84,Northwestern St.,Texas Tech,-23,149,H,8:00 PM
85,Lehigh,Syracuse,-17,153,H,7:00 PM
86,Western Carolina,Georgia,-14,158,H,7:00 PM
87,Tennessee Martin,Pittsburgh,-14,154,H,6:00 PM
88,Coppin St.,Charlotte,-11,155,H,5:00 PM
89,Alabama St.,UAB,-25,155,H,6:30 PM
90,Niagara,Maryland,-17,139,H,6:00 PM
