AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Gonzaga,Texas,1,147,H,08:30 PM
Iowa,Seton Hall,-2,144,H,06:30 PM
Arizona St.,VCU,1,129,N,07:30 PM
San Francisco,Fresno St.,-5,129,H,09:00 PM
Cincinnati,Northern Kentucky,5,135,H,06:00 PM
Ohio,Detroit,3,143,H,06:00 PM
South Dakota St.,Arkansas,-13,147,H,07:00 PM
Harvard,Northeastern,-3,133,H,06:00 PM
Michigan,Pittsburgh,7,137,N,05:00 PM
Cleveland St.,Canisius,1,145,H,06:00 PM
Florida Gulf Coast,Tennessee,-19,145,H,06:00 PM
Missouri St.,BYU,-12,144,H,08:00 PM
Southern Indiana,Notre Dame,-16,148,H,07:00 PM
Southern,Saint Mary's,-16,130,H,07:30 PM
Southeast Missouri St.,Evansville,-4,144,H,07:00 PM
Valparaiso,Chicago St.,7,145,H,07:00 PM
Ball St.,Nebraska Omaha,4,148,H,07:30 PM
Texas Southern,Houston,-25,131,H,07:00 PM
Army,Siena,-5,139,H,06:31 PM
Oakland,Toledo,-17,155,H,06:00 PM
William & Mary,American,-3,141,H,06:00 PM
Cal St. Bakersfield,Idaho,1,137,H,08:00 PM
Sacred Heart,UMass Lowell,-9,153,H,03:00 PM
Presbyterian,UAB,-20,142,H,06:30 PM
Hampton,East Carolina,-8,146,H,06:00 PM
Charleston Southern,Tulane,-24,150,H,06:00 PM
Marist,Lehigh,-6,140,H,06:00 PM
Arkansas Pine Bluff,Kent St.,-19,141,H,11:00 AM
Eastern Illinois,Ohio St.,-23,133,H,06:00 PM
Delaware St.,Columbia,-11,143,H,06:00 PM
