AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Florida Atlantic,UAB,-1,151,H,06:00 PM,20230202,-4.6,-10.5
Marshall,Appalachian St.,2,142,H,05:30 PM,20230202,-12.7,-0.6
Washington St.,USC,-4,134,H,10:15 PM,20230202,-3.4,-6.0
Michigan,Northwestern,-6,138,H,06:00 PM,20230202,-4.4,9.8
Utah Valley,Utah Tech,2,148,H,08:00 PM,20230202,0.3,0.1
Oregon,Arizona,-11,155,H,09:30 PM,20230202,-2.3,-5.0
James Madison,Old Dominion,1,137,H,06:00 PM,20230202,-2.5,3.3
Southern Miss,Troy,2,138,H,06:00 PM,20230202,12.7,15.2
Santa Clara,Gonzaga,-11,165,H,10:00 PM,20230202,1.8,-9.5
Loyola Marymount,BYU,-4,140,H,08:00 PM,20230202,-4.4,-19.9
Wisconsin,Ohio St.,-8,132,H,06:00 PM,20230202,6.5,17.1
Hawaii,UC Davis,-2,138,H,08:00 PM,20230202,-7.0,-11.7
Portland,San Diego,-3,167,H,09:00 PM,20230202,1.5,12.3
Long Beach St.,Cal St. Fullerton,-5,141,H,09:00 PM,20230202,-0.6,0.5
Cleveland St.,Detroit,1,143,H,06:00 PM,20230202,2.4,-8.4
Houston,Wichita St.,11,123,H,08:00 PM,20230202,-11.2,-20.8
College of Charleston,Drexel,5,135,H,06:00 PM,20230202,1.6,2.4
San Francisco,Saint Mary's,-14,130,H,10:00 PM,20230202,-2.9,7.2
Stanford,Utah,-9,133,H,07:00 PM,20230202,7.8,19.2
Fort Wayne,Oakland,-1,147,H,06:00 PM,20230202,-11.5,1.7
Eastern Washington,Sacramento St.,1,139,H,09:00 PM,20230202,9.2,18.3
Northern Kentucky,Robert Morris,-1,119,H,06:00 PM,20230202,7.3,8.3
Washington,UCLA,-17,135,H,08:00 PM,20230202,8.9,7.7
Georgia Southern,Georgia St.,1,127,H,06:00 PM,20230202,8.9,8.4
Rice,Louisiana Tech,-5,151,H,06:00 PM,20230202,-6.9,-11.0
Pepperdine,Pacific,-6,162,H,09:00 PM,20230202,-18.8,-19.8
North Dakota St.,South Dakota,1,145,H,07:00 PM,20230202,5.0,-4.8
Towson,Hofstra,-7,135,H,06:00 PM,20230202,0.5,0.8
Wright St.,Youngstown St.,-8,162,H,06:00 PM,20230202,8.0,14.1
Kennesaw St.,Bellarmine,4,130,H,06:30 PM,20230202,3.7,1.8
St. Thomas,Nebraska Omaha,1,147,H,07:00 PM,20230202,-0.4,-3.8
UC Irvine,UC San Diego,7,139,H,09:00 PM,20230202,4.6,-2.0
UTEP,Middle Tennessee,-6,124,H,08:00 PM,20230202,4.2,-3.0
Queens,Lipscomb,-6,156,H,07:00 PM,20230202,-2.3,-0.6
UNC Greensboro,Mercer,3,121,H,06:00 PM,20230202,7.9,14.7
UC Riverside,Cal St. Bakersfield,3,125,H,09:00 PM,20230202,0.2,-7.2
Texas St.,Louisiana Lafayette,-9,139,H,07:30 PM,20230202,-11.8,-8.7
Tennessee Martin,SIU Edwardsville,-5,143,H,06:00 PM,20230202,12.6,-6.0
FIU,Charlotte,-9,133,H,06:00 PM,20230202,9.6,18.4
