AWAY,HOME,VegasSpread,VegasTotal,Court,Time
South Dakota St.,Boise St.,-8,142,H,08:00 PM
Davidson,Wright St.,4,144,H,06:00 PM
Florida Gulf Coast,San Diego,-5,149,H,09:00 PM
Lipscomb,South Dakota,-6,158,H,07:00 PM
American,Marist,-1,129,H,06:00 PM
Bellarmine,Louisville,-12,136,H,08:00 PM
Tennessee Martin,Youngstown St.,-12,166,H,06:00 PM
Hampton,James Madison,-12,152,H,06:00 PM
UMKC,LSU,-21,137,H,07:00 PM
Monmouth,Seton Hall,-21,131,H,07:00 PM
IUPUI,Drake,-26,134,H,07:00 PM
Florida A&M,Portland,-26,138,H,09:30 PM
