AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Kansas,West Virginia,-1,143,H,5:00 PM,20230107,13.2,7.2
Arkansas,Auburn,-1,137,H,7:30 PM,20230107,8.2,6.7
Utah St.,Boise St.,1,139,H,5:30 PM,20230107,7.6,5.4
Gonzaga,Santa Clara,2,160,H,9:00 PM,20230107,-12.4,-14.8
Kansas St.,Baylor,-3,149,H,5:00 PM,20230107,12.5,16.4
Texas,Oklahoma St.,-4,138,H,11:00 AM,20230107,-18.1,-20.6
North Carolina St.,Virginia Tech,-4,144,H,6:30 PM,20230107,4.1,14.1
Iowa St.,TCU,-3,125,H,1:00 PM,20230107,-2.0,-0.1
Creighton,Connecticut,-10,142,H,11:00 AM,20230107,13.6,21.0
UNLV,New Mexico,-6,150,H,8:30 PM,20230107,-2.5,-0.7
Xavier,Villanova,3,151,H,3:30 PM,20230107,-0.9,4.8
Kentucky,Alabama,-9,149,H,12:00 PM,20230107,-9.7,-10.4
Clemson,Pittsburgh,-3,145,H,3:00 PM,20230107,2.6,5.3
Butler,Seton Hall,-2,128,H,7:30 PM,20230107,-4.5,4.4
Nevada,San Jose St.,1,133,H,3:00 PM,20230107,-9.6,-1.6
Michigan,Michigan St.,-4,140,H,1:30 PM,20230107,5.0,2.6
Wisconsin,Illinois,-4,128,H,12:30 PM,20230107,7.2,1.3
Oklahoma,Texas Tech,-5,131,H,6:00 PM,20230107,-9.5,-6.2
Tulane,Temple,-2,148,H,1:00 PM,20230107,8.6,0.3
San Francisco,Loyola Marymount,-3,145,H,9:00 PM,20230107,-3.4,-0.2
Georgia Tech,Florida St.,1,143,H,12:00 PM,20230107,-0.6,3.4
Missouri St.,Belmont,-1,135,H,4:00 PM,20230107,3.9,4.7
Princeton,Cornell,-3,151,H,5:00 PM,20230107,-8.1,-2.9
Washington St.,Arizona,-14,156,H,4:00 PM,20230107,1.5,8.5
LSU,Texas A&M,-4,142,H,5:00 PM,20230107,-5.5,-4.6
Grand Canyon,Stephen F. Austin,1,135,H,2:00 PM,20230107,-7.6,-4.0
BYU,San Diego,2,154,H,7:00 PM,20230107,5.6,2.8
Duquesne,Richmond,-2,130,H,5:00 PM,20230107,11.1,10.4
Massachusetts,George Washington,-2,152,H,1:00 PM,20230107,-4.8,-1.7
Southern Utah,Abilene Christian,-1,151,H,6:00 PM,20230107,-4.2,-2.7
Oregon,Utah,-7,131,H,6:00 PM,20230107,-10.8,-18.3
North Texas,Middle Tennessee,2,116,H,5:00 PM,20230107,7.0,11.4
Georgia,Florida,-7,135,H,12:00 PM,20230107,3.8,13.7
Nicholls St.,Northwestern St.,1,147,H,3:30 PM,20230107,10.6,9.3
St. John's,Providence,-11,157,H,11:00 AM,20230107,-24.6,-21.9
Southern Illinois,Northern Iowa,1,121,H,1:00 PM,20230107,0.5,-0.3
Montana,Northern Colorado,-1,149,H,7:00 PM,20230107,8.3,10.8
Hawaii,Cal St. Fullerton,2,116,H,8:00 PM,20230107,-3.2,-6.4
Vanderbilt,Missouri,-12,158,H,11:00 AM,20230107,-14.3,-12.9
Rhode Island,La Salle,1,137,H,1:00 PM,20230107,12.1,7.7
Kennesaw St.,Queens,-3,149,H,7:00 PM,20230107,9.3,4.9
Mississippi,Mississippi St.,-5,117,H,1:00 PM,20230107,12.2,11.3
SIU Edwardsville,Southern Indiana,3,153,H,7:30 PM,20230107,3.9,7.1
Fresno St.,Colorado St.,-4,128,H,3:30 PM,20230107,12.8,10.8
High Point,USC Upstate,1,151,H,2:00 PM,20230107,-9.8,-11.7
UAB,FIU,11,163,H,6:00 PM,20230107,2.5,-1.2
Ohio,Bowling Green,3,145,H,4:00 PM,20230107,3.1,-2.1
North Carolina Central,Morgan St.,-2,140,H,3:00 PM,20230107,-1.8,-2.1
Long Beach St.,UC Irvine,-10,156,H,8:00 PM,20230107,4.2,4.0
St. Bonaventure,Saint Louis,-6,142,H,3:00 PM,20230107,6.1,12.3
Davidson,VCU,-5,133,H,11:00 AM,20230107,-2.3,7.8
San Diego St.,Wyoming,10,136,H,3:00 PM,20230107,3.7,5.9
Hofstra,William & Mary,2,138,H,1:00 PM,20230107,-0.7,-3.1
Nebraska,Minnesota,3,121,H,11:00 AM,20230107,3.6,-4.5
Portland St.,Idaho,2,158,H,4:00 PM,20230107,3.2,0.6
Furman,East Tennessee St.,2,144,H,3:00 PM,20230107,-7.6,0.1
UTEP,Louisiana Tech,-4,128,H,2:00 PM,20230107,6.5,2.0
Samford,UNC Greensboro,-4,130,H,3:00 PM,20230107,-16.9,-13.4
Old Dominion,Georgia Southern,-2,126,H,2:00 PM,20230107,-17.8,-17.8
Saint Joseph's,Fordham,-5,147,H,1:00 PM,20230107,19.1,12.7
Radford,Gardner Webb,-4,124,H,1:00 PM,20230107,-1.3,0.7
Seattle,UT Arlington,3,131,H,2:00 PM,20230107,4.2,-0.3
Charlotte,Florida Atlantic,-9,123,H,1:00 PM,20230107,2.1,-2.8
Central Michigan,Eastern Michigan,-1,151,H,1:00 PM,20230107,4.9,14.2
Harvard,Yale,-6,124,H,6:00 PM,20230107,14.6,18.2
Western Kentucky,UTSA,2,146,H,3:00 PM,20230107,-13.5,-13.4
Pacific,Pepperdine,-9,159,H,7:00 PM,20230107,6.8,10.4
Denver,Western Illinois,1,147,H,2:00 PM,20230107,2.5,4.4
Duke,Boston College,9,127,H,12:00 PM,20230107,-5.5,-14.4
East Carolina,Memphis,-15,147,H,1:00 PM,20230107,15.9,17.2
Notre Dame,North Carolina,-13,145,H,10:30 AM,20230107,-4.5,-2.9
Tarleton St.,Sam Houston St.,-10,132,H,4:30 PM,20230107,3.6,3.2
Georgetown,Marquette,-21,161,H,1:00 PM,20230107,-5.2,-4.8
Milwaukee,Fort Wayne,-7,141,H,12:00 PM,20230107,-6.4,5.7
Portland,Saint Mary's,-19,135,H,8:00 PM,20230107,-12.4,-12.9
South Dakota St.,North Dakota,1,133,H,1:00 PM,20230107,-2.8,-0.9
Mercer,Western Carolina,2,140,H,3:00 PM,20230107,-5.8,-10.7
Stetson,North Alabama,3,145,H,7:15 PM,20230107,5.6,13.8
Cal Baptist,New Mexico St.,-5,133,H,8:00 PM,20230107,10.2,12.2
Murray St.,Drake,-7,133,H,5:00 PM,20230107,5.5,11.0
Sacramento St.,Eastern Washington,-5,139,H,4:00 PM,20230107,-8.8,-7.2
Texas Southern,Arkansas Pine Bluff,1,139,H,3:00 PM,20230107,-6.9,-4.1
Texas St.,South Alabama,-4,126,H,2:00 PM,20230107,2.4,3.5
UNC Wilmington,North Carolina A&T,7,141,H,1:00 PM,20230107,2.5,-0.7
Tennessee St.,Lindenwood,2,144,H,3:30 PM,20230107,1.6,-1.3
Southeast Missouri St.,Little Rock,4,158,H,3:30 PM,20230107,0.2,1.1
Syracuse,Virginia,-13,125,H,4:00 PM,20230107,0.0,-4.8
Illinois St.,Evansville,1,129,H,1:00 PM,20230107,6.5,4.0
Appalachian St.,James Madison,-11,137,H,7:00 PM,20230107,1.6,5.8
Montana St.,Northern Arizona,7,137,H,3:00 PM,20230107,18.2,13.4
Tennessee,South Carolina,19,119,H,2:30 PM,20230107,5.1,10.8
Idaho St.,Weber St.,-3,129,H,8:00 PM,20230107,0.6,6.1
Lipscomb,Jacksonville,-5,127,H,4:00 PM,20230107,-1.8,4.9
