AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Arizona St.,Michigan,-3,139,N,8:30 PM,20221117,15.3,23.9
Furman,Penn St.,-1,139,N,10:30 AM,20221117,-12.4,-13.2
Louisiana Tech,Louisiana Lafayette,-2,144,H,7:00 PM,20221117,-8.0,-8.6
Towson,UNC Greensboro,-1,133,H,6:00 PM,20221117,3.9,1.4
Boise St.,Charlotte,5,133,N,6:00 PM,20221117,-34.7,-36.6
Nebraska,St. John's,-8,160,H,5:30 PM,20221117,2.2,1.2
Sam Houston St.,Utah,-5,129,H,8:00 PM,20221117,13.2,15.6
Utah St.,San Diego,7,143,H,9:00 PM,20221117,4.8,0.7
Loyola Chicago,Tulsa,6,140,N,8:30 PM,20221117,-28.2,-30.8
Colorado St.,South Carolina,1,133,N,4:00 PM,20221117,24.1,28.8
Colorado,Massachusetts,6,150,N,12:30 PM,20221117,-7.5,-9.9
Wichita St.,Richmond,-4,134,H,6:00 PM,20221117,6.7,10.8
Hofstra,San Jose St.,-2,146,H,9:00 PM,20221117,-6.1,-7.9
Pittsburgh,VCU,-5,129,N,6:00 PM,20221117,-6.5,-5.9
Bryant,Florida Atlantic,-9,159,H,6:00 PM,20221117,12.4,13.8
Davidson,College of Charleston,-6,158,H,6:00 PM,20221117,-32.2,-32.3
Portland,Air Force,4,142,H,8:00 PM,20221117,-0.2,3.6
Coppin St.,Tennessee Tech,1,157,H,7:30 PM,20221117,11.3,8.2
Texas St.,UTSA,5,137,H,7:00 PM,20221117,-6.8,-8.8
Murray St.,Texas A&M,-15,137,N,3:00 PM,20221117,5.7,8.2
Utah Tech,Arizona,-22,156,H,8:00 PM,20221117,-7.1,-9.8
Cal Baptist,Washington,-9,135,H,10:00 PM,20221117,6.6,9.2
Old Dominion,Virginia Tech,-12,130,N,1:00 PM,20221117,-2.0,0.7
Merrimack,Troy,-1,129,N,6:00 PM,20221117,-26.9,-26.9
UC Riverside,Creighton,-16,140,H,7:30 PM,20221117,-8.4,-9.6
St. Thomas,Montana,-4,142,H,8:30 PM,20221117,18.9,12.0
South Dakota,Mississippi St.,-12,142,H,8:00 PM,20221117,-25.0,-28.4
Samford,Alabama A&M,8,146,H,7:00 PM,20221117,7.3,22.3
Northwestern St.,Illinois St.,-8,144,H,7:00 PM,20221117,20.1,21.3
Marshall,Miami OH,8,152,H,6:00 PM,20221117,17.7,18.6
Stony Brook,Brown,-6,142,H,6:00 PM,20221117,-6.6,-7.5
North Dakota St.,Indiana St.,-11,141,H,6:00 PM,20221117,-18.6,-18.9
Tennessee St.,Southern Illinois,-11,135,H,7:00 PM,20221117,4.3,-0.0
South Carolina St.,Kentucky,-30,152,H,6:00 PM,20221117,6.5,8.0
Austin Peay,South Florida,-10,128,H,6:00 PM,20221117,-5.6,-2.9
Louisiana Monroe,TCU,-18,144,H,7:00 PM,20221117,2.3,-2.3
Little Rock,East Tennessee St.,-7,145,H,6:00 PM,20221117,-13.9,-14.1
St. Francis PA,Butler,-13,139,H,5:30 PM,20221117,-9.4,-11.8
Norfolk St.,Monmouth,8,138,H,6:00 PM,20221117,11.2,9.3
UMKC,Kansas St.,-24,142,H,5:30 PM,20221117,-4.0,-2.7
North Dakota,Elon,-4,140,H,7:00 PM,20221117,8.4,13.5
Northern Illinois,Georgia Tech,-14,130,H,7:00 PM,20221117,-7.6,-7.6
New Orleans,LSU,-21,145,H,7:00 PM,20221117,-7.3,-8.1
Albany,Saint Joseph's,-10,136,H,6:00 PM,20221117,-4.9,-6.8
LIU Brooklyn,Marquette,-25,149,H,7:30 PM,20221117,-21.7,-21.3
Central Michigan,Minnesota,-12,142,H,8:00 PM,20221117,7.2,3.7
UT Rio Grande Valley,Texas A&M Corpus Chris,-20,142,H,7:00 PM,20221117,-16.7,-15.9
Hartford,Boston University,-16,136,H,6:00 PM,20221117,-15.6,-17.8
