AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Washington St.,Boise St.,-2,130,H,06:00 PM
Georgia Tech,Georgia St.,2,138,H,06:00 PM
Grand Canyon,Nevada,-1,147,H,03:00 PM
Texas St.,Rhode Island,-4,134,H,03:00 PM
New Mexico St.,UTEP,-3,135,H,08:00 PM
Middle Tennessee,Winthrop,7,143,H,03:00 PM
James Madison,Buffalo,3,159,H,12:00 PM
St. Bonaventure,Canisius,3,141,H,06:00 PM
Sacramento St.,UC San Diego,-4,144,H,09:00 PM
Illinois St.,Northwestern St.,2,148,H,07:00 PM
Binghamton,Marist,-1,137,H,06:00 PM
Ball St.,Indiana St.,-7,145,H,01:00 PM
UC Davis,Loyola Marymount,-7,145,H,09:00 PM
Wright St.,Louisville,-11,143,H,12:00 PM
Cleveland St.,Ohio,-6,140,H,12:00 PM
Wofford,High Point,-3,135,H,03:00 PM
SIU Edwardsville,Fort Wayne,-9,145,H,12:00 PM
Bellarmine,Morehead St.,-2,128,H,07:00 PM
UMass Lowell,Rutgers,-15,135,H,01:00 PM
Northeastern,Providence,-9,129,H,07:00 PM
Wagner,La Salle,-8,138,H,02:00 PM
Saint Peter's,Seton Hall,-13,125,H,11:00 AM
Morgan St.,VCU,-17,143,H,06:00 PM
Arkansas St.,LSU,-16,138,H,05:00 PM
Lafayette,St. John's,-24,154,H,05:00 PM
Niagara,Bucknell,-4,138,H,03:00 PM
Jackson St.,Tulsa,-10,132,H,02:00 PM
Presbyterian,East Carolina,-7,133,H,03:00 PM
Albany,Siena,-6,134,H,06:30 PM
Evansville,Saint Louis,-23,145,H,06:00 PM
Northern Arizona,Utah Valley,-13,139,H,03:00 PM
Alcorn St.,Wichita St.,-16,142,H,03:00 PM
Cal St. Northridge,Utah Tech,-10,146,H,08:00 PM
South Carolina St.,Tennessee St.,-9,149,H,11:00 AM
Incarnate Word,UNLV,-19,139,H,05:00 PM
Green Bay,Georgetown,-17,147,H,10:00 AM
Hartford,St. Francis PA,-14,140,H,06:00 PM
Stonehill,Army,-19,147,H,12:00 PM
