AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Rutgers,Michigan St.,1,121,H,05:30 PM,20230119,-10.4,-13.0
Indiana,Illinois,-6,150,H,07:30 PM,20230119,0.6,16.0
UCLA,Arizona St.,6,134,H,09:30 PM,20230119,2.9,-3.2
Michigan,Maryland,-2,142,H,06:00 PM,20230119,18.8,3.1
USC,Arizona,-9,161,H,08:00 PM,20230119,7.8,0.3
James Madison,Troy,-2,142,H,06:00 PM,20230119,-3.7,-4.2
BYU,Santa Clara,-4,146,H,10:00 PM,20230119,-6.2,-6.4
Washington St.,Utah,-3,129,H,08:00 PM,20230119,8.8,-5.0
Loyola Marymount,Gonzaga,-13,159,H,08:00 PM,20230119,2.5,8.4
Fort Wayne,Wright St.,-3,147,H,06:00 PM,20230119,-5.2,3.3
Washington,Colorado,-10,142,H,08:00 PM,20230119,4.3,13.1
Cal St. Fullerton,Long Beach St.,-4,146,H,09:00 PM,20230119,7.6,3.1
Eastern Kentucky,Lipscomb,-3,151,H,07:00 PM,20230119,8.8,-0.8
Charlotte,Middle Tennessee,-2,124,H,06:00 PM,20230119,6.7,-3.1
Marshall,Texas St.,5,137,H,07:00 PM,20230119,-8.9,-2.1
Eastern Washington,Northern Colorado,3,157,H,07:00 PM,20230119,20.5,9.8
Queens,North Florida,1,161,H,06:00 PM,20230119,3.8,0.1
Kennesaw St.,Stetson,-4,144,H,06:00 PM,20230119,-3.8,6.5
Hawaii,UC Irvine,-5,133,H,09:00 PM,20230119,-5.6,-5.9
Cleveland St.,Northern Kentucky,-1,119,H,06:00 PM,20230119,-3.8,-0.1
Appalachian St.,Coastal Carolina,2,136,H,06:00 PM,20230119,13.2,6.5
Wichita St.,Memphis,-12,134,H,06:00 PM,20230119,-5.1,0.2
Tarleton St.,Seattle,-5,143,H,09:00 PM,20230119,-8.4,-11.2
Northwestern St.,Southeastern Louisiana,-2,148,H,07:30 PM,20230119,-1.2,6.0
Saint Mary's,Pepperdine,12,138,H,10:00 PM,20230119,18.5,20.4
UC Riverside,UC Davis,-7,151,H,07:00 PM,20230119,-7.7,-0.9
San Diego,Portland,-6,168,H,08:00 PM,20230119,10.8,7.7
Oral Roberts,North Dakota St.,7,155,H,07:00 PM,20230119,-12.1,-1.3
Stephen F. Austin,Sam Houston St.,-10,138,H,06:30 PM,20230119,7.9,6.1
Western Kentucky,Louisiana Tech,-5,143,H,08:00 PM,20230119,0.8,-2.2
Tennessee Martin,Southeast Missouri St.,-6,158,H,07:00 PM,20230119,3.5,16.0
UNC Wilmington,Hofstra,-4,138,H,06:00 PM,20230119,-16.7,-18.0
Portland St.,Weber St.,-1,143,H,08:00 PM,20230119,-7.3,-14.2
New Mexico St.,Southern Utah,-8,156,H,08:00 PM,20230119,-27.5,-29.3
Liberty,Jacksonville,5,117,H,06:00 PM,20230119,8.2,8.6
Northeastern,Stony Brook,-1,127,H,06:00 PM,20230119,-7.2,2.7
Purdue,Minnesota,13,131,H,06:00 PM,20230119,-2.0,7.0
South Alabama,Southern Miss,-9,135,H,07:00 PM,20230119,6.9,5.2
Sacramento St.,Idaho St.,-1,131,H,08:00 PM,20230119,-11.6,-14.0
UMKC,North Dakota,1,121,H,07:00 PM,20230119,1.3,-16.5
UC San Diego,Cal Poly,-1,121,H,09:00 PM,20230119,7.4,9.8
Pacific,San Francisco,-11,155,H,10:00 PM,20230119,2.2,-8.6
Bellarmine,Austin Peay,-3,125,H,07:00 PM,20230119,15.4,25.5
Denver,South Dakota,-3,149,H,07:00 PM,20230119,-4.5,12.7
Towson,North Carolina A&T,3,137,H,06:00 PM,20230119,10.1,11.0
Rice,North Texas,-11,131,H,07:00 PM,20230119,9.6,15.6
Southern Indiana,Lindenwood,2,146,H,08:00 PM,20230119,8.9,11.0
UT Rio Grande Valley,UT Arlington,-3,147,H,07:00 PM,20230119,-0.6,-11.3
FIU,UTEP,-6,130,H,08:00 PM,20230119,-5.8,-13.4
Idaho,Northern Arizona,-3,145,H,07:00 PM,20230119,6.8,15.8
Texas A&M Commerce,New Orleans,-2,146,H,07:00 PM,20230119,-12.4,-4.4
Robert Morris,Milwaukee,-7,139,H,07:00 PM,20230119,-8.6,-6.8
Louisiana Monroe,Georgia Southern,-8,132,H,06:00 PM,20230119,13.5,23.4
Georgia St.,Old Dominion,-5,127,H,06:00 PM,20230119,1.2,-4.8
Tennessee Tech,Little Rock,3,147,H,07:30 PM,20230119,10.4,7.0
Florida Atlantic,UTSA,15,147,H,07:00 PM,20230119,-10.8,-4.6
Binghamton,Albany,-3,145,H,06:00 PM,20230119,14.8,15.5
Morehead St.,SIU Edwardsville,-10,140,H,07:30 PM,20230119,14.8,21.7
Oregon St.,Stanford,-8,130,H,10:00 PM,20230119,2.0,-7.1
Mercer,VMI,3,143,H,06:00 PM,20230119,-6.9,-1.6
Louisiana Lafayette,Arkansas St.,7,139,H,07:00 PM,20230119,11.5,6.7
William & Mary,Delaware,-6,136,H,06:00 PM,20230119,-7.0,-14.8
Nebraska Omaha,South Dakota St.,-6,142,H,07:00 PM,20230119,-8.7,-15.6
Incarnate Word,Houston Christian,-4,148,H,07:00 PM,20230119,-3.4,6.6
McNeese St.,Nicholls St.,-10,146,H,07:00 PM,20230119,10.3,-0.7
NJIT,Bryant,-12,152,H,06:00 PM,20230119,-0.7,1.2
Maine,Vermont,-11,137,H,06:00 PM,20230119,-8.4,-7.1
Jacksonville St.,Florida Gulf Coast,-11,137,H,06:00 PM,20230119,7.0,12.6
The Citadel,UNC Greensboro,-15,133,H,06:00 PM,20230119,-16.3,-11.5
College of Charleston,Monmouth,23,145,H,06:00 PM,20230119,5.8,-5.4
Eastern Illinois,Tennessee St.,-7,143,H,08:00 PM,20230119,-1.6,-3.6
Texas A&M Corpus Chris,Lamar,11,149,H,07:30 PM,20230119,-8.2,-10.5
Cal St. Northridge,UC Santa Barbara,-13,123,H,09:00 PM,20230119,-0.3,-0.5
Youngstown St.,Green Bay,16,154,H,07:00 PM,20230119,6.3,3.2
Oakland,IUPUI,10,144,H,06:00 PM,20230119,3.7,-3.1
Hampton,Drexel,-18,134,H,06:00 PM,20230119,-18.6,-3.1
