AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Houston,Memphis,4,144,H,11:00 AM,20230305,-4.3,-6.2
Maryland,Penn St.,-2,138,H,11:00 AM,20230305,9.7,-8.0
Drake,Bradley,2,132,N,1:00 PM,20230305,11.6,3.6
Michigan,Indiana,-6,148,H,3:30 PM,20230305,5.0,14.5
Northwestern,Rutgers,-3,123,H,6:30 PM,20230305,17.2,10.2
South Alabama,James Madison,2,142,N,5:00 PM,20230305,15.9,11.2
Liberty,Kennesaw St.,3,137,H,2:00 PM,20230305,-6.7,-8.8
Temple,Tulane,-4,152,H,1:00 PM,20230305,7.8,15.8
Illinois,Purdue,-10,138,H,11:30 AM,20230305,-4.7,-1.0
Nebraska,Iowa,-10,154,H,1:00 PM,20230305,-0.5,-6.7
Drexel,UNC Wilmington,-1,121,N,1:30 PM,20230305,8.3,12.7
South Florida,Wichita St.,-7,143,H,1:00 PM,20230305,-13.3,-7.5
Campbell,UNC Asheville,-3,139,N,12:00 PM,20230305,3.4,4.8
Chattanooga,Wofford,4,154,N,5:30 PM,20230305,3.2,1.4
Texas St.,Louisiana Lafayette,-8,144,N,7:30 PM,20230305,-6.0,4.2
Delaware,Towson,-4,138,N,7:30 PM,20230305,-5.2,-0.4
SMU,Cincinnati,-13,147,H,1:00 PM,20230305,1.2,2.0
Northern Arizona,Eastern Washington,-6,154,N,6:30 PM,20230305,10.3,10.8
Northern Colorado,Montana St.,-8,148,N,9:00 PM,20230305,2.3,-4.2
Wisconsin,Minnesota,6,122,H,6:30 PM,20230305,8.1,0.1
Western Carolina,Furman,-11,153,N,3:00 PM,20230305,-4.2,5.0
Army,Colgate,-11,153,H,1:00 PM,20230305,-11.7,-6.3
East Carolina,UCF,-12,132,H,1:00 PM,20230305,6.5,9.3
Houston Christian,New Orleans,-2,168,N,7:30 PM,20230305,-0.2,-11.1
South Dakota,North Dakota St.,-5,147,N,8:30 PM,20230305,-6.3,6.8
McNeese St.,Texas A&M Commerce,-2,140,N,5:00 PM,20230305,-4.2,0.4
St. Thomas,Western Illinois,7,147,N,6:00 PM,20230305,12.6,-1.3
American,Lafayette,-3,117,H,3:00 PM,20230305,-9.5,-4.0
William & Mary,Hofstra,-12,140,N,11:00 AM,20230305,-12.1,2.6
