AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
South Alabama,Louisiana Lafayette,-1,145,N,6:00 PM,20230306,9.1,0.5
San Francisco,Gonzaga,-11,165,N,10:30 PM,20230306,-17.0,-7.5
BYU,Saint Mary's,-8,130,N,8:00 PM,20230306,2.4,1.2
Towson,College of Charleston,-5,147,N,8:00 PM,20230306,2.3,5.2
Northern Kentucky,Youngstown St.,-1,137,N,6:00 PM,20230306,9.0,23.9
North Dakota St.,South Dakota St.,-2,142,N,8:30 PM,20230306,-3.2,11.4
Chattanooga,Furman,-6,158,N,6:00 PM,20230306,-1.3,0.4
Hofstra,UNC Wilmington,7,135,N,5:00 PM,20230306,19.3,5.9
Cleveland St.,Milwaukee,2,146,N,8:45 PM,20230306,7.4,7.1
St. Thomas,Oral Roberts,-9,157,N,6:00 PM,20230306,5.6,3.3
Sacramento St.,Weber St.,-2,124,N,9:00 PM,20230306,-5.9,-11.1
Idaho St.,Montana,-5,133,N,6:30 PM,20230306,6.9,-1.1
New Orleans,Southeastern Louisiana,-5,157,N,8:00 PM,20230306,2.7,10.9
McNeese St.,Nicholls St.,-5,147,N,5:00 PM,20230306,8.7,16.8
