AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,Reg_dif,Over_dif
Arizona,Creighton,2,160,N,04:00 PM,20221123,3.5,4.6
Arkansas,San Diego St.,1,139,N,09:00 PM,20221123,-0.2,-0.7
Dayton,Wisconsin,1,119,N,01:30 PM,20221123,-10.8,-9.0
Kansas St.,LSU,3,139,N,06:30 PM,20221123,5.9,5.4
Ohio St.,Texas Tech,-3,131,N,01:30 PM,20221123,-0.7,0.4
BYU,USC,-2,140,N,04:00 PM,20221123,5.6,4.0
Kansas,North Carolina St.,6,148,N,11:00 AM,20221123,-15.3,-18.5
Georgia Tech,Marquette,-3,139,N,05:00 PM,20221123,-2.4,-3.6
Kent St.,College of Charleston,-5,157,H,05:00 PM,20221123,-2.4,-0.4
Auburn,Northwestern,6,130,N,07:30 PM,20221123,-0.5,-0.3
Bradley,Liberty,-1,135,N,05:00 PM,20221123,6.0,3.0
Fresno St.,Washington,2,126,N,08:30 PM,20221123,2.3,3.4
Butler,Tennessee,-9,133,N,06:30 PM,20221123,21.2,22.5
Akron,Nevada,-1,131,N,04:00 PM,20221123,-8.0,-8.9
Mississippi St.,Utah,5,127,N,07:30 PM,20221123,9.1,3.3
Abilene Christian,UC Riverside,1,137,N,05:30 PM,20221123,-15.8,-14.0
Saint Mary's,Vanderbilt,7,123,N,10:59 PM,20221123,10.2,7.4
Tulane,Western Kentucky,6,148,N,12:30 PM,20221123,2.9,1.0
Jacksonville,Campbell,1,127,H,03:00 PM,20221123,-5.7,-18.2
UMass Lowell,Brown,-1,141,H,06:00 PM,20221123,5.5,5.7
Fort Wayne,Southern Miss,2,140,N,02:00 PM,20221123,-30.8,-31.2
High Point,Tennessee St.,1,145,N,04:00 PM,20221123,3.3,2.6
Appalachian St.,East Tennessee St.,-1,137,H,06:00 PM,20221123,-2.1,0.3
Northern Kentucky,Toledo,-5,143,N,10:00 AM,20221123,0.2,-0.7
Minnesota,UNLV,-5,129,N,09:30 PM,20221123,-4.7,-4.3
Cincinnati,Louisville,7,137,N,06:30 PM,20221123,5.9,5.6
Pepperdine,UCLA,-17,145,H,09:30 PM,20221123,11.4,13.3
Eastern Michigan,Winthrop,-1,149,N,11:30 AM,20221123,14.0,15.6
Cal Baptist,Southern Illinois,-4,118,N,12:00 AM,20221123,-1.2,-4.9
St. Thomas,Milwaukee,2,140,H,02:00 PM,20221123,8.6,11.8
Charlotte,Detroit,4,136,H,11:00 AM,20221123,2.4,2.7
Alcorn St.,Texas A&M Corpus Chris,-4,138,N,05:00 PM,20221123,17.8,18.5
Weber St.,Wright St.,-4,146,N,03:00 PM,20221123,-7.7,-5.2
Lipscomb,Chattanooga,-8,146,H,03:00 PM,20221123,3.2,4.0
Cal St. Northridge,Central Michigan,-1,143,N,02:00 PM,20221123,-1.4,-1.1
Radford,William & Mary,-2,148,H,01:00 PM,20221123,10.1,8.0
Illinois St.,Rhode Island,-4,134,N,10:00 AM,20221123,-3.3,-3.3
Maine,Central Connecticut,-1,143,H,02:30 PM,20221123,18.8,17.9
Drexel,Indiana St.,-7,135,N,04:00 PM,20221123,5.4,5.1
Sam Houston St.,South Dakota,8,134,N,12:30 PM,20221123,30.3,28.5
North Florida,Kentucky,-21,151,H,03:00 PM,20221123,8.7,10.2
East Carolina,UT Arlington,4,134,N,12:30 PM,20221123,8.0,5.2
Florida Gulf Coast,UMKC,7,139,N,06:30 PM,20221123,-1.1,-0.6
Valparaiso,Samford,-12,146,H,02:00 PM,20221123,-25.3,-24.7
Coastal Carolina,Missouri,-17,151,H,06:00 PM,20221123,4.1,-4.3
Morgan St.,Loyola Marymount,-12,152,H,02:00 PM,20221123,-1.3,-2.8
Louisiana Tech,Alabama A&M,10,142,H,07:00 PM,20221123,6.2,5.4
Little Rock,Indiana,-28,152,H,05:30 PM,20221123,-10.3,-9.4
Stony Brook,FIU,-7,145,H,06:00 PM,20221123,0.4,-1.5
McNeese St.,Baylor,-35,157,H,03:00 PM,20221123,-12.3,-7.9
Jackson St.,Michigan,-18,140,H,07:30 PM,20221123,14.9,13.5
The Citadel,New Orleans,-4,148,H,02:00 PM,20221123,4.2,1.5
LIU Brooklyn,Northern Illinois,-5,135,N,10:00 AM,20221123,1.6,3.1
American,Georgetown,-10,140,H,10:30 AM,20221123,5.5,3.7
Columbia,Binghamton,-7,147,H,01:00 PM,20221123,-0.1,-1.7
North Alabama,UC Santa Barbara,-15,137,H,09:00 PM,20221123,6.2,3.9
Merrimack,Providence,-14,128,H,06:00 PM,20221123,3.9,2.1
South Carolina St.,Wake Forest,-20,148,H,07:30 PM,20221123,9.0,9.8
Evansville,UCF,-16,126,H,06:00 PM,20221123,2.8,3.6
Cal St. Bakersfield,UTEP,-12,120,H,08:00 PM,20221123,-7.2,-6.3
St. Francis NY,Miami FL,-26,142,H,05:30 PM,20221123,3.1,6.4
Idaho St.,Lindenwood,6,134,H,07:00 PM,20221123,0.4,1.4
Alabama St.,Duquesne,-18,150,H,06:00 PM,20221123,-7.1,-5.2
Chicago St.,Cleveland St.,-11,141,H,12:00 PM,20221123,1.0,-0.2
Denver,IUPUI,9,135,N,04:00 PM,20221123,-1.2,-1.7
Idaho,Cal Poly,-13,133,H,06:00 PM,20221123,6.4,5.3
Mississippi Valley St.,Air Force,-14,130,H,05:00 PM,20221123,3.4,0.5
