AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Date,VegasPercent1,MGPercent,MGSpread,Away_Reg,Home_Reg,Reg_dif,Away_dif,Home_dif,Over_dif,MGHomeRank,MGAwayRank,PomHomeRank,PomAwayRank
San Diego St.,Alabama,-6.5,135.0,N,5:30 PM,20230324,0.73,0.78,-8.0,3.5,1.5,2.0,4.7,5.5,-0.8,28.8,24.5,27.3,20.9
Princeton,Creighton,-9.5,140.0,N,8:00 PM,20230324,0.82,0.86,-11.3,8.3,-0.2,8.4,14.9,3.1,11.9,21.8,12.3,21.9,4.1
Miami FL,Houston,-7.0,138.0,N,6:15 PM,20230324,0.75,0.98,-21.6,2.0,-1.7,3.7,6.8,-5.2,12.0,26.5,18.0,28.3,16.0
Xavier,Texas,-4.0,147.5,N,8:45 PM,20230324,0.65,0.79,-8.6,-1.5,8.4,-9.9,-1.9,5.1,-7.0,32.6,17.9,24.2,19.5
