Team,AdjEM,AdjOE,AdjDE
Georgia St.,1.6000000000000085,99.7,98.1
Gardner Webb,1.5999999999999943,98.3,96.7
Yale,1.6000000000000085,101.4,99.8
Team,0.0,0.0,0.0
Boston College,1.6000000000000085,103.2,101.6
Jacksonville,1.5999999999999943,101.0,99.4
Longwood,1.5999999999999943,106.6,105.0
Montana St.,1.3999999999999915,103.8,102.4
Akron,1.3999999999999915,105.6,104.2
Missouri,1.4000000000000057,102.9,101.5
New Mexico,1.2999999999999972,106.8,105.5
South Alabama,1.0,103.2,102.2
Hawaii,1.0,103.1,102.1
UC Riverside,0.7999999999999972,101.3,100.5
Portland,0.6000000000000085,103.9,103.3
Mercer,0.6000000000000085,106.7,106.1
Coastal Carolina,0.6000000000000085,103.4,102.8
Tulsa,0.5,103.8,103.3
East Tennessee St.,0.3999999999999915,109.1,108.7
North Dakota St.,0.29999999999999716,102.3,102.0
Cleveland St.,0.29999999999999716,105.7,105.4
UTEP,0.10000000000000853,101.4,101.3
VMI,0.09999999999999432,111.1,111.0
Oral Roberts,-0.09999999999999432,109.5,109.6
Winthrop,-0.09999999999999432,105.5,105.6
East Carolina,-0.3999999999999915,102.4,102.8
Norfolk St.,-0.5,102.6,103.1
Navy,-0.5999999999999943,94.9,95.5
Louisiana Lafayette,-0.5,101.8,102.3
Samford,-0.5999999999999943,105.0,105.6
Troy,-0.7000000000000028,99.6,100.3
Georgia,-0.8999999999999915,108.7,109.6
Oakland,-0.9000000000000057,103.5,104.4
UNC Greensboro,-0.9000000000000057,100.6,101.5
Charlotte,-1.0999999999999943,106.0,107.1
Long Beach St.,-1.1000000000000085,102.1,103.2
Old Dominion,-1.1000000000000085,101.1,102.2
Southern Utah,-1.2000000000000028,105.7,106.9
Bellarmine,-1.2000000000000028,107.8,109.0
Fordham,-1.0999999999999943,94.9,96.0
UNC Wilmington,-1.2000000000000028,104.1,105.3
Cornell,-1.5,103.6,105.1
Northern Kentucky,-1.5,102.4,103.9
Bryant,-1.5,104.6,106.1
Fort Wayne,-1.4000000000000057,101.5,102.9
Monmouth,-1.5,101.1,102.6
Georgetown,-1.5999999999999943,105.2,106.8
Florida Gulf Coast,-1.7999999999999972,105.4,107.2
UMKC,-1.7000000000000028,101.8,103.5
Weber St.,-2.0999999999999943,102.7,104.8
Nicholls St.,-2.1000000000000085,101.8,103.9
Illinois St.,-2.200000000000003,105.1,107.3
Arkansas St.,-2.0999999999999943,99.4,101.5
Campbell,-2.299999999999997,101.9,104.2
Team,0.0,0.0,0.0
Wright St.,-2.299999999999997,105.5,107.8
Cal St. Fullerton,-2.5,102.7,105.2
South Dakota,-2.5,105.6,108.1
UC Davis,-2.4000000000000057,100.0,102.4
Cal Baptist,-2.3999999999999915,101.2,103.6
Texas Southern,-2.5,97.9,100.4
Pittsburgh,-2.700000000000003,100.0,102.7
Indiana St.,-2.700000000000003,99.3,102.0
Tarleton St.,-2.8000000000000114,100.6,103.4
Northern Colorado,-3.5,108.9,112.4
Marist,-3.0999999999999943,101.2,104.3
Loyola Marymount,-3.4000000000000057,106.5,109.9
Valparaiso,-3.3000000000000114,103.1,106.4
Massachusetts,-3.5999999999999943,109.9,113.5
San Diego,-3.299999999999997,97.8,101.1
George Washington,-3.700000000000003,100.1,103.8
Penn,-4.0,105.7,109.7
