Team,AdjEM,AdjOE,AdjDE
Gonzaga,29.799999999999997,121.0,91.2
UCLA,24.299999999999997,116.8,92.5
Memphis,22.900000000000006,112.0,89.1
Texas,22.19999999999999,113.6,91.4
Illinois,21.200000000000003,113.5,92.3
Kansas,21.099999999999994,113.3,92.2
Michigan,20.299999999999997,111.3,91.0
Purdue,20.5,112.6,92.1
Baylor,19.900000000000006,113.9,94.0
Duke,19.5,112.9,93.4
Ohio St.,19.10000000000001,114.2,95.1
Villanova,18.700000000000003,114.2,95.5
Houston,17.799999999999997,109.5,91.7
Tennessee,17.5,109.3,91.8
Alabama,17.400000000000006,110.2,92.8
St. Bonaventure,17.299999999999997,110.0,92.7
Kentucky,17.299999999999997,112.2,94.9
Connecticut,16.89999999999999,110.6,93.7
Auburn,16.10000000000001,109.2,93.1
North Carolina,16.0,110.0,94.0
Xavier,16.10000000000001,111.2,95.1
Louisville,16.0,111.0,95.0
Florida,15.700000000000003,109.3,93.6
Maryland,15.600000000000009,108.9,93.3
USC,15.400000000000006,108.4,93.0
Texas Tech,14.900000000000006,107.5,92.6
Florida St.,14.799999999999997,107.6,92.8
Michigan St.,14.899999999999991,108.3,93.4
Notre Dame,15.5,113.8,98.3
Indiana,14.800000000000011,108.9,94.1
Arkansas,14.299999999999997,107.6,93.3
Seton Hall,14.299999999999997,109.2,94.9
Oklahoma,13.699999999999989,106.6,92.9
Arizona,13.800000000000011,108.4,94.6
West Virginia,14.100000000000009,110.2,96.1
Oregon,13.900000000000006,110.2,96.3
San Diego St.,13.399999999999991,106.3,92.9
Loyola Chicago,13.399999999999991,106.1,92.7
Saint Mary's,13.0,104.7,91.7
UCF,13.200000000000003,107.7,94.5
BYU,13.199999999999989,108.6,95.4
Oklahoma St.,12.400000000000006,104.9,92.5
Richmond,12.5,109.2,96.7
Colorado St.,12.399999999999991,109.6,97.2
Wichita St.,12.099999999999994,106.6,94.5
Virginia Tech,11.899999999999991,107.1,95.2
Utah St.,11.600000000000009,104.7,93.1
Providence,11.900000000000006,106.9,95.0
LSU,12.300000000000011,111.9,99.6
Northwestern,11.5,105.3,93.8
Team,0.0,0.0,0.0
Clemson,11.0,104.2,93.2
San Francisco,11.200000000000003,106.9,95.7
Ohio,11.300000000000011,108.9,97.6
Drake,11.400000000000006,110.2,98.8
Arizona St.,11.0,107.5,96.5
Washington St.,10.5,105.0,94.5
UAB,10.800000000000011,107.9,97.1
Wisconsin,10.199999999999989,102.6,92.4
Rutgers,10.200000000000003,104.2,94.0
Mississippi St.,10.5,106.6,96.1
Iowa,10.5,108.6,98.1
Syracuse,10.400000000000006,108.5,98.1
Loyola Marymount,10.299999999999997,108.5,98.2
Nevada,10.099999999999994,106.1,96.0
Butler,9.799999999999997,105.8,96.0
Nebraska,9.700000000000003,105.0,95.3
Belmont,9.800000000000011,107.9,98.1
Virginia,9.399999999999991,102.6,93.2
Boise St.,9.699999999999989,106.1,96.4
Creighton,9.600000000000009,105.9,96.3
Colorado,9.399999999999991,104.1,94.7
Stanford,9.199999999999989,102.6,93.4
North Carolina St.,9.400000000000006,105.2,95.8
Mississippi,9.199999999999989,103.1,93.9
Georgia Tech,9.100000000000009,103.7,94.6
St. John's,9.099999999999994,104.8,95.7
Penn St.,9.200000000000003,106.0,96.8
Colgate,9.200000000000003,109.0,99.8
VCU,8.600000000000009,102.2,93.6
