AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Stanford,USC,-2,136,H,8:30 PM
Ohio,Marshall,-2,150,H,1:00 PM
Penn St.,Michigan,7,151,H,1:00 PM
Rhode Island,Western Kentucky,3,149,H,11:00 AM
St. John's,Georgetown,3,153,H,6:30 PM
Richmond,West Virginia,9,147,H,12:00 PM
San Francisco,California,2,136,H,2:00 PM
Wright St.,Bowling Green,2,152,H,11:00 AM
Massachusetts,Northeastern,2,148,H,11:00 AM
Arizona St.,Grand Canyon,9,155,H,3:00 PM
Northern Kentucky,Kent St.,-2,138,H,1:00 PM
Mercer,Georgia Southern,3,141,H,5:00 PM
New Mexico,Rice,-2,146,H,
Milwaukee,Western Michigan,2,136,H,1:00 PM
Loyola Chicago,Illinois Chicago,8,128,H,1:00 PM
Jacksonville St.,Tennessee Tech,2,130,H,4:00 PM
San Jose St.,Cal Poly,-3,157,H,3:00 PM
UMBC,Coppin St.,6,142,H,2:00 PM
Norfolk St.,UNC Greensboro,-10,136,H,1:00 PM
Cleveland St.,Ohio St.,22,142,H,3:00 PM
Oakland,Michigan St.,-25,145,H,11:00 AM
North Alabama,Indiana,22,136,H,11:00 AM
Northern Illinois,Iowa,-25,151,H,1:00 PM
Winthrop,USC Upstate,11,157,H,1:00 PM
High Point,UNC Asheville,-7,145,H,12:00 PM
Youngstown St.,Binghamton,7,143,H,12:00 PM
Tarleton St.,Kansas,29,145,H,1:00 PM
SIU Edwardsville,Northwestern,22,142,H,3:00 PM
Air Force,Drake,11,129,H,1:00 PM
Weber St.,Boise St.,-20,140,H,
Portland St.,Washington St.,13,141,H,4:00 PM
Hampton,VMI,11,149,H,12:00 PM
Mississippi Valley St.,Vanderbilt,27,155,H,1:00 PM
Jacksonville,South Carolina St.,13,143,H,1:00 PM
