AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Iowa,Illinois,1,161,N,2:30 PM,-6.3
LSU,Arkansas,-1,163,N,2:00 PM,-2.8
Ohio St.,Michigan,-2,146,N,12:00 PM,8.7
Tennessee,Alabama,-2,138,N,12:00 PM,2.3
Oklahoma St.,Texas,-1,145,N,5:00 PM,0.6
Georgia Tech,Florida St.,-4,148,N,7:30 PM,5.4
Utah St.,San Diego St.,-3,127,N,5:00 PM,-5.3
Ohio,Buffalo,-2,158,N,6:30 PM,-0.4
Memphis,Houston,-7,131,N,4:30 PM,1.6
Georgetown,Creighton,-5,147,N,5:30 PM,10.5
North Texas,Western Kentucky,1,127,N,8:00 PM,-12.5
Cincinnati,Wichita St.,-4,146,N,2:00 PM,-2.0
UC Irvine,UC Santa Barbara,-2,126,N,10:30 PM,-0.7
Oregon St.,Colorado,-9,133,N,9:30 PM,4.0
Morgan St.,Norfolk St.,1,147,N,12:00 PM,-17.3
New Mexico St.,Grand Canyon,-2,124,N,9:00 PM,9.1
Texas Southern,Prairie View A&M,-2,140,N,5:00 PM,8.8
Abilene Christian,Nicholls St.,8,146,N,8:30 PM,1.2
Montana St.,Eastern Washington,-9,155,N,7:00 PM,-8.8
UMass Lowell,Hartford,-5,137,H,10:00 AM,-0.8
