AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Texas Tech,Texas,1,137,N,8:30 PM,2.4
Oklahoma St.,West Virginia,-3,151,N,10:30 AM,-3.0
Oklahoma,Kansas,-1,135,N,5:30 PM,-6.1
Duke,Florida St.,-5,155,N,5:30 PM,6.0
North Carolina,Virginia Tech,1,139,N,8:00 PM,9.6
Seton Hall,St. John's,2,154,N,2:00 PM,-7.5
Indiana,Rutgers,-1,131,N,5:30 PM,2.1
Penn St.,Wisconsin,-4,134,N,8:00 PM,1.9
Mississippi St.,Kentucky,-2,128,N,11:00 AM,-12.5
Michigan St.,Maryland,-2,130,N,10:30 AM,-3.9
Georgetown,Villanova,-5,141,N,11:00 AM,13.6
Syracuse,Virginia,-4,130,N,11:00 AM,8.2
Minnesota,Ohio St.,-8,150,N,1:00 PM,-14.5
Georgia,Missouri,-6,156,N,6:00 PM,-0.6
Utah,USC,-6,138,N,7:30 PM,4.7
Nevada,Boise St.,-4,146,N,4:30 PM,9.1
Ohio,Kent St.,1,151,N,12:30 PM,15.2
Arizona St.,Oregon,-6,152,N,1:30 PM,1.6
Vanderbilt,Florida,-7,145,N,1:00 PM,3.9
Bowling Green,Akron,-2,152,N,5:30 PM,8.5
UTSA,Western Kentucky,-5,151,N,5:30 PM,8.4
South Carolina,Mississippi,-8,140,N,8:00 PM,-16.6
Seattle,Cal Baptist,1,153,N,6:30 PM,5.5
Tulane,Tulsa,-1,123,N,2:00 PM,10.2
Oregon St.,UCLA,-5,131,N,4:30 PM,8.0
DePaul,Connecticut,-9,131,N,8:00 PM,-4.3
Miami OH,Buffalo,-8,150,N,3:00 PM,-6.9
Ball St.,Toledo,-8,154,N,10:00 AM,5.0
Butler,Creighton,-9,135,N,5:00 PM,3.0
East Carolina,UCF,-5,133,N,6:00 PM,-4.9
Florida Atlantic,Louisiana Tech,-7,137,N,8:30 PM,4.0
Montana,Weber St.,-3,143,N,9:00 PM,0.1
Miami FL,Georgia Tech,-10,138,N,1:30 PM,-1.3
North Texas,Old Dominion,5,125,N,9:00 PM,-17.5
Temple,South Florida,4,132,N,11:00 AM,16.9
Kansas St.,Baylor,-19,137,N,1:30 PM,16.0
Rice,UAB,-8,140,N,6:00 PM,-9.3
Fresno St.,Colorado St.,-7,135,N,10:30 PM,6.4
UNLV,Utah St.,-10,134,N,8:00 PM,-0.1
Wyoming,San Diego St.,-16,144,N,2:00 PM,5.8
California,Colorado,-12,132,N,10:30 PM,-5.1
Niagara,Marist,-1,123,N,6:30 PM,-16.5
Northern Colorado,Southern Utah,-5,145,N,12:00 PM,-8.0
Southern,Grambling St.,1,139,N,8:30 PM,3.0
Hawaii,UC Riverside,-7,133,N,10:00 PM,2.7
Cal St. Bakersfield,UC Davis,4,134,N,4:00 PM,-9.8
New Orleans,Northwestern St.,3,157,N,5:00 PM,5.0
Montana St.,Idaho St.,2,126,N,3:00 PM,-1.6
Long Beach St.,UC Santa Barbara,-11,139,N,1:00 PM,8.5
Rider,Saint Peter's,-4,128,N,4:00 PM,8.9
Morgan St.,Florida A&M,5,137,N,5:00 PM,4.3
UT Rio Grande Valley,New Mexico St.,-6,128,N,10:00 PM,-16.1
Lamar,Sam Houston St.,-8,140,N,8:00 PM,13.9
Alcorn St.,Texas Southern,-8,144,N,2:00 PM,-1.7
Northern Arizona,Eastern Washington,-15,151,N,6:00 PM,-8.0
Cal Poly,UC Irvine,-12,124,N,7:00 PM,20.5
