AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Baylor,West Virginia,4,152,H,4:00 PM,-9.9
Illinois,Michigan,-7,147,H,6:00 PM,-1.2
Wisconsin,Purdue,-1,125,H,8:00 PM,-9.9
Xavier,Georgetown,-1,145,H,6:00 PM,-6.8
Indiana,Michigan St.,-1,135,H,7:00 PM,-11.4
Kentucky,Mississippi,-2,126,H,8:00 PM,7.1
Duke,Georgia Tech,-4,148,H,7:00 PM,4.9
Ohio,Kent St.,-2,152,H,5:00 PM,16.1
Arkansas,South Carolina,8,158,H,5:30 PM,16.5
Auburn,Alabama,-12,158,H,6:00 PM,2.6
Marquette,DePaul,2,134,H,8:00 PM,4.0
Vanderbilt,LSU,-10,162,H,7:30 PM,11.5
Akron,Buffalo,-8,156,H,1:00 PM,-15.5
Miami OH,Bowling Green,-3,147,H,6:00 PM,0.9
Texas,Iowa St.,10,144,H,6:00 PM,-6.8
Tulsa,UCF,-4,128,H,6:00 PM,-15.2
Detroit,Northern Kentucky,1,147,H,6:00 PM,-5.0
TCU,Texas Tech,-10,134,H,6:00 PM,4.1
Memphis,South Florida,9,133,H,8:00 PM,25.2
Wake Forest,Pittsburgh,-7,139,H,5:00 PM,-5.3
Youngstown St.,Oakland,-4,152,H,6:30 PM,8.9
UT Rio Grande Valley,New Mexico St.,-4,134,N,12:00 PM,-2.8
Fresno St.,Boise St.,-12,134,H,6:00 PM,4.5
Toledo,Central Michigan,17,161,H,4:00 PM,7.1
Eastern Michigan,Ball St.,-8,142,H,6:00 PM,3.2
Milwaukee,Wright St.,-17,151,H,6:00 PM,7.1
Western Michigan,Northern Illinois,3,125,H,6:00 PM,2.5
Merrimack,Wagner,-6,122,H,,-2.2
