AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Iowa,Rutgers,-1,163,H,1:00 PM
Texas,Kansas,-1,139,H,11:00 AM
West Virginia,Oklahoma,1,143,H,3:00 PM
Colorado,UCLA,-1,139,H,7:00 PM
Creighton,Providence,1,147,H,11:00 AM
DePaul,St. John's,-1,163,H,11:00 AM
Missouri,Arkansas,-4,144,H,11:00 AM
Stanford,Oregon,-4,142,H,9:00 PM
Michigan St.,Nebraska,2,152,H,7:00 PM
LSU,Florida,-5,151,H,1:00 PM
Kentucky,Mississippi St.,-1,131,H,5:00 PM
Marshall,Louisiana Tech,-1,149,H,6:00 PM
Clemson,Miami FL,3,129,H,1:00 PM
Purdue,Illinois,-7,149,H,5:00 PM
Auburn,Texas A&M,1,133,H,2:30 PM
Marquette,Georgetown,4,148,H,6:30 PM
TCU,Kansas St.,1,131,H,1:00 PM
St. Bonaventure,Richmond,-5,149,H,4:00 PM
Alabama,Tennessee,-10,142,H,5:00 PM
New Mexico St.,UC Riverside,1,127,H,4:00 PM
Georgia St.,Coastal Carolina,2,158,H,2:00 PM
San Francisco,Gonzaga,-19,165,H,9:00 PM
Eastern Kentucky,Austin Peay,1,155,H,4:00 PM
UCF,South Florida,-2,132,H,6:00 PM
Old Dominion,FIU,-2,150,H,2:00 PM
Louisville,Boston College,5,143,H,11:00 AM
Notre Dame,North Carolina,-6,148,H,3:00 PM
Utah,USC,-7,141,H,3:00 PM
Tulsa,Cincinnati,-3,129,H,2:00 PM
Davidson,VCU,-5,135,H,1:30 PM
Oklahoma St.,Texas Tech,-9,133,H,3:00 PM
Ohio,Ball St.,2,142,H,2:00 PM
North Texas,Loyola Chicago,-6,132,H,6:30 PM
Arizona,Washington St.,6,132,H,9:30 PM
Indiana St.,Missouri St.,-3,143,H,5:00 PM
Wichita St.,Mississippi,-7,135,H,5:00 PM
Saint Peter's,Canisius,1,137,H,12:00 PM
Baylor,Iowa St.,15,149,H,12:00 PM
Cal St. Bakersfield,Long Beach St.,1,141,H,6:00 PM
Western Kentucky,Charlotte,4,136,H,3:00 PM
California,Oregon St.,-2,128,H,5:00 PM
Colorado St.,San Diego St.,-8,134,H,3:00 PM
Wyoming,Fresno St.,3,145,H,6:00 PM
Cleveland St.,IUPUI,1,147,H,4:00 PM
Butler,Seton Hall,-9,137,H,3:30 PM
East Carolina,Tulane,1,129,H,1:00 PM
Oral Roberts,Nebraska Omaha,2,152,H,4:00 PM
Texas St.,Louisiana Lafayette,-2,136,H,4:00 PM
NJIT,UMass Lowell,1,143,H,2:00 PM
Chattanooga,VMI,1,143,H,12:00 PM
UNC Wilmington,Drexel,-3,139,H,12:00 PM
Milwaukee,Robert Morris,1,141,H,4:00 PM
George Mason,Dayton,-6,134,H,3:30 PM
UTSA,Rice,3,157,H,2:00 PM
Fordham,La Salle,-3,121,H,5:30 PM
UTEP,Southern Miss,4,128,H,4:00 PM
UT Arlington,Little Rock,-6,150,H,4:00 PM
James Madison,Towson,-2,150,H,
Duquesne,George Washington,7,149,H,11:30 AM
South Alabama,Georgia Southern,1,145,H,2:00 PM
Mercer,Furman,-11,155,H,1:00 PM
Army,Colgate,-5,143,H,2:00 PM
Nevada,New Mexico,7,141,H,9:00 PM
Central Arkansas,McNeese St.,3,157,H,4:00 PM
East Tennessee St.,UNC Greensboro,-7,129,H,4:00 PM
Liberty,Lipscomb,5,135,H,4:00 PM
Sam Houston St.,Nicholls St.,-4,146,H,5:00 PM
Utah Valley,Weber St.,-2,142,H,3:30 PM
Toledo,Western Michigan,7,135,H,1:00 PM
Tennessee St.,Southeast Missouri St.,-2,138,H,5:00 PM
Samford,Wofford,-8,150,H,6:00 PM
