AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Michigan,Maryland,1,143,H,6:00 PM
Colorado,USC,-2,140,H,8:00 PM
Minnesota,Wisconsin,-9,143,H,3:30 PM
Arizona,Washington,4,140,H,7:00 PM
BYU,Pepperdine,5,151,H,4:00 PM
Utah,UCLA,-6,138,H,6:00 PM
California,Oregon,-13,135,H,9:00 PM
San Diego,San Francisco,-10,142,H,4:00 PM
Nevada,New Mexico,6,144,H,8:00 PM
Weber St.,Idaho St.,-1,137,H,8:00 PM
UNC Asheville,Longwood,2,142,H,2:00 PM
Gardner Webb,Hampton,3,145,H,11:00 AM
Campbell,Winthrop,-11,153,H,12:00 PM
Liberty,Lipscomb,7,131,H,
Utah St.,Air Force,7,125,H,3:00 PM
Boise St.,San Jose St.,19,153,N,6:30 PM
Northern Arizona,Idaho,-1,137,H,8:00 PM
USC Upstate,High Point,-8,144,H,5:00 PM
Radford,Presbyterian,4,126,H,2:00 PM
