AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Ohio St.,Minnesota,-1,149,H,4:30 PM
Houston,SMU,5,137,H,6:00 PM
Northwestern,Michigan,-7,145,H,6:30 PM
Monmouth,Siena,-3,161,H,2:00 PM
Wake Forest,Georgia Tech,-6,144,H,5:00 PM
Indiana St.,Missouri St.,-6,146,H,3:00 PM
Saint Joseph's,Rhode Island,-12,158,H,3:30 PM
NJIT,UMass Lowell,2,142,H,12:00 PM
Oral Roberts,Nebraska Omaha,4,154,H,4:00 PM
Duquesne,George Washington,7,147,H,1:00 PM
Southern Illinois,Drake,-10,142,H,5:00 PM
North Carolina St.,Gardner Webb,14,144,H,12:00 PM
New Hampshire,Maine,3,129,H,12:00 PM
Navy,Bucknell,3,133,H,5:00 PM
Northern Iowa,Evansville,6,134,H,3:00 PM
Army,Colgate,-9,145,H,2:00 PM
Morgan St.,James Madison,-6,148,H,
Elon,Northeastern,-8,134,H,11:00 AM
Albany,Vermont,-11,135,H,3:00 PM
UMKC,North Dakota,-4,120,H,3:30 PM
Delaware St.,Coppin St.,-7,155,H,11:00 PM
North Dakota St.,Western Illinois,8,134,H,3:30 PM
William & Mary,Hofstra,-11,137,H,1:00 PM
Binghamton,Hartford,-9,129,H,1:00 PM
Denver,South Dakota,-13,145,H,4:00 PM
North Carolina A&T,South Carolina St.,10,150,H,3:00 PM
