AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Iowa,Wisconsin,-1,147,H,06:00 PM
Ohio St.,Penn St.,3,147,H,07:00 PM
Colorado,Oregon,2,140,H,10:00 PM
Arizona,UCLA,-1,139,H,08:00 PM
Rutgers,Michigan,-9,137,H,08:00 PM
Houston,Wichita St.,9,137,H,06:00 PM
BYU,Pacific,4,132,H,07:00 PM
Loyola Marymount,San Francisco,-3,137,H,08:00 PM
Saint Mary's,Gonzaga,-18,140,H,08:00 PM
Utah,Oregon St.,3,135,H,07:30 PM
Vermont,UMBC,1,131,H,06:00 PM
Prairie View A&M,Texas Southern,1,135,H,
Nebraska,Maryland,-9,133,H,
Stanford,Washington,8,144,H,10:00 PM
Gardner Webb,Longwood,1,133,H,
California,Washington St.,-5,131,H,09:30 PM
San Diego,Santa Clara,-4,136,H,08:00 PM
Montana,Eastern Washington,-5,143,H,08:05 PM
Gardner Webb,Radford,-2,130,H,05:00 PM
Jacksonville St.,Belmont,-10,150,H,07:00 PM
William & Mary,Elon,1,133,H,06:00 PM
Winthrop,High Point,8,146,H,08:00 PM
Campbell,Hampton,1,141,H,05:00 PM
San Diego St.,Fresno St.,13,127,H,11:00 PM
Tennessee Tech,Tennessee St.,-2,136,H,08:00 PM
Sacramento St.,Southern Utah,-5,145,H,08:00 PM
Illinois St.,Bradley,-8,134,H,06:00 PM
Sam Houston St.,Lamar,8,144,H,07:00 PM
Longwood,Charleston Southern,4,130,H,06:00 PM
Eastern Kentucky,Tennessee Martin,11,151,H,08:00 PM
USC Upstate,Presbyterian,-4,132,H,04:00 PM
SIU Edwardsville,Austin Peay,-10,144,H,07:30 PM
New Hampshire,Vermont,-12,132,H,
Eastern Illinois,Murray St.,-15,137,H,07:30 PM
Northern Arizona,Weber St.,-15,149,H,08:00 PM
Idaho,Portland St.,-12,132,H,09:05 PM
