AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
St. Bonaventure,LSU,-1,149,N,12:45 PM,7.3
Missouri,Oklahoma,-1,145,N,6:25 PM,4.8
VCU,Oregon,1,143,N,8:57 PM,-2.0
Georgetown,Colorado,-3,141,N,11:15 AM,13.7
Maryland,Connecticut,-2,132,N,6:10 PM,-5.3
UCLA,BYU,-4,140,N,8:40 PM,-7.3
Mississippi St.,Saint Louis,-2,134,N,4:00 PM,-9.7
UC Santa Barbara,Creighton,-7,143,N,2:30 PM,0.2
Dayton,Memphis,-6,136,N,11:00 AM,-8.5
Drake,USC,-7,141,N,3:30 PM,-4.3
Ohio,Virginia,-6,134,N,6:15 PM,16.7
Abilene Christian,Texas,-9,145,N,8:50 PM,3.5
Eastern Washington,Kansas,-9,149,N,12:15 PM,7.4
Grand Canyon,Iowa,-14,146,N,5:25 PM,5.4
UNC Greensboro,Florida St.,-13,149,N,11:45 AM,2.3
Norfolk St.,Gonzaga,-29,161,N,8:20 PM,17.7
Iona,Alabama,-15,149,N,3:00 PM,14.7
Texas Southern,Michigan,-22,148,N,2:00 PM,19.3
