AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
North Carolina St.,Syracuse,1,147,N,11:00 AM,16.2
Marquette,Georgetown,1,143,N,2:00 PM,-0.0
Minnesota,Northwestern,1,143,N,5:30 PM,-11.3
Notre Dame,North Carolina,-3,149,N,8:00 PM,-11.8
Duke,Louisville,2,140,N,5:30 PM,4.8
Washington St.,Arizona St.,1,145,N,3:00 PM,-1.7
Nebraska,Penn St.,-5,143,N,8:00 PM,14.3
Texas A&M,Vanderbilt,-2,134,N,6:00 PM,3.2
DePaul,Providence,-6,130,N,8:00 PM,-4.0
Butler,Xavier,-5,131,N,5:00 PM,0.2
UTEP,Florida Atlantic,2,136,N,8:30 PM,-1.9
Iona,Siena,2,136,N,4:00 PM,13.5
Rice,Marshall,-8,164,N,6:00 PM,-4.7
Kansas St.,TCU,-5,127,N,5:30 PM,7.6
Miami FL,Clemson,-8,124,N,1:30 PM,-3.0
Washington,Utah,-9,143,N,6:00 PM,1.1
California,Stanford,-7,131,N,9:00 PM,-1.6
Iowa St.,Oklahoma,-12,140,N,8:30 PM,0.4
Sacramento St.,Northern Colorado,-1,131,N,10:00 AM,-0.2
Loyola MD,Army,-5,133,H,4:30 PM,6.6
Bucknell,Colgate,-16,160,H,6:30 PM,3.9
Charlotte,UTSA,-6,138,N,5:30 PM,-26.6
Fairfield,Monmouth,-6,144,N,6:30 PM,21.9
San Jose St.,Wyoming,-9,159,N,1:00 PM,-0.1
New Mexico,Fresno St.,-6,122,N,6:00 PM,-1.0
Middle Tennessee,North Texas,-12,126,N,9:00 PM,4.6
Houston Baptist,Lamar,-5,145,N,8:00 PM,-25.3
Southeastern Louisiana,New Orleans,-7,149,N,5:00 PM,-12.2
Air Force,UNLV,-10,128,H,3:30 PM,15.4
Northern Arizona,Portland St.,-7,129,N,1:00 PM,-4.2
Idaho,Montana,-11,131,N,4:00 PM,6.3
Arkansas Pine Bluff,Jackson St.,-9,125,N,2:00 PM,-4.1
