AWAY,HOME,VegasSpread,VegasTotal,Court
Baylor,Gonzaga,-1,159,N
SMU,Dayton,-1,143,H
BYU,Utah St.,1,143,H
New Mexico St.,Santa Clara,-1,133,H
South Carolina,Houston,-13,139,H
Miami OH,Wright St.,-4,144,H
Montana,Southern Utah,-2,138,H
Northern Kentucky,Chattanooga,-2,140,H
Bryant,UMass Lowell,-1,157,H
Illinois Chicago,Ball St.,-3,129,H
UNLV,Kansas St.,-7,139,H
Eastern Washington,Arizona,-13,149,H
Illinois St.,Murray St.,-6,142,H
Eastern Illinois,Green Bay,5,149,H
Lamar,Air Force,-2,130,H
Georgia Southern,USC Upstate,3,145,H
Nebraska Omaha,SIU Edwardsville,2,144,H
Lipscomb,Arkansas,-16,142,H
North Dakota St.,Kansas,-21,137,H
Iona,Hofstra,-7,145,H
Coppin St.,George Washington,-7,147,H
South Dakota,UMKC,-3,131,H
Rice,Houston Baptist,4,160,H
Fairleigh Dickinson,Providence,-20,152,H
Fort Wayne,Notre Dame,-20,142,H
North Florida,High Point,-5,143,H
Rider,Syracuse,-26,148,H
Samford,Belmont,-13,159,H
Arkansas Pine Bluff,Saint Louis,-24,144,H
Mount St. Mary's,VCU,-13,135,H
Portland St.,Portland,-6,150,H
Oakland,Oklahoma St.,-22,142,H
Northern Illinois,Pittsburgh,-13,133,H
Radford,East Carolina,-13,133,H
Chicago St.,Northwestern,-27,143,H
Idaho,Sacramento St.,-9,129,H
South Carolina St.,UNC Asheville,-18,148,H
