AWAY,HOME,VegasSpread,VegasTotal,Court,Time
West Virginia,Oklahoma St.,1,143,H,8:00 PM
Maryland,Indiana,-6,136,H,7:00 PM
Monmouth,Siena,-2,160,H,4:00 PM
Colorado St.,San Diego St.,-8,134,H,
Wyoming,Fresno St.,2,146,H,8:00 PM
Stanford,Oregon St.,6,132,H,2:00 PM
Southern Illinois,Drake,-11,139,H,6:00 PM
Campbell,Gardner Webb,-2,138,H,4:00 PM
Longwood,USC Upstate,1,139,H,5:00 PM
Winthrop,Charleston Southern,11,149,H,3:00 PM
Prairie View A&M,Alcorn St.,2,148,H,7:30 PM
Northern Colorado,Montana,-7,127,H,10:00 AM
Delaware St.,Coppin St.,-7,155,H,7:00 PM
Hampton,Radford,-4,130,H,6:00 PM
Jackson St.,Alabama St.,7,129,H,8:00 PM
