AWAY,HOME,VegasSpread,VegasTotal,Court
Colorado,Kansas St.,-1,139,H
Western Kentucky,West Virginia,-6,156,N
Seton Hall,Louisville,-5,147,H
Saint Mary's,South Dakota St.,-2,142,N
Pepperdine,UCLA,-6,154,N
Belmont,George Mason,-4,150,N
Northern Iowa,Utah St.,7,143,N
Memphis,VCU,8,142,N
East Carolina,Charlotte,-1,143,H
Little Rock,UNC Greensboro,-5,143,N
La Salle,Saint Peter's,3,137,N
Auburn,Gonzaga,-15,159,N
Abilene Christian,Austin Peay,3,143,N
Norfolk St.,James Madison,-1,147,H
Boise St.,Houston,-10,140,H
Ohio,Illinois,-14,146,H
Kansas,Saint Joseph's,14,160,N
East Tennessee St.,Middle Tennessee,1,141,N
Valparaiso,Vanderbilt,-5,145,H
San Francisco,Virginia,-13,125,N
Toledo,Xavier,-12,140,H
Eastern Illinois,Marquette,-13,153,H
Lamar,Tulane,-1,139,H
UNC Wilmington,UNC Asheville,-4,150,H
Troy,Western Carolina,-7,161,N
Rice,Incarnate Word,-2,148,H
Florida Atlantic,Jacksonville St.,6,136,N
UT Arlington,Louisiana Tech,-9,135,H
UC Irvine,San Diego St.,-11,135,H
Mercer,Georgia Tech,-14,148,H
Buffalo,Towson,5,141,N
Southern,Iowa,-20,158,H
Charleston Southern,Eastern Kentucky,-6,148,N
Evansville,Prairie View A&M,2,136,N
Army,Central Connecticut,-1,151,N
Sam Houston St.,Texas Tech,-28,148,H
Bryant,Syracuse,-24,150,H
Fairleigh Dickinson,Rutgers,-21,149,H
Navy,Maryland,-13,133,H
Hartford,Connecticut,-21,145,H
UC Davis,Santa Clara,-14,152,H
Morehead St.,Richmond,-18,148,N
Idaho St.,Nicholls St.,-3,145,N
Northern Colorado,Southeast Missouri St.,6,140,N
Arkansas St.,Marshall,-17,153,H
Arkansas Pine Bluff,Wisconsin,-24,136,H
Grambling St.,Arizona,-20,138,H
North Florida,North Carolina St.,-24,154,H
Bradley,Oakland,12,136,N
Drake,South Dakota,12,146,N
Longwood,Wake Forest,-16,144,H
Chicago St.,North Carolina A&T,-7,157,N
