AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Missouri,Auburn,2,144,H,08:00 PM
North Carolina,Pittsburgh,-1,143,H,06:00 PM
Georgia Tech,Duke,-1,141,H,08:00 PM
Oklahoma,Texas,-6,142,H,06:00 PM
Drake,Missouri St.,2,146,H,07:00 PM
SMU,Memphis,-4,144,H,06:00 PM
Kentucky,Alabama,-10,142,H,06:00 PM
Toledo,Miami OH,5,145,H,06:00 PM
Tulsa,Temple,2,122,H,12:00 PM
Mississippi St.,Tennessee,-9,125,H,06:00 PM
LSU,Texas A&M,7,137,H,08:00 PM
Richmond,Saint Joseph's,9,163,H,05:00 PM
Dayton,Saint Louis,-10,132,H,07:30 PM
Butler,Connecticut,-9,123,H,07:30 PM
Southern Illinois,Indiana St.,-5,137,H,04:00 PM
Fairleigh Dickinson,St. Francis PA,-2,152,H,06:00 PM
Central Michigan,Buffalo,-15,167,H,04:00 PM
Eastern Michigan,Akron,-8,140,H,06:30 PM
Merrimack,LIU Brooklyn,-5,139,H,
Western Michigan,Ohio,-11,141,H,05:00 PM
Southeast Missouri St.,Tennessee Martin,4,144,H,08:00 PM
