AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Marshall,Louisiana Tech,1,153,H,6:30 PM
Old Dominion,FIU,2,150,H,6:00 PM
Georgia St.,Coastal Carolina,3,159,H,5:00 PM
Cal St. Bakersfield,Long Beach St.,1,139,H,6:00 PM
Western Kentucky,Charlotte,5,137,H,3:00 PM
Cleveland St.,IUPUI,1,151,H,6:00 PM
Texas St.,Louisiana Lafayette,-2,136,H,6:00 PM
Saint Peter's,Canisius,2,138,H,12:00 PM
Kent St.,Akron,-5,147,H,6:00 PM
Milwaukee,Robert Morris,2,142,H,5:00 PM
UT Arlington,Little Rock,-6,142,H,4:00 PM
South Alabama,Georgia Southern,-2,146,H,5:00 PM
UTEP,Southern Miss,5,129,H,7:00 PM
UTSA,Rice,5,155,H,2:00 PM
Niagara,Marist,-3,127,H,1:00 PM
Wright St.,Oakland,9,149,H,6:00 PM
Liberty,Lipscomb,7,131,H,2:00 PM
Rider,Fairfield,-2,134,H,4:00 PM
Green Bay,Youngstown St.,-5,147,H,3:00 PM
Jacksonville,Kennesaw St.,3,133,H,5:00 PM
Troy,Appalachian St.,-5,127,H,5:00 PM
Arkansas St.,Louisiana Monroe,-2,130,H,6:00 PM
Fort Wayne,Northern Kentucky,-7,143,H,5:00 PM
Cal St. Fullerton,UC Santa Barbara,-10,136,H,7:00 PM
