AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Iowa,Ohio St.,-3,163,H,03:00 PM
Michigan St.,Maryland,-4,132,H,01:00 PM
Memphis,Cincinnati,5,139,H,12:00 PM
Pittsburgh,North Carolina St.,-6,146,H,03:00 PM
Nevada,Utah St.,-9,143,H,06:00 PM
Villanova,Butler,9,129,H,11:00 AM
North Dakota St.,South Dakota,-4,136,H,03:30 PM
Quinnipiac,Marist,-1,125,H,03:00 PM
Albany,Hartford,-2,130,H,02:00 PM
Bucknell,American,-2,142,H,03:00 PM
South Florida,Houston,-19,131,H,03:00 PM
UMass Lowell,New Hampshire,-1,139,H,12:00 PM
Lafayette,Lehigh,3,149,H,05:00 PM
Loyola MD,Navy,-7,133,H,03:00 PM
Boston University,Army,-6,140,H,02:00 PM
Western Illinois,Oral Roberts,-9,165,H,04:00 PM
FIU,Western Kentucky,-16,146,H,02:00 PM
Charlotte,UTEP,-8,122,H,02:00 PM
Coppin St.,Delaware St.,8,160,H,04:00 PM
Montana St.,Idaho,7,137,H,02:00 PM
Florida A&M,South Carolina St.,7,135,H,05:00 PM
