AWAY,HOME,VegasSpread,VegasTotal,Court
Michigan St.,Duke,-2,152,H
Indiana,Texas,-1,141,N
Kansas,Kentucky,2,144,N
Stanford,North Carolina,-4,144,H
BYU,USC,1,149,N
Oklahoma St.,Marquette,-3,149,H
Western Kentucky,Louisville,-4,148,H
Davidson,Providence,-4,144,N
Valparaiso,Illinois Chicago,-1,137,H
North Carolina A&T,Charleston Southern,-2,142,H
Eastern Illinois,Dayton,-10,142,H
Cleveland St.,Toledo,-7,143,H
Nebraska Omaha,Creighton,-22,148,H
Navy,Georgetown,-9,137,H
Central Michigan,FIU,-10,160,H
Bryant,New Hampshire,-7,145,H
Green Bay,Wisconsin,-27,147,H
Hartford,Villanova,-20,136,N
St. Francis PA,Virginia,-22,130,H
Louisiana Monroe,Northwestern St.,-8,148,H
Nicholls St.,Saint Mary's,-15,135,H
Stony Brook,Saint Peter's,-9,127,H
Longwood,VMI,-6,138,H
Prairie View A&M,UNC Greensboro,-16,138,N
Oakland,Purdue,-19,137,H
South Dakota,Nebraska,-19,145,H
Sacred Heart,Stony Brook,-7,133,H
Alcorn St.,Dayton,-20,146,H
Hampton,George Washington,-13,149,H
Mississippi Valley St.,Grand Canyon,-25,155,H
