AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Indiana,Florida St.,2,142,H,6:15 PM
Oklahoma,Xavier,1,145,H,7:00 PM
Georgia Tech,Nebraska,1,149,H,6:15 PM
Maryland,Clemson,2,132,H,4:00 PM
Providence,TCU,1,131,H,4:00 PM
Northern Iowa,Richmond,4,152,H,5:00 PM
Boise St.,BYU,-5,143,H,8:00 PM
Furman,Cincinnati,4,136,H,4:00 PM
Rhode Island,Wisconsin,9,137,H,3:30 PM
Pittsburgh,Northwestern,7,143,H,8:15 PM
California,Pepperdine,4,144,H,8:00 PM
Abilene Christian,Texas Tech,13,133,H,6:00 PM
Toledo,Michigan,14,146,H,5:00 PM
Stephen F. Austin,Baylor,21,149,H,7:00 PM
Southern Miss,Tulane,1,133,H,7:00 PM
San Diego,UCLA,11,139,H,8:00 PM
Liberty,Missouri,11,129,H,7:15 PM
Texas St.,Texas,18,134,H,7:00 PM
Bryant,St. Francis NY,4,156,H,3:00 PM
Southern Utah,Utah Valley,4,138,H,7:00 PM
Lamar,Louisiana Monroe,2,130,H,6:00 PM
Chattanooga,Bellarmine,4,142,H,6:00 PM
Southern,Arkansas,18,144,H,7:00 PM
Cal St. Bakersfield,Arizona,14,132,H,6:00 PM
Eastern Illinois,Evansville,4,132,H,6:00 PM
Central Connecticut,Fairleigh Dickinson,-7,161,H,3:00 PM
Arkansas Pine Bluff,Arkansas St.,4,140,H,6:00 PM
Campbell,New Orleans,4,142,N,1:30 PM
Stony Brook,Hofstra,-8,136,H,6:00 PM
Florida A&M,Oregon,23,143,H,10:00 PM
North Carolina A&T,VCU,16,136,H,6:00 PM
Southeast Missouri St.,Lipscomb,6,146,H,7:00 PM
Seattle,Washington,-16,140,H,10:00 PM
Southeastern Louisiana,Louisiana Tech,-17,143,H,6:30 PM
Denver,Wyoming,-17,147,H,8:00 PM
SIU Edwardsville,Valparaiso,12,140,H,6:00 PM
Chicago St.,Loyola Chicago,29,143,H,2:00 PM
Idaho,Washington St.,-15,137,H,8:00 PM
Western Illinois,Miami OH,17,141,H,4:30 PM
