AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Clemson,Virginia Tech,2,122,H,5:30 PM
Wichita St.,Tulsa,1,131,H,6:00 PM
Minnesota,Illinois,8,148,H,6:00 PM
Furman,Alabama,7,149,H,8:00 PM
Georgia Tech,Florida St.,9,145,H,7:30 PM
Loyola Chicago,Wisconsin,8,130,H,7:00 PM
Kansas St.,Iowa St.,2,140,H,8:00 PM
Buffalo,Miami OH,1,139,H,4:30 PM
Coastal Carolina,Wofford,3,149,H,5:00 PM
Indiana St.,Saint Louis,11,143,H,7:00 PM
Florida Atlantic,Stetson,1,137,H,6:00 PM
Southern Miss,Lamar,1,129,H,7:00 PM
Campbell,Elon,-1,141,H,6:00 PM
Hofstra,Monmouth,6,148,H,6:00 PM
Western Carolina,VCU,12,146,H,6:00 PM
Eastern Washington,Saint Mary's,-10,138,H,9:00 PM
Texas Southern,Auburn,10,146,H,6:00 PM
Charlotte,Davidson,11,131,H,6:00 PM
Long Beach St.,UCLA,19,147,H,8:00 PM
Appalachian St.,Tennessee,19,129,H,6:00 PM
St. Francis NY,Central Connecticut,-4,152,H,4:00 PM
LIU Brooklyn,Sacred Heart,5,149,H,
Longwood,Radford,2,126,H,5:00 PM
Gardner Webb,East Tennessee St.,6,128,H,6:00 PM
Southeast Missouri St.,Evansville,3,137,H,6:00 PM
Stanford,Cal St. Northridge,19,143,H,4:00 PM
Jackson St.,Louisiana Tech,-11,135,H,6:30 PM
Florida A&M,Austin Peay,9,145,H,7:30 PM
Utah Valley,Utah,18,142,H,6:00 PM
New Orleans,Louisiana Lafayette,11,151,H,6:00 PM
Texas A&M Corpus Chris,Texas St.,11,131,H,7:00 PM
USC Upstate,UNC Greensboro,19,149,H,6:00 PM
Southeastern Louisiana,Texas A&M,17,139,H,6:00 PM
Arkansas Pine Bluff,North Texas,-19,137,H,7:00 PM
Houston Baptist,Rice,-12,156,H,2:00 PM
Chicago St.,Illinois St.,17,149,H,2:00 PM
South Carolina St.,Liberty,25,131,H,6:00 PM
