AWAY,HOME,VegasSpread,VegasTotal,Court
Rhode Island,South Florida,-1,137,N
North Texas,Arkansas,-2,142,H
Notre Dame,Michigan St.,-8,150,H
LSU,Saint Louis,-8,152,H
Villanova,Virginia Tech,6,136,N
TCU,Tulsa,2,122,N
Northwestern St.,UT Arlington,-2,150,N
Western Carolina,UNC Asheville,2,156,H
Eastern Washington,Washington St.,-4,146,H
UMBC,St. Francis PA,2,146,H
Troy,UNC Wilmington,-2,148,N
Liberty,South Carolina,-7,133,N
Lamar,Lipscomb,-1,139,N
Montana,USC,-10,142,H
Loyola Marymount,Minnesota,-13,145,H
Drexel,Pittsburgh,-8,144,H
Illinois St.,UMass Lowell,5,153,N
UTSA,UT Rio Grande Valley,9,159,H
Abilene Christian,Nebraska Omaha,9,143,N
Texas Southern,Oklahoma St.,-16,148,H
Mount St. Mary's,Navy,-3,129,N
Army,Buffalo,-8,140,N
Central Michigan,Illinois Chicago,-8,148,H
Nicholls St.,Santa Clara,-12,150,H
North Dakota St.,Nebraska,-13,141,H
Utah Valley,BYU,-22,144,H
Idaho St.,UC Davis,-5,143,N
Norfolk St.,Radford,6,132,N
High Point,Elon,-7,143,H
Southeastern Louisiana,UAB,-16,146,H
William & Mary,Old Dominion,-19,141,H
Alcorn St.,Kent St.,-10,148,H
Mississippi Valley St.,Wyoming,-28,154,H
South Carolina St.,Bowling Green,-27,153,H
