AWAY,HOME,VegasSpread,VegasTotal,Court
Indiana,Providence,-1,145,N
Alabama,Stanford,-1,149,N
Boston College,St. John's,-3,153,N
Auburn,UCF,-1,141,H
Seton Hall,Saint Joseph's,6,160,H
Duquesne,Little Rock,4,148,N
Georgia St.,Mercer,3,151,H
Davidson,Texas,-9,141,N
Pacific,Nevada,-3,135,H
Texas St.,Mississippi St.,-4,136,H
North Carolina,UNLV,12,154,N
Chattanooga,Tennessee Tech,-1,147,H
Bowling Green,Appalachian St.,4,150,H
UC Riverside,Fresno St.,-3,135,H
Loyola Marymount,Minnesota,-14,150,H
Eastern Kentucky,Xavier,-13,143,H
Fairleigh Dickinson,Hofstra,-6,154,H
Long Beach St.,UCLA,-16,148,H
Fort Wayne,Kent St.,-4,138,H
Texas Southern,Wyoming,-11,145,H
Nicholls St.,California,-14,144,H
Southeastern Louisiana,LSU,-22,156,H
William & Mary,North Carolina St.,-24,150,H
Cal St. Northridge,Seattle,-6,148,N
Texas A&M Corpus Chris,SMU,-18,138,H
UMKC,Kansas St.,-17,131,H
