AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Illinois,Wisconsin,-1,135,H,1:00 PM
Florida,Kentucky,-1,137,H,3:00 PM
Texas,Texas Tech,-2,138,H,11:00 AM
Baylor,Kansas,5,143,H,7:00 PM
Florida St.,North Carolina,6,154,H,3:00 PM
Creighton,Xavier,2,148,H,4:00 PM
LSU,Arkansas,-5,163,H,1:00 PM
Alabama,Mississippi St.,3,139,H,5:00 PM
Oklahoma St.,Oklahoma,-3,137,H,2:00 PM
Buffalo,Ohio,-2,162,H,1:00 PM
Tennessee,Auburn,3,141,H,11:00 AM
North Texas,Marshall,1,141,H,1:00 PM
Michigan,Indiana,6,138,H,11:00 AM
VCU,Davidson,1,131,H,1:00 PM
Minnesota,Nebraska,3,145,H,6:00 PM
Georgetown,DePaul,1,137,H,11:00 AM
Mississippi,Vanderbilt,2,134,H,2:30 PM
Washington St.,Arizona St.,-3,147,H,3:30 PM
USC,Utah,5,137,H,7:00 PM
UC Santa Barbara,UC Riverside,2,130,H,9:00 PM
Louisville,Duke,-5,141,H,5:00 PM
Rhode Island,Duquesne,-1,133,H,6:00 PM
UCLA,Colorado,-6,134,H,9:00 PM
Syracuse,Georgia Tech,-7,145,H,11:00 AM
Marquette,Connecticut,-6,132,H,1:30 PM
TCU,Iowa St.,1,139,H,5:00 PM
South Carolina,Georgia,-7,165,H,12:00 PM
Kent St.,Miami OH,-1,147,H,3:30 PM
Furman,Wofford,1,139,H,6:00 PM
Belmont,Morehead St.,2,136,H,3:00 PM
San Francisco,Pacific,-2,132,H,9:00 PM
Boise St.,San Diego St.,-9,135,H,3:00 PM
Pepperdine,San Diego,2,146,H,3:00 PM
Loyola Marymount,Gonzaga,-25,159,H,9:00 PM
Notre Dame,Boston College,5,149,H,1:00 PM
UAB,UTSA,3,143,H,3:00 PM
Saint Mary's,BYU,-7,123,H,9:00 PM
UNC Greensboro,East Tennessee St.,-2,130,H,3:00 PM
Temple,UCF,-4,134,H,3:00 PM
Northern Iowa,Illinois St.,1,143,H,5:00 PM
Liberty,Bellarmine,2,128,H,11:00 AM
Georgia St.,South Alabama,2,146,H,6:00 PM
Samford,The Citadel,-2,164,H,12:00 PM
Drake,Bradley,5,137,H,6:00 PM
Oregon St.,Stanford,-8,132,H,6:00 PM
East Carolina,Tulsa,-4,126,H,6:00 PM
Nicholls St.,New Orleans,1,151,H,6:00 PM
Grand Canyon,Seattle,2,128,H,8:00 PM
Oregon,California,5,133,H,3:00 PM
Portland St.,Northern Colorado,-1,131,H,1:00 PM
UT Rio Grande Valley,Utah Valley,-3,143,H,7:00 PM
Navy,Loyola MD,2,130,H,11:00 AM
North Dakota St.,South Dakota,-3,135,H,3:30 PM
Louisiana Lafayette,Little Rock,2,144,H,4:00 PM
Indiana St.,Valparaiso,4,128,H,5:00 PM
Quinnipiac,Marist,-1,125,H,3:00 PM
Stony Brook,UMass Lowell,1,135,N,12:00 PM
Arkansas St.,UT Arlington,-2,144,H,4:00 PM
Wake Forest,Virginia Tech,-9,131,H,3:00 PM
Florida Atlantic,Southern Miss,2,132,H,4:00 PM
La Salle,George Mason,-5,137,H,3:30 PM
Austin Peay,Jacksonville St.,-4,142,H,4:00 PM
Mercer,Western Carolina,4,150,H,12:00 PM
American,Bucknell,-3,141,H,1:00 PM
Appalachian St.,Georgia Southern,-1,129,H,2:00 PM
Southeast Missouri St.,SIU Edwardsville,-1,137,H,5:00 PM
Florida Gulf Coast,Kennesaw St.,-1,133,H,5:00 PM
Washington,Arizona,-16,148,H,2:00 PM
Montana,Idaho St.,2,120,H,1:00 PM
Miami FL,Clemson,-10,124,H,1:00 PM
Rice,Louisiana Tech,-11,147,H,1:00 PM
Missouri St.,Evansville,6,138,H,6:00 PM
Kansas St.,West Virginia,-17,139,H,3:00 PM
Coastal Carolina,Troy,3,135,H,4:00 PM
Elon,UNC Wilmington,-5,139,H,5:00 PM
New Mexico St.,Tarleton St.,3,129,H,7:00 PM
Nebraska Omaha,Denver,1,149,H,5:00 PM
Weber St.,Sacramento St.,7,147,H,1:05 PM
UMKC,South Dakota St.,-7,131,H,7:30 PM
Lipscomb,North Alabama,4,138,H,2:00 PM
Houston Baptist,McNeese St.,-1,157,H,7:30 PM
Long Beach St.,Hawaii,-7,147,H,9:00 PM
Middle Tennessee,Old Dominion,-7,133,H,6:00 PM
Southern Illinois,Loyola Chicago,-15,121,H,5:00 PM
Western Illinois,Oral Roberts,-10,166,H,7:00 PM
Western Michigan,Toledo,-14,140,H,4:00 PM
NJIT,Albany,-5,135,N,4:00 PM
Charlotte,UTEP,-6,122,H,5:00 PM
North Florida,Stetson,-5,149,H,1:00 PM
Central Michigan,Ball St.,-12,150,H,12:00 PM
Boston University,Army,-8,140,H,2:00 PM
UC San Diego,UC Irvine,-12,136,H,6:00 PM
UC Davis,Cal Poly,5,133,H,4:00 PM
Stephen F. Austin,Lamar,9,147,H,4:30 PM
San Jose St.,Wyoming,-12,160,H,3:00 PM
Coppin St.,Delaware St.,8,162,H,7:00 PM
Tennessee St.,Eastern Kentucky,-14,152,H,6:00 PM
Lehigh,Lafayette,-8,152,H,3:00 PM
Murray St.,Tennessee Tech,9,141,H,8:00 PM
Manhattan,Siena,-7,123,H,6:00 PM
Presbyterian,Hampton,-4,136,H,1:00 PM
Northern Illinois,Eastern Michigan,-4,132,H,12:00 PM
Abilene Christian,Central Arkansas,15,145,H,5:00 PM
USC Upstate,High Point,-6,136,H,3:00 PM
Southeastern Louisiana,Northwestern St.,-5,147,H,3:00 PM
Binghamton,Hartford,-7,129,H,1:00 PM
Air Force,Colorado St.,-17,133,H,3:00 PM
Rider,Saint Peter's,-9,129,H,7:00 PM
Cal St. Northridge,Cal St. Bakersfield,-12,138,H,9:00 PM
Louisiana Monroe,Texas St.,-10,118,H,4:00 PM
Prairie View A&M,Alabama A&M,8,126,H,4:30 PM
Alcorn St.,Southern,-6,134,H,4:30 PM
Grambling St.,Arkansas Pine Bluff,6,138,H,8:00 PM
North Carolina Central,North Carolina A&T,-8,140,H,7:00 PM
Tennessee Martin,Eastern Illinois,-7,139,H,4:00 PM
Texas Southern,Alabama St.,10,136,H,4:30 PM
Florida A&M,South Carolina St.,9,135,H,5:00 PM
Jackson St.,Mississippi Valley St.,19,135,H,7:00 PM
