AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Arkansas,LSU,-2,160,H,06:00 PM
Texas Tech,Texas,-4,132,H,08:00 PM
North Carolina St.,Florida St.,-4,146,H,05:30 PM
DePaul,Georgetown,-1,145,H,07:30 PM
Rhode Island,Massachusetts,1,155,H,06:00 PM
Auburn,Georgia,-3,151,H,06:00 PM
Northwestern,Ohio St.,-5,143,H,06:00 PM
Tulsa,Wichita St.,-3,131,H,06:00 PM
Louisville,Wake Forest,5,137,H,07:30 PM
Duquesne,Dayton,-4,130,H,06:00 PM
La Salle,George Mason,-2,130,H,06:00 PM
Mercer,Chattanooga,-2,152,H,06:00 PM
Wofford,VMI,1,141,H,06:00 PM
UCF,Temple,4,132,H,06:00 PM
Boise St.,Wyoming,8,150,H,08:00 PM
Notre Dame,Virginia,-9,123,H,03:30 PM
Nicholls St.,Northwestern St.,2,154,H,06:30 PM
VCU,George Washington,10,144,H,01:00 PM
Texas A&M,Mississippi St.,-7,127,H,08:00 PM
Furman,The Citadel,11,165,H,02:00 PM
Central Arkansas,Stephen F. Austin,-8,156,H,06:30 PM
St. Bonaventure,Fordham,8,122,H,01:00 PM
New Mexico,Dixie St.,1,143,H,08:00 PM
Texas A&M Corpus Chris,Southeastern Louisiana,2,130,H,07:00 PM
McNeese St.,Incarnate Word,-3,143,H,07:00 PM
Lamar,Sam Houston St.,-9,141,H,06:30 PM
